date_obj,Chinchompa price
2019-04-02,885
2019-04-03,885
2019-04-04,928
2019-04-05,928
2019-04-06,928
2019-04-07,962
2019-04-08,962
2019-04-09,962
2019-04-10,993
2019-04-11,993
2019-04-12,993
2019-04-13,1015
2019-04-14,1015
2019-04-15,1015
2019-04-16,1028
2019-04-17,1028
2019-04-18,1028
2019-04-19,1053
2019-04-20,1053
2019-04-21,1053
2019-04-22,1053
2019-04-23,1053
2019-04-24,1053
2019-04-25,1056
2019-04-26,1056
2019-04-27,1056
2019-04-28,1065
2019-04-29,1065
2019-04-30,1065
2019-05-01,1083
2019-05-02,1083
2019-05-03,1083
2019-05-04,1074
2019-05-05,1074
2019-05-06,1074
2019-05-07,1097
2019-05-08,1097
2019-05-09,1097
2019-05-10,1108
2019-05-11,1108
2019-05-12,1108
2019-05-13,1106
2019-05-14,1106
2019-05-15,1106
2019-05-16,1126
2019-05-17,1126
2019-05-18,1126
2019-05-19,1073
2019-05-20,1073
2019-05-21,1073
2019-05-22,1023
2019-05-23,1023
2019-05-24,1023
2019-05-25,1030
2019-05-26,1030
2019-05-27,1030
2019-05-28,1049
2019-05-29,1049
2019-05-30,1049
2019-05-31,1072
2019-06-01,1072
2019-06-02,1072
2019-06-03,1041
2019-06-04,1041
2019-06-05,1041
2019-06-06,1009
2019-06-07,1009
2019-06-08,1009
2019-06-09,962
2019-06-10,962
2019-06-11,962
2019-06-12,922
2019-06-13,922
2019-06-14,922
2019-06-15,887
2019-06-16,887
2019-06-17,887
2019-06-18,890
2019-06-19,890
2019-06-20,890
