date_obj,Bones%20to%20peaches%20(tablet) price
2018-01-31,887
2018-02-01,887
2018-02-02,884
2018-02-03,882
2018-02-04,883
2018-02-05,883
2018-02-06,882
2018-02-07,882
2018-02-08,882
2018-02-09,884
2018-02-10,884
2018-02-11,882
2018-02-12,889
2018-02-13,889
2018-02-14,875
2018-02-15,835
2018-02-16,835
2018-02-17,797
2018-02-18,812
2018-02-19,806
2018-02-20,806
2018-02-21,782
2018-02-22,782
2018-02-23,800
2018-02-24,800
2018-02-25,830
2018-02-26,865
2018-02-27,866
2018-02-28,866
2018-03-01,867
2018-03-03,868
2018-03-04,868
2018-03-05,875
2018-03-06,885
2018-03-07,879
2018-03-08,879
2018-03-09,871
2018-03-10,871
2018-03-11,881
2018-03-12,883
2018-03-13,883
2018-03-14,878
2018-03-15,878
2018-03-16,882
2018-03-17,878
2018-03-18,878
2018-03-20,881
2018-03-21,881
2018-03-23,882
2018-03-24,879
2018-03-25,882
2018-03-26,882
2018-03-27,875
2018-03-28,875
2018-03-29,871
2018-03-30,871
2018-03-31,870
2018-04-01,870
2018-04-02,894
2018-04-03,935
2018-04-04,952
2018-04-05,952
2018-04-06,908
2018-04-07,908
2018-04-08,888
2018-04-09,881
2018-04-10,881
2018-04-11,870
2018-04-12,872
2018-04-13,872
2018-04-14,893
2018-04-15,920
2018-04-16,920
2018-04-17,945
2018-04-18,945
2018-04-19,938
2018-04-20,947
2018-04-21,956
2018-04-22,956
2018-04-23,948
2018-04-24,948
2018-04-25,955
2018-04-26,955
2018-04-27,951
2018-04-28,958
2018-04-29,1006
2018-04-30,1057
2018-05-01,1097
2018-05-02,1097
2018-05-03,1137
2018-05-04,1137
2018-05-05,1139
2018-05-06,1139
2018-05-07,1127
2018-05-08,1127
2018-05-09,1076
2018-05-10,1022
2018-05-11,1022
2018-05-12,970
2018-05-13,970
2018-05-14,921
2018-05-15,921
2018-05-16,878
2018-05-17,878
2018-05-18,879
2018-05-19,880
2018-05-20,880
2018-05-21,873
2018-05-22,873
2018-05-23,869
2018-05-24,869
2018-05-25,864
2018-05-26,860
2018-05-27,860
2018-05-28,859
2018-05-29,856
2018-05-30,856
2018-05-31,858
2018-06-01,858
2018-06-02,863
2018-06-03,863
2018-06-04,868
2018-06-05,850
2018-06-06,850
2018-06-07,850
2018-06-08,863
2018-06-09,863
2018-06-10,870
2018-06-11,870
2018-06-12,870
2018-06-13,872
2018-06-14,873
2018-06-15,873
2018-06-16,882
2018-06-17,898
2018-06-18,927
2018-06-19,932
2018-06-20,932
2018-06-21,943
2018-06-22,962
2018-06-23,962
2018-06-24,965
2018-06-25,948
2018-06-26,948
2018-06-27,930
2018-06-28,920
2018-06-29,907
2018-06-30,907
2018-07-01,911
2018-07-02,911
2018-07-03,903
2018-07-04,903
2018-07-05,876
2018-07-06,861
2018-07-07,875
2018-07-08,876
2018-07-09,881
2018-07-10,883
2018-07-11,873
2018-07-12,873
2018-07-13,867
2018-07-14,877
2018-07-15,877
2018-07-16,879
2018-07-17,871
2018-07-18,871
2018-07-19,891
2018-07-20,890
2018-07-21,893
2018-07-22,925
2018-07-23,959
2018-07-24,978
2018-07-25,978
2018-07-26,995
2018-07-27,980
2018-07-28,980
2018-07-29,977
2018-07-30,977
2018-07-31,1008
2018-08-01,1008
2018-08-02,1055
2018-08-03,1055
2018-08-04,1046
