date_obj,Black%20elegant%20legs price
2018-06-02,5652
2018-06-03,5652
2018-06-04,5639
2018-06-05,5676
2018-06-06,5606
2018-06-07,5606
2018-06-08,5630
2018-06-09,5630
2018-06-10,5626
2018-06-11,5626
2018-06-12,5684
2018-06-13,5845
2018-06-14,5845
2018-06-15,5875
2018-06-16,5875
2018-06-17,5946
2018-06-18,5946
2018-06-19,5996
2018-06-20,5996
2018-06-21,6020
2018-06-22,5949
2018-06-23,5949
2018-06-24,6121
2018-06-25,6121
2018-06-26,6213
2018-06-27,6213
2018-06-28,6261
2018-06-29,6276
2018-06-30,6276
2018-07-01,6193
2018-07-02,6193
2018-07-03,6074
2018-07-04,6074
2018-07-05,5946
2018-07-06,5858
2018-07-07,5858
2018-07-08,5795
2018-07-09,5628
2018-07-10,5628
2018-07-11,5451
2018-07-12,5451
2018-07-13,5420
2018-07-14,5320
2018-07-15,5320
2018-07-16,5424
2018-07-17,5530
2018-07-18,5530
2018-07-19,5606
2018-07-20,5606
2018-07-21,5544
2018-07-22,5367
2018-07-23,5263
2018-07-24,5263
2018-07-25,5115
2018-07-26,5036
2018-07-27,4989
2018-07-28,4989
2018-07-29,4862
2018-07-30,4862
2018-07-31,4806
2018-08-01,4806
2018-08-02,4855
2018-08-03,4855
2018-08-04,4849
2018-08-05,4849
2018-08-06,4962
2018-08-07,4909
2018-08-08,4775
2018-08-09,4775
2018-08-10,4713
2018-08-11,4562
2018-08-12,4490
2018-08-14,4627
2018-08-16,4602
2018-08-17,4527
2018-08-18,4527
2018-08-19,4560
2018-08-20,4484
2018-08-21,4484
2018-08-22,4357
2018-08-23,4356
2018-08-24,4445
2018-08-25,4507
2018-08-26,4507
2018-08-27,4456
2018-08-28,4510
2018-08-29,4510
2018-08-30,4651
2018-08-31,4702
2018-09-01,4750
2018-09-02,4750
2018-09-03,4823
2018-09-04,4810
2018-09-05,4795
2018-09-06,4795
2018-09-07,4752
2018-09-08,4781
2018-09-09,4781
2018-09-10,4769
2018-09-11,4769
2018-09-12,4880
2018-09-13,4880
2018-09-14,5076
2018-09-15,5328
2018-09-16,5328
2018-09-17,5495
2018-09-18,5536
2018-09-19,5536
2018-09-20,5543
2018-09-21,5543
2018-09-22,5510
2018-09-23,5354
2018-09-24,5286
2018-09-25,5286
2018-09-26,5323
2018-09-27,5323
2018-09-28,5160
2018-09-29,5160
2018-09-30,5105
2018-10-01,5053
2018-10-02,5053
2018-10-03,5126
2018-10-04,5126
2018-10-05,5128
2018-10-06,5230
2018-10-07,5230
2018-10-08,5254
2018-10-09,5289
2018-10-10,5423
2018-10-11,5398
2018-10-12,5398
2018-10-13,5561
2018-10-14,5796
2018-10-15,6076
2018-10-16,6076
2018-10-17,6379
2018-10-18,6502
2018-10-19,6581
2018-10-20,6581
2018-10-21,6379
2018-10-22,6210
2018-10-23,6210
2018-10-24,5949
2018-10-25,6038
2018-10-26,5882
2018-10-27,5807
2018-10-28,5951
2018-10-29,5951
2018-10-30,5918
2018-10-31,5865
2018-11-01,5943
2018-11-03,6437
2018-11-04,6754
2018-11-05,7092
2018-11-06,7447
2018-11-07,7820
2018-11-08,8211
2018-11-09,8622
2018-11-10,9054
2018-11-11,9507
2018-11-12,9983
2018-11-13,10327
2018-11-15,11387
2018-11-16,11950
2018-11-17,12312
2018-11-18,12924
2018-11-19,13438
2018-11-20,14101
2018-11-21,14796
2018-11-22,15536
2018-11-23,16313
2018-11-24,17095
2018-11-25,17837
2018-11-26,18563
2018-11-27,19205
2018-11-28,20092
2018-11-29,21020
2018-12-01,22465
2018-12-02,22860
2018-12-03,22860
2018-12-04,23095
2018-12-05,22664
2018-12-07,21945
2018-12-09,21421
2018-12-10,20657
2018-12-11,19728
2018-12-12,18772
2018-12-13,17935
2018-12-14,17090
2018-12-15,16255
2018-12-16,15489
2018-12-17,14843
2018-12-18,14100
2018-12-19,13531
2018-12-20,12871
2018-12-21,12263
2018-12-22,11649
2018-12-23,11118
2018-12-24,10791
2018-12-25,10515
2018-12-26,10176
2018-12-27,9994
2018-12-28,9994
2018-12-29,9777
2018-12-30,9730
2018-12-31,9458
2019-01-01,9359
2019-01-02,9251
2019-01-03,9101
2019-01-04,9142
2019-01-05,9233
2019-01-06,9359
2019-01-08,9215
2019-01-10,8774
2019-01-11,8749
2019-01-12,8600
2019-01-13,8560
2019-01-14,8481
2019-01-15,8149
2019-01-16,7800
2019-01-17,7474
2019-01-18,7208
2019-01-19,7100
2019-01-20,6904
2019-01-21,6904
2019-01-22,6721
2019-01-23,6485
2019-01-24,6173
2019-01-25,5867
2019-01-26,5746
2019-01-27,5485
2019-01-28,5335
2019-01-29,5179
2019-01-30,4964
2019-01-31,4726
2019-02-01,4619
2019-02-02,4556
2019-02-03,4375
2019-02-04,4375
2019-02-05,4190
2019-02-06,4190
2019-02-07,4143
2019-02-08,4124
2019-02-09,4038
2019-02-10,3942
2019-02-11,3882
2019-02-12,3891
2019-02-13,3796
2019-02-14,3796
2019-02-15,3757
2019-02-16,3715
2019-02-17,3663
2019-02-18,3601
2019-02-19,3440
2019-02-20,3325
2019-02-21,3267
2019-02-22,3267
2019-02-23,3189
2019-02-24,3137
2019-02-25,3044
2019-02-26,3036
2019-02-27,2937
2019-02-28,2937
2019-03-01,2792
2019-03-02,2705
2019-03-03,2692
2019-03-04,2787
2019-03-05,2883
2019-03-06,2961
2019-03-07,3024
2019-03-08,3024
2019-03-09,3089
2019-03-10,3108
2019-03-11,3022
2019-03-12,3004
2019-03-13,3004
2019-03-14,3023
2019-03-15,3023
2019-03-16,3035
