date_obj,Pat%20of%20butter price
2019-07-16,102
2019-07-17,102
2019-07-18,102
2019-07-19,102
2019-07-20,100
2019-07-21,100
2019-07-22,100
2019-07-23,100
2019-07-24,100
2019-07-25,98
2019-07-26,98
2019-07-27,98
2019-07-28,98
2019-07-29,98
2019-07-30,97
2019-07-31,97
2019-08-01,97
2019-08-02,97
2019-08-03,97
2019-08-04,96
2019-08-05,96
2019-08-06,96
2019-08-07,96
2019-08-08,96
2019-08-09,96
2019-08-10,97
2019-08-11,97
2019-08-12,97
2019-08-13,97
2019-08-14,97
2019-08-15,97
2019-08-16,97
2019-08-17,97
2019-08-18,97
2019-08-19,97
2019-08-20,97
2019-08-21,97
2019-08-22,95
2019-08-23,95
2019-08-24,95
2019-08-24,95
2019-08-25,95
2019-08-25,95
2019-08-26,95
2019-08-26,95
2019-08-27,95
2019-08-27,95
