date_obj,Uncut%20ruby price
2018-10-26,1650
2018-10-27,1649
2018-10-28,1673
2018-10-29,1692
2018-10-30,1713
2018-10-31,1723
2018-11-01,1769
2018-11-03,1857
2018-11-04,1842
2018-11-05,1798
2018-11-06,1768
2018-11-07,1757
2018-11-08,1733
2018-11-09,1764
2018-11-10,1804
2018-11-11,1884
2018-11-12,1898
2018-11-13,1911
2018-11-14,1943
2018-11-15,1924
2018-11-16,1882
2018-11-17,1822
2018-11-18,1833
2018-11-19,1847
2018-11-20,1812
2018-11-21,1785
2018-11-22,1741
2018-11-23,1725
2018-11-24,1721
2018-11-25,1771
2018-11-26,1831
2018-11-27,1878
2018-11-28,1896
2018-11-29,1951
2018-12-01,1948
2018-12-02,1915
2018-12-03,1939
2018-12-04,1948
2018-12-05,1912
2018-12-07,1855
2018-12-09,1812
2018-12-10,1816
2018-12-11,1805
2018-12-12,1796
2018-12-13,1783
2018-12-14,1804
2018-12-15,1822
2018-12-16,1788
2018-12-17,1772
2018-12-18,1765
2018-12-19,1757
2018-12-20,1737
2018-12-21,1723
2018-12-22,1728
2018-12-23,1742
2018-12-24,1771
2018-12-25,1809
2018-12-26,1811
2018-12-27,1859
2018-12-28,1808
2018-12-29,1785
2018-12-30,1772
2018-12-31,1755
2019-01-01,1799
2019-01-02,1828
2019-01-03,1808
2019-01-04,1795
2019-01-05,1787
2019-01-06,1833
2019-01-08,1844
2019-01-10,1742
2019-01-11,1673
2019-01-12,1590
2019-01-13,1523
2019-01-14,1582
2019-01-15,1607
2019-01-16,1590
2019-01-17,1579
2019-01-18,1545
2019-01-19,1495
2019-01-20,1497
2019-01-21,1504
2019-01-22,1506
2019-01-23,1480
2019-01-24,1475
2019-01-25,1509
2019-01-26,1530
2019-01-27,1509
2019-01-28,1495
2019-01-29,1516
2019-01-30,1524
2019-01-31,1523
2019-02-01,1520
2019-02-02,1510
2019-02-03,1503
2019-02-04,1501
2019-02-05,1486
2019-02-06,1482
2019-02-07,1481
2019-02-08,1475
2019-02-09,1522
2019-02-10,1549
2019-02-11,1529
2019-02-12,1514
2019-02-13,1488
2019-02-14,1477
2019-02-15,1458
2019-02-16,1459
2019-02-17,1430
2019-02-18,1433
2019-02-19,1458
2019-02-20,1491
2019-02-21,1509
2019-02-22,1509
2019-02-23,1487
2019-02-24,1456
2019-02-25,1438
2019-02-26,1432
2019-02-27,1435
2019-02-28,1434
2019-03-01,1455
2019-03-02,1447
2019-03-03,1470
2019-03-04,1478
2019-03-05,1467
2019-03-06,1444
2019-03-07,1447
2019-03-08,1451
2019-03-09,1469
2019-03-10,1479
2019-03-11,1504
2019-03-12,1470
2019-03-13,1456
2019-03-14,1443
2019-03-15,1436
2019-03-16,1418
2019-03-17,1410
2019-03-18,1388
2019-03-19,1376
2019-03-20,1396
2019-03-21,1406
2019-03-22,1419
2019-03-23,1412
2019-03-24,1392
2019-03-25,1378
2019-03-26,1401
2019-03-27,1416
2019-03-28,1433
2019-03-29,1430
2019-03-30,1417
2019-03-31,1401
2019-04-01,1384
2019-04-02,1383
