date_obj,Gilded%20magic%20wardrobe%20(flatpack) price
2018-06-19,1075
2018-06-20,1075
2018-06-21,1075
2018-06-22,1075
2018-06-23,1075
2018-06-24,1075
2018-06-25,1075
2018-06-26,1075
2018-06-27,1075
2018-06-28,1127
2018-06-29,1127
2018-06-30,1127
2018-07-01,1127
2018-07-02,1127
2018-07-03,1127
2018-07-04,1127
2018-07-05,1127
2018-07-06,1127
2018-07-07,1127
2018-07-08,1127
2018-07-09,1127
2018-07-10,1127
2018-07-11,1127
2018-07-12,1127
2018-07-13,1127
2018-07-14,1127
2018-07-15,1127
2018-07-16,1127
2018-07-17,1127
2018-07-18,1127
2018-07-19,1127
2018-07-20,1127
2018-07-21,1127
2018-07-22,1127
2018-07-23,1127
2018-07-24,1127
2018-07-25,1127
2018-07-26,1127
2018-07-27,1127
2018-07-28,1127
2018-07-29,1127
2018-07-30,1127
2018-07-31,1127
2018-08-01,1127
2018-08-02,1127
2018-08-03,1127
2018-08-04,1127
2018-08-05,1127
2018-08-06,1127
2018-08-07,1127
2018-08-08,1127
2018-08-09,1127
2018-08-10,1127
2018-08-11,1127
2018-08-12,1127
2018-08-14,1127
2018-08-16,1178
2018-08-17,1178
2018-08-18,1178
2018-08-19,1178
2018-08-20,1178
2018-08-21,1178
2018-08-22,1178
2018-08-23,1178
2018-08-24,1178
2018-08-25,1178
2018-08-26,1178
2018-08-27,1178
2018-08-28,1178
2018-08-29,1178
2018-08-30,1178
2018-08-31,1178
2018-09-01,1178
2018-09-02,1178
2018-09-03,1178
2018-09-04,1178
2018-09-05,1178
2018-09-06,1178
2018-09-07,1178
2018-09-08,1178
2018-09-09,1178
2018-09-10,1178
2018-09-11,1178
2018-09-12,1178
2018-09-13,1178
2018-09-14,1178
2018-09-15,1178
2018-09-16,1178
2018-09-17,1230
2018-09-18,1230
2018-09-19,1230
2018-09-20,1230
2018-09-21,1230
2018-09-22,1230
2018-09-23,1230
2018-09-24,1230
2018-09-25,1230
2018-09-26,1230
2018-09-27,1230
2018-09-28,1230
2018-09-29,1230
2018-09-30,1230
2018-10-01,1230
2018-10-02,1230
2018-10-03,1230
2018-10-04,1230
2018-10-05,1230
2018-10-06,1230
2018-10-07,1230
2018-10-08,1230
2018-10-09,1230
2018-10-10,1230
2018-10-11,1230
2018-10-12,1230
2018-10-13,1230
2018-10-14,1230
2018-10-15,1230
2018-10-16,1230
2018-10-17,1230
2018-10-18,1230
2018-10-19,1230
2018-10-20,1230
2018-10-21,1230
2018-10-22,1288
2018-10-23,1288
2018-10-24,1288
2018-10-25,1288
2018-10-26,1288
2018-10-27,1288
2018-10-28,1288
2018-10-29,1288
2018-10-30,1288
2018-10-31,1288
2018-11-01,1288
2018-11-03,1288
2018-11-04,1288
2018-11-05,1288
2018-11-06,1288
2018-11-07,1288
2018-11-08,1288
2018-11-09,1288
2018-11-10,1288
2018-11-11,1288
2018-11-12,1348
2018-11-13,1348
2018-11-14,1348
2018-11-15,1348
2018-11-16,1348
2018-11-17,1348
2018-11-18,1348
2018-11-19,1348
2018-11-20,1348
2018-11-21,1348
2018-11-22,1348
2018-11-23,1348
2018-11-24,1348
2018-11-25,1348
2018-11-26,1348
2018-11-27,1348
2018-11-28,1348
2018-11-29,1348
2018-12-01,1406
2018-12-02,1406
2018-12-03,1406
2018-12-04,1406
2018-12-05,1406
2018-12-07,1406
2018-12-09,1406
2018-12-10,1406
2018-12-11,1406
2018-12-12,1406
2018-12-13,1406
2018-12-14,1406
2018-12-15,1406
2018-12-16,1406
2018-12-17,1406
2018-12-18,1406
2018-12-19,1466
2018-12-20,1466
2018-12-21,1466
2018-12-22,1466
2018-12-23,1466
2018-12-24,1466
2018-12-25,1466
2018-12-26,1466
2018-12-27,1466
2018-12-28,1466
2018-12-29,1466
2018-12-30,1466
2018-12-31,1466
2019-01-01,1466
2019-01-02,1466
2019-01-03,1466
2019-01-04,1466
2019-01-05,1466
2019-01-06,1531
2019-01-08,1531
2019-01-10,1531
2019-01-11,1531
2019-01-12,1531
2019-01-13,1531
2019-01-14,1531
2019-01-15,1531
2019-01-16,1531
2019-01-17,1531
2019-01-18,1531
2019-01-19,1531
2019-01-20,1531
2019-01-21,1531
2019-01-22,1531
2019-01-23,1531
2019-01-24,1531
2019-01-25,1531
2019-01-26,1531
2019-01-27,1602
2019-01-28,1602
2019-01-29,1602
2019-01-30,1602
2019-01-31,1602
2019-02-01,1602
2019-02-02,1602
2019-02-03,1602
2019-02-04,1602
2019-02-05,1602
2019-02-06,1602
2019-02-07,1602
2019-02-08,1602
2019-02-09,1602
2019-02-10,1602
2019-02-11,1602
2019-02-12,1602
2019-02-13,1602
2019-02-14,1602
2019-02-15,1602
2019-02-16,1602
2019-02-17,1676
2019-02-18,1676
2019-02-19,1676
2019-02-20,1676
2019-02-21,1676
2019-02-22,1676
2019-02-23,1676
2019-02-24,1676
2019-02-25,1676
2019-02-26,1676
2019-02-27,1676
2019-02-28,1676
2019-03-01,1676
2019-03-02,1676
2019-03-03,1676
2019-03-04,1676
2019-03-05,1676
2019-03-06,1676
2019-03-07,1676
2019-03-08,1676
2019-03-09,1676
2019-03-10,1676
2019-03-11,1676
2019-03-12,1676
2019-03-13,1676
2019-03-14,1676
2019-03-15,1676
2019-03-16,1676
2019-03-17,1676
2019-03-18,1676
2019-03-19,1676
2019-03-20,1676
2019-03-21,1676
2019-03-22,1752
2019-03-23,1752
2019-03-24,1752
2019-03-25,1752
2019-03-26,1752
2019-03-27,1752
2019-03-28,1752
2019-03-29,1752
2019-03-30,1752
2019-03-31,1752
2019-04-01,1752
2019-04-02,1752
2019-04-03,1752
2019-04-04,1752
2019-04-05,1752
2019-04-06,1752
2019-04-07,1752
2019-04-08,1752
2019-04-09,1752
2019-04-10,1752
2019-04-11,1752
2019-04-12,1752
2019-04-13,1752
2019-04-14,1752
2019-04-15,1752
2019-04-16,1752
2019-04-17,1752
2019-04-18,1837
2019-04-19,1837
2019-04-20,1837
2019-04-21,1837
2019-04-22,1837
2019-04-23,1837
2019-04-24,1837
2019-04-25,1837
2019-04-26,1837
2019-04-27,1837
2019-04-28,1837
2019-04-29,1837
2019-04-30,1837
2019-05-01,1837
2019-05-02,1837
2019-05-03,1837
2019-05-04,1837
2019-05-05,1837
2019-05-06,1837
2019-05-07,1837
2019-05-08,1837
2019-05-09,1837
2019-05-10,1837
2019-05-11,1837
2019-05-12,1837
2019-05-13,1837
2019-05-14,1837
2019-05-15,1837
2019-05-16,1837
2019-05-17,1921
2019-05-18,1921
2019-05-19,1921
2019-05-20,1921
2019-05-21,1921
2019-05-22,1921
2019-05-23,1921
2019-05-24,1921
2019-05-25,1921
2019-05-26,1921
2019-05-27,1921
2019-05-28,1921
2019-05-29,1921
2019-05-30,1921
2019-05-31,1921
2019-06-01,1921
2019-06-02,1921
2019-06-03,1921
2019-06-04,1921
2019-06-05,1921
2019-06-06,1921
2019-06-07,1921
2019-06-08,1921
2019-06-09,1921
2019-06-10,1921
2019-06-11,1921
2019-06-12,1921
