date_obj,Yellow%20hat price
2018-05-14,1438
2018-05-15,1442
2018-05-16,1442
2018-05-17,1442
2018-05-18,1403
2018-05-19,1403
2018-05-20,1403
2018-05-21,1417
2018-05-22,1417
2018-05-23,1417
2018-05-24,1416
2018-05-25,1416
2018-05-26,1422
2018-05-27,1422
2018-05-28,1422
2018-05-29,1430
2018-05-30,1430
2018-05-31,1430
2018-06-01,1423
2018-06-02,1423
2018-06-03,1353
2018-06-04,1353
2018-06-05,1353
2018-06-06,1330
2018-06-07,1330
2018-06-08,1330
2018-06-09,1330
2018-06-10,1333
2018-06-11,1333
2018-06-12,1333
2018-06-13,1267
2018-06-14,1267
2018-06-15,1267
2018-06-16,1267
2018-06-17,1227
2018-06-18,1227
2018-06-19,1227
2018-06-20,1191
2018-06-21,1191
2018-06-22,1191
2018-06-23,1184
2018-06-24,1184
2018-06-25,1184
2018-06-26,1195
2018-06-27,1195
2018-06-28,1195
2018-06-29,1215
2018-06-30,1215
2018-07-01,1215
2018-07-02,1215
2018-07-03,1229
2018-07-04,1229
2018-07-05,1229
2018-07-06,1250
2018-07-07,1250
2018-07-08,1250
2018-07-09,1235
2018-07-10,1235
2018-07-11,1235
2018-07-12,1235
2018-07-13,1235
2018-07-14,1206
2018-07-15,1206
2018-07-16,1206
2018-07-17,1177
2018-07-18,1177
2018-07-19,1177
2018-07-20,1146
2018-07-21,1146
2018-07-22,1131
2018-07-23,1140
2018-07-24,1140
2018-07-25,1140
2018-07-26,1137
2018-07-27,1137
2018-07-28,1125
2018-07-29,1125
2018-07-30,1125
2018-07-31,1116
2018-08-01,1116
2018-08-02,1116
2018-08-03,1103
2018-08-04,1103
2018-08-05,1078
2018-08-06,1078
2018-08-07,1078
2018-08-08,1048
2018-08-09,1048
2018-08-10,1048
2018-08-11,1050
2018-08-12,1050
2018-08-14,1031
2018-08-16,1000
2018-08-17,1000
2018-08-18,1000
2018-08-19,986
2018-08-20,986
2018-08-21,997
2018-08-22,997
2018-08-23,997
2018-08-24,983
2018-08-25,983
2018-08-26,998
2018-08-27,998
2018-08-28,959
2018-08-29,959
2018-08-30,959
2018-08-31,932
2018-09-01,932
2018-09-02,958
2018-09-03,958
2018-09-04,964
2018-09-05,964
2018-09-06,964
2018-09-07,959
2018-09-08,959
2018-09-09,986
2018-09-10,986
2018-09-11,986
2018-09-12,985
