date_obj,Tribal%20top%20(yellow) price
2018-08-02,3810
2018-08-03,3810
2018-08-04,3810
2018-08-05,3810
2018-08-06,3810
2018-08-07,3810
2018-08-08,3810
2018-08-09,3810
2018-08-10,3783
2018-08-11,3783
2018-08-12,3783
2018-08-14,3783
2018-08-16,3783
2018-08-17,3783
2018-08-18,3783
2018-08-19,3783
2018-08-20,3854
2018-08-21,3854
2018-08-22,3854
2018-08-23,3854
2018-08-24,3854
2018-08-25,3854
2018-08-26,3854
2018-08-27,3854
2018-08-28,3854
2018-08-29,3854
2018-08-30,3799
2018-08-31,3799
2018-09-01,3799
2018-09-02,3799
2018-09-03,3799
2018-09-04,3799
2018-09-05,3799
2018-09-06,3799
2018-09-07,3799
2018-09-08,3799
2018-09-09,3957
2018-09-10,3957
2018-09-11,3957
2018-09-12,3957
2018-09-13,3957
2018-09-14,3957
2018-09-15,3957
2018-09-16,3957
2018-09-17,3957
2018-09-18,3957
2018-09-19,4087
2018-09-20,4087
2018-09-21,4087
2018-09-22,4087
2018-09-23,4087
2018-09-24,4087
2018-09-25,4087
2018-09-26,4087
2018-09-27,4087
2018-09-28,4087
2018-09-29,4087
2018-09-30,4042
2018-10-02,4042
2018-10-03,4042
2018-10-04,4042
2018-10-05,4042
2018-10-06,4042
2018-10-07,4042
2018-10-08,4042
2018-10-09,4102
2018-10-10,4102
2018-10-11,4102
2018-10-12,4102
2018-10-13,4102
2018-10-14,4102
2018-10-15,4102
2018-10-16,4102
2018-10-17,4102
2018-10-18,4102
2018-10-19,4102
2018-10-20,4156
2018-10-21,4156
2018-10-22,4156
2018-10-23,4156
2018-10-24,4156
2018-10-25,4156
2018-10-26,4156
2018-10-27,4156
2018-10-28,4156
2018-10-29,4156
2018-10-30,4156
2018-10-31,4156
2018-11-01,4165
2018-11-03,4165
2018-11-04,4165
2018-11-05,4165
2018-11-06,4165
2018-11-07,4165
2018-11-08,4219
2018-11-09,4219
2018-11-10,4219
2018-11-11,4219
2018-11-12,4219
2018-11-13,4219
2018-11-14,4260
2018-11-15,4260
2018-11-16,4260
2018-11-17,4260
2018-11-18,4260
2018-11-19,4260
2018-11-20,4260
2018-11-21,4303
2018-11-22,4303
2018-11-23,4303
2018-11-24,4303
2018-11-25,4303
2018-11-26,4445
2018-11-27,4445
2018-11-28,4445
2018-11-29,4445
2018-12-01,4445
2018-12-02,4589
2018-12-03,4589
2018-12-04,4589
2018-12-05,4589
2018-12-07,4589
2018-12-09,4542
2018-12-10,4542
2018-12-11,4542
2018-12-12,4542
2018-12-13,4542
2018-12-14,4633
2018-12-15,4633
2018-12-16,4633
2018-12-17,4633
2018-12-18,4633
2018-12-19,4633
2018-12-20,4633
2018-12-21,4579
2018-12-22,4579
2018-12-23,4579
2018-12-24,4579
