date_obj,Team-1%20cape price
2018-07-30,648
2018-07-31,653
2018-08-01,653
2018-08-02,672
2018-08-03,672
2018-08-04,679
2018-08-05,679
2018-08-06,711
2018-08-07,711
2018-08-08,730
2018-08-09,730
2018-08-10,730
2018-08-11,733
2018-08-12,733
2018-08-14,759
2018-08-16,782
2018-08-17,787
2018-08-18,787
2018-08-19,772
2018-08-20,746
2018-08-21,746
2018-08-22,748
2018-08-23,748
2018-08-24,746
2018-08-25,746
2018-08-26,743
2018-08-27,743
2018-08-28,731
2018-08-29,731
2018-08-30,706
2018-08-31,706
2018-09-01,707
2018-09-02,707
2018-09-03,709
2018-09-04,709
2018-09-05,718
2018-09-06,718
2018-09-07,718
2018-09-08,718
2018-09-09,697
2018-09-10,697
2018-09-11,676
2018-09-12,676
2018-09-13,669
2018-09-14,669
2018-09-15,685
2018-09-16,685
2018-09-17,685
2018-09-18,672
2018-09-19,672
2018-09-20,696
2018-09-21,696
2018-09-22,731
2018-09-23,731
2018-09-24,731
2018-09-25,731
2018-09-26,712
2018-09-27,712
2018-09-28,680
2018-09-29,680
2018-09-30,666
2018-10-02,643
2018-10-03,645
2018-10-04,645
2018-10-05,645
2018-10-06,654
2018-10-07,654
2018-10-08,686
2018-10-09,686
2018-10-10,721
2018-10-11,721
2018-10-12,721
2018-10-13,750
2018-10-14,750
2018-10-15,778
2018-10-16,778
2018-10-17,785
2018-10-18,785
2018-10-19,793
2018-10-20,793
2018-10-21,793
2018-10-22,802
2018-10-23,802
2018-10-24,764
2018-10-25,764
2018-10-26,744
2018-10-27,744
2018-10-28,740
2018-10-29,740
2018-10-30,721
2018-10-31,711
2018-11-01,697
2018-11-03,689
2018-11-04,687
2018-11-05,664
2018-11-06,638
2018-11-07,638
2018-11-08,635
2018-11-09,645
2018-11-10,631
2018-11-11,618
2018-11-12,617
2018-11-13,606
2018-11-14,606
2018-11-15,610
2018-11-16,587
2018-11-17,587
2018-11-18,584
2018-11-19,584
2018-11-20,584
2018-11-21,584
2018-11-22,566
2018-11-23,551
2018-11-24,523
2018-11-25,520
2018-11-26,520
2018-11-27,517
2018-11-28,509
2018-11-29,518
2018-12-01,535
2018-12-02,540
2018-12-03,540
2018-12-04,536
2018-12-05,549
2018-12-07,557
2018-12-09,559
2018-12-10,566
2018-12-11,566
2018-12-12,569
2018-12-13,584
2018-12-14,586
2018-12-15,586
2018-12-16,603
2018-12-17,603
2018-12-18,597
2018-12-19,597
2018-12-20,609
2018-12-21,612
2018-12-22,612
2018-12-23,624
2018-12-24,607
2018-12-25,607
2018-12-26,605
2018-12-27,602
2018-12-28,602
2018-12-29,592
2018-12-30,592
2018-12-31,589
2019-01-01,589
2019-01-02,606
2019-01-03,613
2019-01-04,613
2019-01-05,604
2019-01-06,597
2019-01-08,605
2019-01-10,608
2019-01-11,608
2019-01-12,611
