date_obj,Iron%20battleaxe price
2018-06-19,20
2018-06-20,20
2018-06-21,20
2018-06-22,21
2018-06-23,21
2018-06-24,20
2018-06-25,20
2018-06-26,20
2018-06-27,20
2018-06-28,19
2018-06-29,19
2018-06-30,18
2018-07-01,18
2018-07-02,17
2018-07-03,17
2018-07-04,17
2018-07-05,17
2018-07-06,16
2018-07-07,16
2018-07-08,15
2018-07-09,14
2018-07-10,14
2018-07-11,13
2018-07-12,13
2018-07-13,13
2018-07-14,13
2018-07-15,13
2018-07-16,13
2018-07-17,13
2018-07-18,13
2018-07-19,12
2018-07-20,12
2018-07-21,12
2018-07-22,12
2018-07-23,12
2018-07-24,12
2018-07-25,13
2018-07-26,13
2018-07-27,13
2018-07-28,13
2018-07-29,13
2018-07-30,13
2018-07-31,13
2018-08-01,13
2018-08-02,12
2018-08-03,12
2018-08-04,11
2018-08-05,10
2018-08-06,10
2018-08-07,10
2018-08-08,10
2018-08-09,10
2018-08-10,10
2018-08-11,10
2018-08-12,10
2018-08-14,10
2018-08-16,11
2018-08-17,11
2018-08-18,11
2018-08-19,11
2018-08-20,12
2018-08-21,12
2018-08-22,13
2018-08-23,13
2018-08-24,14
2018-08-25,15
2018-08-26,15
2018-08-27,16
2018-08-28,17
2018-08-29,17
2018-08-30,17
2018-08-31,17
2018-09-01,17
2018-09-02,17
2018-09-03,17
2018-09-04,18
2018-09-05,19
2018-09-06,19
2018-09-07,20
2018-09-08,20
2018-09-09,20
2018-09-10,20
2018-09-11,20
2018-09-12,21
2018-09-13,21
2018-09-14,22
2018-09-15,23
2018-09-16,23
2018-09-17,22
2018-09-18,23
2018-09-19,23
2018-09-20,23
2018-09-21,23
2018-09-22,24
2018-09-23,23
2018-09-24,24
2018-09-25,24
2018-09-26,25
2018-09-27,25
2018-09-28,27
2018-09-29,27
2018-09-30,29
2018-10-01,30
2018-10-02,30
2018-10-03,31
2018-10-04,31
2018-10-05,31
2018-10-06,32
2018-10-07,32
2018-10-08,32
2018-10-09,32
2018-10-10,33
2018-10-11,35
2018-10-12,35
2018-10-13,37
2018-10-14,37
