date_obj,Yellow%20robe%20bottoms price
2019-05-16,762
2019-05-17,762
2019-05-18,762
2019-05-19,762
2019-05-20,762
2019-05-21,762
2019-05-22,772
2019-05-23,772
2019-05-24,772
2019-05-25,772
2019-05-26,772
2019-05-27,772
2019-05-28,772
2019-05-29,772
2019-05-30,750
2019-05-31,750
2019-06-01,750
2019-06-02,750
2019-06-03,750
2019-06-04,750
2019-06-05,750
2019-06-06,750
2019-06-07,750
2019-06-08,749
2019-06-09,749
2019-06-10,749
2019-06-11,749
2019-06-12,749
2019-06-13,749
2019-06-14,749
2019-06-15,749
2019-06-16,737
2019-06-17,737
2019-06-18,737
2019-06-19,737
2019-06-20,737
2019-06-21,737
2019-06-22,737
2019-06-23,737
2019-06-24,737
2019-06-25,734
2019-06-26,734
2019-06-27,734
2019-06-28,734
2019-06-29,734
2019-06-30,734
2019-07-01,734
2019-07-02,734
2019-07-03,734
2019-07-04,734
2019-07-05,732
2019-07-06,732
2019-07-07,732
2019-07-08,732
2019-07-09,732
2019-07-10,732
2019-07-11,732
2019-07-12,732
2019-07-13,732
2019-07-14,732
2019-07-15,735
2019-07-16,735
2019-07-17,735
2019-07-18,735
2019-07-19,735
2019-07-20,735
2019-07-21,735
