date_obj,Blue%20hat price
2017-11-22,654
2017-11-23,654
2017-11-24,654
2017-11-25,665
2017-11-26,665
2017-11-27,665
2017-11-28,665
2017-11-29,665
2017-11-30,665
2017-12-01,665
2017-12-02,658
2017-12-03,658
2017-12-04,658
2017-12-05,658
2017-12-06,658
2017-12-07,658
2017-12-08,658
2017-12-09,674
2017-12-10,674
2017-12-11,674
2017-12-12,674
2017-12-13,674
2017-12-14,674
2017-12-15,674
2017-12-16,674
2017-12-17,676
2017-12-18,676
2017-12-19,676
2017-12-20,676
2017-12-21,676
2017-12-22,676
2017-12-23,676
2017-12-24,676
2017-12-25,663
2017-12-26,663
2017-12-27,663
2017-12-28,663
2017-12-29,663
2017-12-30,663
2017-12-31,663
2018-01-01,668
2018-01-02,668
2018-01-03,668
2018-01-04,668
2018-01-05,668
2018-01-06,668
2018-01-07,668
2018-01-08,687
2018-01-09,687
2018-01-10,687
2018-01-11,687
2018-01-12,687
2018-01-13,687
2018-01-14,687
2018-01-15,677
2018-01-16,677
2018-01-17,677
2018-01-18,677
2018-01-19,677
2018-01-20,677
2018-01-21,649
2018-01-22,649
2018-01-23,649
2018-01-24,620
2018-01-25,620
2018-01-26,620
2018-01-27,604
2018-01-28,604
2018-01-29,604
2018-01-30,603
2018-01-31,603
2018-02-01,603
2018-02-02,603
2018-02-03,617
2018-02-04,617
2018-02-05,617
2018-02-06,617
2018-02-07,624
2018-02-08,624
2018-02-09,624
2018-02-10,624
2018-02-11,619
2018-02-12,619
2018-02-13,619
2018-02-14,636
2018-02-15,636
2018-02-16,636
2018-02-17,645
2018-02-18,645
2018-02-19,658
2018-02-20,658
2018-02-21,658
2018-02-22,625
2018-02-23,625
2018-02-24,625
2018-02-25,605
2018-02-26,605
2018-02-27,605
2018-02-28,605
2018-03-01,602
2018-03-02,602
2018-03-03,602
2018-03-04,602
2018-03-05,612
2018-03-06,612
2018-03-07,612
2018-03-08,633
2018-03-09,633
2018-03-10,633
2018-03-11,633
2018-03-12,632
2018-03-13,632
2018-03-14,632
2018-03-15,632
2018-03-16,632
2018-03-17,619
2018-03-18,619
2018-03-20,619
2018-03-21,606
2018-03-22,606
2018-03-23,606
2018-03-24,606
2018-03-25,595
2018-03-26,595
2018-03-27,595
2018-03-28,595
2018-03-29,580
2018-03-30,580
2018-03-31,580
2018-04-01,580
2018-04-02,578
2018-04-03,578
2018-04-04,578
2018-04-05,578
2018-04-06,596
2018-04-07,596
2018-04-08,596
2018-04-09,596
2018-04-10,614
2018-04-11,614
2018-04-12,614
2018-04-13,614
2018-04-14,612
2018-04-15,612
2018-04-16,612
2018-04-17,626
2018-04-18,626
2018-04-19,626
2018-04-20,626
2018-04-21,647
2018-04-22,647
2018-04-23,647
2018-04-24,647
2018-04-25,676
2018-04-26,676
2018-04-27,676
2018-04-28,676
2018-04-29,673
2018-04-30,673
2018-05-01,673
2018-05-02,673
2018-05-03,696
2018-05-04,696
2018-05-05,696
2018-05-06,696
2018-05-07,692
2018-05-08,692
2018-05-09,692
2018-05-10,657
2018-05-11,657
2018-05-12,657
2018-05-13,657
2018-05-14,627
2018-05-15,627
2018-05-16,627
2018-05-17,627
2018-05-18,597
2018-05-19,597
2018-05-20,597
2018-05-21,570
2018-05-22,570
2018-05-23,570
2018-05-24,543
2018-05-25,543
2018-05-26,521
2018-05-27,521
2018-05-28,497
2018-05-29,497
2018-05-30,473
2018-05-31,473
2018-06-01,473
2018-06-02,450
2018-06-03,450
2018-06-04,450
2018-06-05,444
2018-06-06,444
2018-06-07,444
2018-06-08,446
2018-06-09,446
2018-06-10,446
2018-06-11,446
2018-06-12,423
2018-06-13,423
2018-06-14,423
2018-06-15,401
2018-06-16,401
2018-06-17,401
2018-06-18,387
2018-06-19,387
2018-06-20,387
2018-06-21,387
2018-06-22,377
2018-06-23,377
2018-06-24,377
2018-06-25,377
2018-06-26,364
2018-06-27,364
2018-06-28,364
2018-06-29,364
2018-06-30,364
2018-07-01,364
2018-07-02,364
2018-07-03,367
2018-07-04,367
2018-07-05,367
2018-07-06,367
2018-07-07,366
2018-07-08,366
2018-07-09,366
2018-07-10,366
2018-07-11,377
2018-07-12,377
2018-07-13,377
2018-07-14,393
2018-07-15,393
2018-07-16,393
2018-07-17,412
2018-07-18,412
2018-07-19,412
2018-07-20,432
2018-07-21,432
2018-07-22,454
2018-07-23,454
2018-07-24,477
2018-07-25,477
2018-07-26,477
2018-07-27,501
2018-07-28,501
2018-07-29,527
2018-07-30,527
2018-07-31,554
2018-08-01,554
2018-08-02,577
2018-08-03,577
2018-08-04,601
2018-08-05,601
2018-08-06,611
2018-08-07,611
2018-08-08,625
2018-08-09,625
2018-08-10,625
2018-08-11,648
2018-08-12,648
2018-08-14,630
2018-08-16,603
2018-08-17,585
2018-08-18,585
2018-08-19,570
2018-08-20,570
2018-08-21,570
2018-08-22,592
2018-08-23,592
2018-08-24,615
2018-08-25,615
2018-08-26,601
2018-08-27,601
2018-08-28,594
2018-08-29,594
2018-08-30,578
2018-08-31,578
2018-09-01,599
2018-09-02,599
2018-09-03,618
2018-09-04,626
2018-09-05,626
2018-09-06,648
2018-09-07,648
2018-09-08,671
2018-09-09,671
2018-09-10,682
2018-09-11,682
2018-09-12,696
2018-09-13,696
2018-09-14,714
2018-09-15,714
2018-09-16,714
2018-09-17,714
2018-09-18,700
2018-09-19,700
2018-09-20,680
2018-09-21,680
2018-09-22,690
2018-09-23,690
2018-09-24,703
2018-09-25,703
2018-09-26,693
2018-09-27,693
2018-09-28,679
2018-09-29,679
2018-09-30,677
2018-10-01,677
2018-10-02,668
2018-10-03,659
2018-10-04,659
2018-10-05,659
2018-10-06,646
2018-10-07,646
2018-10-08,667
2018-10-09,667
2018-10-10,674
2018-10-11,674
2018-10-12,683
2018-10-13,683
2018-10-14,694
2018-10-15,694
2018-10-16,689
2018-10-17,689
2018-10-18,687
2018-10-19,687
2018-10-20,679
2018-10-21,679
2018-10-22,675
2018-10-23,675
2018-10-24,676
2018-10-25,676
2018-10-26,681
2018-10-27,681
2018-10-28,691
2018-10-29,691
2018-10-30,691
2018-10-31,656
2018-11-01,656
2018-11-03,626
2018-11-04,602
2018-11-05,633
2018-11-06,633
