date_obj,Shark price
2018-09-17,914
2018-09-18,909
2018-09-19,907
2018-09-20,914
2018-09-21,929
2018-09-22,942
2018-09-23,956
2018-09-24,953
2018-09-25,949
2018-09-26,945
2018-09-27,935
2018-09-28,928
2018-09-29,922
2018-09-30,913
2018-10-02,909
2018-10-03,922
2018-10-04,923
2018-10-05,930
2018-10-06,935
2018-10-07,929
2018-10-08,924
2018-10-09,921
2018-10-10,918
2018-10-11,914
2018-10-12,914
2018-10-13,917
2018-10-14,914
2018-10-15,912
2018-10-16,908
2018-10-17,904
2018-10-18,898
2018-10-19,892
2018-10-20,888
2018-10-21,882
2018-10-22,879
2018-10-23,885
2018-10-24,903
2018-10-25,901
2018-10-26,899
2018-10-27,898
2018-10-28,892
2018-10-29,888
2018-10-30,882
2018-10-31,876
2018-11-01,852
2018-11-02,845
2018-11-03,837
2018-11-04,834
2018-11-05,838
2018-11-06,844
2018-11-07,853
2018-11-08,865
2018-11-09,878
2018-11-10,904
2018-11-11,944
2018-11-12,941
2018-11-13,932
2018-11-14,922
2018-11-15,915
2018-11-16,901
2018-11-17,893
2018-11-18,886
2018-11-19,886
2018-11-20,894
2018-11-21,903
2018-11-22,910
2018-11-23,906
2018-11-24,900
2018-11-25,894
2018-11-26,888
2018-11-27,884
2018-11-28,883
2018-11-29,898
2018-12-01,957
2018-12-02,968
2018-12-03,951
2018-12-04,949
2018-12-05,956
2018-12-07,960
2018-12-09,958
2018-12-10,956
2018-12-11,953
2018-12-12,949
2018-12-13,944
2018-12-14,940
2018-12-15,936
2018-12-16,928
2018-12-17,917
2018-12-18,891
2018-12-19,854
2018-12-20,818
2018-12-21,807
2018-12-22,810
2018-12-23,832
2018-12-24,847
2018-12-25,861
2018-12-26,865
2018-12-27,865
2018-12-28,869
2018-12-29,860
2018-12-30,840
2018-12-31,835
2019-01-01,828
2019-01-02,823
2019-01-03,816
2019-01-04,812
2019-01-05,808
2019-01-06,805
2019-01-08,805
2019-01-10,820
2019-01-11,852
2019-01-12,890
2019-01-13,905
2019-01-14,901
2019-01-15,897
2019-01-16,886
2019-01-17,871
2019-01-18,865
2019-01-19,856
2019-01-20,851
2019-01-21,844
2019-01-22,838
2019-01-23,833
2019-01-24,828
2019-01-25,825
2019-01-26,831
2019-01-27,833
2019-01-28,848
2019-01-29,849
2019-01-30,848
2019-01-31,846
2019-02-01,839
2019-02-02,838
2019-02-03,836
2019-02-04,830
2019-02-05,827
2019-02-06,823
2019-02-07,814
2019-02-08,813
2019-02-09,825
2019-02-10,825
2019-02-11,822
2019-02-12,820
2019-02-13,814
2019-02-14,806
2019-02-15,798
2019-02-16,783
2019-02-17,773
2019-02-18,770
2019-02-19,764
2019-02-20,752
2019-02-21,738
2019-02-22,735
2019-02-23,732
2019-02-24,728
2019-02-25,715
2019-02-26,710
2019-02-27,708
2019-02-28,710
2019-03-01,723
2019-03-02,743
2019-03-03,760
2019-03-04,758
2019-03-05,752
