date_obj,Gilded%20boots price
2018-11-21,7928196
2018-11-22,7856502
2018-11-23,7482765
2018-11-24,7123939
2018-11-25,6781549
2018-11-26,6781549
2018-11-27,6612668
2018-11-28,6631312
2018-11-29,6662120
2018-12-01,6582878
2018-12-03,6535894
2018-12-05,6102082
2018-12-07,5896062
2018-12-09,5953046
2018-12-10,6075765
2018-12-11,6132176
2018-12-12,6184795
2018-12-13,6255844
2018-12-14,6406498
2018-12-15,6431431
2018-12-16,6579341
2018-12-17,6579341
2018-12-18,6545888
2018-12-19,6566152
2018-12-20,6573783
2018-12-21,6706320
2018-12-22,6706320
2018-12-23,6857378
2018-12-24,7109180
2018-12-25,7109180
2018-12-26,7124715
2018-12-27,7112941
2018-12-28,7112941
2018-12-29,7034498
2018-12-30,7034498
2018-12-31,6928514
2019-01-01,6928514
2019-01-02,6881365
2019-01-03,6881365
2019-01-04,6851990
2019-01-05,6764645
2019-01-06,6626598
2019-01-08,6352945
2019-01-10,5928811
2019-01-11,5928811
2019-01-12,5633090
2019-01-13,5351435
2019-01-14,5083863
2019-01-15,4884643
2019-01-17,4808225
2019-01-18,4846330
2019-01-19,4994355
2019-01-20,5182948
2019-01-21,5182948
2019-01-22,5396959
2019-01-23,5382059
2019-01-24,5382059
2019-01-25,5478193
2019-01-26,5558738
2019-01-27,5591810
2019-01-28,5550231
2019-01-29,5669080
2019-01-30,5734218
2019-01-31,5734218
2019-02-01,5749545
2019-02-02,5749545
2019-02-03,5652529
2019-02-04,5652529
2019-02-05,5401327
2019-02-06,5401327
2019-02-07,5349580
2019-02-08,5330149
2019-02-09,5273382
2019-02-10,5279400
2019-02-11,5227214
2019-02-12,5227214
2019-02-13,5280673
2019-02-14,5280673
2019-02-15,5237996
2019-02-16,5237996
2019-02-17,5279812
2019-02-18,5246302
2019-02-19,5246302
2019-02-20,5224678
2019-02-21,5163954
2019-02-22,5163954
2019-02-23,5162804
2019-02-24,5190070
2019-02-25,5185331
2019-02-26,5185331
2019-02-27,5191054
2019-02-28,5191054
2019-03-01,5205929
2019-03-02,5205929
2019-03-03,5187531
2019-03-04,5071756
2019-03-05,5056462
2019-03-06,4944859
2019-03-07,4909173
2019-03-08,4909173
2019-03-09,4892614
2019-03-10,4857521
2019-03-11,4993615
2019-03-12,4991990
2019-03-13,4991990
2019-03-14,4969447
2019-03-15,4969447
2019-03-16,4992606
2019-03-17,5016624
2019-03-18,5016624
2019-03-19,5163729
2019-03-20,5204505
2019-03-21,5273118
2019-03-22,5273118
2019-03-23,5335449
2019-03-24,5373127
2019-03-25,5373127
2019-03-26,5378911
2019-03-27,5378911
2019-03-28,5421075
2019-03-29,5532407
2019-03-30,5532407
2019-03-31,5546500
2019-04-01,5616135
2019-04-02,5616135
2019-04-03,5818188
2019-04-04,5900596
2019-04-05,5900596
2019-04-06,6044452
2019-04-07,6174450
2019-04-08,6216545
2019-04-09,6321123
2019-04-10,6515211
2019-04-11,6546954
2019-04-12,6703236
2019-04-13,7003093
2019-04-14,7159812
2019-04-15,7159812
2019-04-16,7164421
2019-04-17,7164421
2019-04-18,7237277
2019-04-19,7237277
2019-04-20,7300250
2019-04-21,7300250
2019-04-22,7222151
2019-04-23,7026964
2019-04-24,7026964
2019-04-25,6962194
2019-04-26,6819523
2019-04-27,6819523
2019-04-28,6685576
2019-04-29,6446970
2019-04-30,6154342
2019-05-01,6154342
2019-05-02,5928819
2019-05-03,5786261
2019-05-04,5548020
2019-05-05,5323417
2019-05-06,5323417
2019-05-07,5196237
2019-05-08,5196237
2019-05-09,5139751
2019-05-10,5140602
2019-05-11,5108489
2019-05-12,4999562
2019-05-13,5025881
2019-05-14,5046123
2019-05-15,5046123
2019-05-16,5043016
2019-05-17,5043016
2019-05-18,5075106
2019-05-19,5075106
2019-05-20,5150305
2019-05-21,5150305
2019-05-22,5205854
2019-05-23,5420615
2019-05-24,5631441
2019-05-25,5874232
2019-05-26,6138395
2019-05-27,6424911
2019-05-28,6706597
2019-05-29,7001826
2019-05-30,7001826
2019-05-31,7325111
2019-06-01,7325111
2019-06-02,7613531
2019-06-03,7264970
2019-06-04,6901721
2019-06-05,6578597
2019-06-06,6271160
2019-06-07,5983358
2019-06-08,5685228
2019-06-09,5410673
2019-06-10,5410673
2019-06-11,5362617
2019-06-12,5362617
2019-06-13,5256870
2019-06-14,5256870
2019-06-15,5315417
2019-06-16,5388748
2019-06-17,5355950
2019-06-18,5355950
2019-06-19,5467307
2019-06-20,5688912
2019-06-21,5688912
2019-06-22,5647470
2019-06-23,5442308
2019-06-24,5442308
2019-06-25,5405711
2019-06-26,5405711
2019-06-27,5405143
2019-06-28,5405143
2019-06-29,5352829
2019-06-30,5346543
2019-07-01,5346543
2019-07-02,5261486
2019-07-03,5261486
2019-07-04,5269203
2019-07-05,5434461
2019-07-06,5434461
2019-07-07,5629742
2019-07-08,5629742
2019-07-09,5384409
2019-07-10,5225617
2019-07-11,5225617
2019-07-12,5212923
2019-07-13,5212923
2019-07-14,5428391
2019-07-15,5428391
2019-07-16,5613549
2019-07-17,5608748
2019-07-18,5608748
2019-07-19,5501893
2019-07-20,5501893
2019-07-21,5422255
2019-07-22,5422255
2019-07-23,5312497
2019-07-24,5312497
2019-07-25,5305610
2019-07-26,5305610
2019-07-27,5273620
2019-07-28,5273620
2019-07-29,5236218
2019-07-30,5236218
2019-07-31,5069438
2019-08-01,5069438
2019-08-02,4871263
2019-08-03,4859322
2019-08-04,4859322
2019-08-05,4996947
2019-08-06,4996947
2019-08-07,4918499
2019-08-08,4918499
2019-08-09,4893039
2019-08-10,4903576
2019-08-11,4903576
2019-08-12,4915878
2019-08-13,4915878
2019-08-14,4897539
2019-08-15,4849794
2019-08-16,4863328
2019-08-17,4863328
2019-08-18,5023664
2019-08-19,5112821
2019-08-20,5112821
2019-08-21,5024502
2019-08-22,4990881
2019-08-23,4990881
2019-08-24,4919887
2019-08-24,4919887
2019-08-25,4919887
2019-08-25,4919887
2019-08-26,4903716
2019-08-26,4903716
2019-08-27,4903716
2019-08-27,4903716
2019-08-28,4889198
2019-08-29,5059784
2019-08-30,5122702
2019-08-31,5122702
2019-09-01,5302032
2019-09-02,5302032
2019-09-03,5481049
2019-09-04,5481049
2019-09-05,5510625
2019-09-06,5510625
2019-09-07,5698438
2019-09-08,5699923
2019-09-09,5699923
2019-09-10,5593500
2019-09-11,5549343
2019-09-12,5549343
2019-09-13,5550656
2019-09-14,5550656
2019-09-15,5536036
2019-09-16,5417846
2019-09-17,5382929
2019-09-18,5382929
2019-09-19,5380248
2019-09-20,5380248
2019-09-21,5332075
2019-09-22,5332075
2019-09-23,5321703
2019-09-24,5321703
2019-09-25,5280905
2019-09-26,5268169
2019-09-27,5268169
2019-09-28,5328118
2019-09-29,5328118
2019-09-30,5282871
2019-10-01,5213044
2019-10-02,5213044
2019-10-03,5189513
2019-10-04,5189513
2019-10-05,5155584
2019-10-06,5163484
2019-10-07,5163484
2019-10-08,5061215
2019-10-09,5061215
2019-10-10,5026976
2019-10-11,5026976
2019-10-12,5028899
2019-10-13,5014238
2019-10-14,4894572
2019-10-15,4894572
2019-10-16,4835491
2019-10-17,4835491
2019-10-18,4736142
2019-10-19,4736142
2019-10-20,4776672
2019-10-21,4776672
2019-10-22,4822726
2019-10-23,4822726
2019-10-24,4833973
2019-10-25,4833973
2019-10-26,4764075
2019-10-27,4764075
2019-10-28,4846712
2019-10-29,4846712
2019-10-30,4838421
2019-10-31,4818664
2019-11-01,4818664
2019-11-02,4792758
2019-11-03,4792758
2019-11-04,4774052
2019-11-05,4774052
2019-11-06,4748615
2019-11-07,4748615
2019-11-08,4754136
2019-11-09,4836790
2019-11-10,4832145
2019-11-11,4832145
2019-11-12,4689972
2019-11-13,4689972
2019-11-14,4710738
2019-11-15,4826383
2019-11-16,4996387
2019-11-17,4996387
2019-11-18,5227129
2019-11-19,5227129
2019-11-20,5432505
2019-11-21,5432505
2019-11-22,5406679
2019-11-23,5406679
2019-11-24,5382804
2019-11-25,5382804
2019-11-26,5284228
2019-11-27,5284228
2019-11-28,5178928
2019-11-29,5178928
2019-11-30,5182873
2019-12-01,5182873
2019-12-02,5087360
2019-12-03,4970577
2019-12-04,4970577
2019-12-05,4947428
2019-12-06,4947428
2019-12-07,4932583
