date_obj,Enchant%20sapphire%20or%20opal price
2018-11-24,219
2018-11-25,219
2018-11-26,219
2018-11-27,219
2018-11-28,219
2018-11-29,219
2018-12-01,219
2018-12-03,219
2018-12-04,219
2018-12-05,216
2018-12-07,216
2018-12-09,216
2018-12-10,216
2018-12-11,216
2018-12-12,216
2018-12-13,216
2018-12-14,216
2018-12-15,216
2018-12-16,216
2018-12-17,216
2018-12-18,216
2018-12-19,216
2018-12-20,216
2018-12-21,216
2018-12-22,216
2018-12-23,216
2018-12-24,216
2018-12-25,216
2018-12-26,216
2018-12-27,216
2018-12-28,216
2018-12-29,216
2018-12-30,216
2018-12-31,216
2019-01-01,216
2019-01-02,216
2019-01-03,216
2019-01-04,216
2019-01-05,216
2019-01-06,216
2019-01-08,216
2019-01-10,216
2019-01-11,216
2019-01-12,216
2019-01-13,216
2019-01-14,216
2019-01-15,216
2019-01-16,216
2019-01-17,216
2019-01-18,216
2019-01-19,216
2019-01-20,216
2019-01-21,216
2019-01-22,216
2019-01-23,216
2019-01-24,216
2019-01-25,216
2019-01-26,216
2019-01-27,216
2019-01-28,216
2019-01-29,216
2019-01-30,216
2019-01-31,216
2019-02-01,209
2019-02-02,209
2019-02-03,209
2019-02-04,209
2019-02-05,209
2019-02-06,209
2019-02-07,209
2019-02-08,209
2019-02-09,209
2019-02-10,209
2019-02-11,209
2019-02-12,209
2019-02-13,209
2019-02-14,209
2019-02-15,209
2019-02-16,209
2019-02-17,209
2019-02-18,209
2019-02-19,209
2019-02-20,209
2019-02-21,209
2019-02-22,209
2019-02-23,209
2019-02-24,209
2019-02-25,209
2019-02-26,209
2019-02-27,209
2019-02-28,209
2019-03-01,209
2019-03-02,209
2019-03-03,209
2019-03-04,209
2019-03-05,209
2019-03-06,209
2019-03-07,209
2019-03-08,209
2019-03-09,209
2019-03-10,209
2019-03-11,209
2019-03-12,209
2019-03-13,209
2019-03-14,209
2019-03-15,209
2019-03-16,209
2019-03-17,209
2019-03-18,209
2019-03-19,209
2019-03-20,209
2019-03-21,209
2019-03-22,209
2019-03-23,209
2019-03-24,209
2019-03-25,209
2019-03-26,209
2019-03-27,209
2019-03-28,209
2019-03-29,209
2019-03-30,209
2019-03-31,209
2019-04-01,209
2019-04-02,209
2019-04-03,209
2019-04-04,209
2019-04-05,209
2019-04-06,209
2019-04-07,209
2019-04-08,209
2019-04-09,209
2019-04-10,209
2019-04-11,209
2019-04-12,209
2019-04-13,209
2019-04-14,209
2019-04-15,209
2019-04-16,209
2019-04-17,209
2019-04-18,209
2019-04-19,209
2019-04-20,209
2019-04-21,209
2019-04-22,209
2019-04-23,209
2019-04-24,209
2019-04-25,209
2019-04-26,209
2019-04-27,209
2019-04-28,209
2019-04-29,209
2019-04-30,209
2019-05-01,209
2019-05-02,209
2019-05-03,209
2019-05-04,209
2019-05-05,209
2019-05-06,209
2019-05-07,209
2019-05-08,209
