date_obj,Asgarnian%20ale price
2018-11-12,66
2018-11-13,68
2018-11-14,68
2018-11-15,67
2018-11-16,66
2018-11-18,67
2018-11-19,67
2018-11-20,67
2018-11-21,66
2018-11-22,66
2018-11-23,69
2018-11-24,70
2018-11-25,67
2018-11-26,64
2018-11-27,64
2018-11-28,61
2018-11-29,64
2018-12-01,70
2018-12-02,73
2018-12-03,76
2018-12-04,79
2018-12-05,80
2018-12-07,80
2018-12-09,80
2018-12-10,80
2018-12-11,80
2018-12-12,81
2018-12-13,84
2018-12-14,80
2018-12-15,79
2018-12-16,76
2018-12-17,72
2018-12-18,68
2018-12-19,64
2018-12-20,67
2018-12-21,69
2018-12-22,73
2018-12-23,76
2018-12-24,76
2018-12-25,76
2018-12-26,77
2018-12-27,76
2018-12-28,78
2018-12-29,81
2018-12-30,86
2018-12-31,90
2019-01-01,95
2019-01-02,100
2019-01-03,99
2019-01-04,94
2019-01-05,89
2019-01-06,84
2019-01-08,75
2019-01-10,73
2019-01-11,71
2019-01-12,75
2019-01-13,77
2019-01-14,80
2019-01-15,84
2019-01-16,89
2019-01-17,92
2019-01-18,93
2019-01-19,95
2019-01-20,98
2019-01-21,101
2019-01-22,101
2019-01-23,104
2019-01-24,109
2019-01-25,104
2019-01-26,100
2019-01-27,101
2019-01-28,97
2019-01-29,93
2019-01-30,94
2019-01-31,92
2019-02-01,91
2019-02-02,86
2019-02-03,83
2019-02-04,80
2019-02-05,77
2019-02-06,78
2019-02-07,77
2019-02-08,74
2019-02-09,75
2019-02-10,71
2019-02-11,68
2019-02-12,64
2019-02-13,60
2019-02-14,58
2019-02-15,61
2019-02-16,65
2019-02-17,63
2019-02-18,64
2019-02-19,66
2019-02-20,68
2019-02-21,70
2019-02-22,72
2019-02-23,74
2019-02-24,76
2019-02-25,77
2019-02-26,80
2019-02-27,83
2019-02-28,87
2019-03-01,89
2019-03-02,85
2019-03-03,82
2019-03-04,87
2019-03-05,87
2019-03-06,86
2019-03-07,88
2019-03-08,83
2019-03-09,86
2019-03-10,86
2019-03-11,84
2019-03-12,83
2019-03-13,83
2019-03-14,82
2019-03-15,81
2019-03-16,82
2019-03-17,81
2019-03-18,81
2019-03-19,78
2019-03-20,78
2019-03-21,77
2019-03-22,77
2019-03-23,79
2019-03-24,82
2019-03-25,86
2019-03-26,89
2019-03-27,93
2019-03-28,94
2019-03-29,99
2019-03-30,103
2019-03-31,102
2019-04-01,102
2019-04-02,102
2019-04-03,97
2019-04-04,92
2019-04-05,91
2019-04-06,89
2019-04-07,87
2019-04-08,89
2019-04-09,92
2019-04-10,92
2019-04-11,88
2019-04-12,83
2019-04-13,78
2019-04-14,76
2019-04-15,75
2019-04-16,77
2019-04-17,76
2019-04-18,78
2019-04-19,76
2019-04-20,76
2019-04-21,78
2019-04-22,78
2019-04-23,80
2019-04-24,83
2019-04-25,79
2019-04-26,80
2019-04-27,84
2019-04-28,84
2019-04-29,82
2019-04-30,86
2019-05-01,84
2019-05-02,88
2019-05-03,89
2019-05-04,87
2019-05-05,82
2019-05-06,84
2019-05-07,79
2019-05-08,75
2019-05-09,73
2019-05-10,72
2019-05-11,75
2019-05-12,78
2019-05-13,75
2019-05-14,71
2019-05-15,72
2019-05-16,71
2019-05-17,75
2019-05-18,75
2019-05-19,73
2019-05-20,77
2019-05-21,77
2019-05-22,78
2019-05-23,76
2019-05-24,78
2019-05-25,80
2019-05-26,82
2019-05-27,85
2019-05-28,88
2019-05-29,89
2019-05-30,93
2019-05-31,95
2019-06-01,97
2019-06-02,94
2019-06-03,95
2019-06-04,91
2019-06-05,88
2019-06-06,83
2019-06-07,79
2019-06-08,77
2019-06-09,77
2019-06-10,79
2019-06-11,77
2019-06-12,80
2019-06-13,78
2019-06-14,78
2019-06-15,82
2019-06-16,80
2019-06-17,78
2019-06-18,77
2019-06-19,73
2019-06-20,69
2019-06-21,66
2019-06-22,62
2019-06-23,58
2019-06-24,55
2019-06-25,53
2019-06-26,51
2019-06-27,53
2019-06-28,56
2019-06-29,59
2019-06-30,61
2019-07-01,60
2019-07-02,60
2019-07-03,61
2019-07-04,61
2019-07-05,58
2019-07-06,60
2019-07-07,63
2019-07-08,65
2019-07-09,69
2019-07-10,72
2019-07-11,72
2019-07-12,72
2019-07-13,74
2019-07-14,78
2019-07-15,82
2019-07-16,87
2019-07-17,90
2019-07-18,95
2019-07-19,99
2019-07-20,100
2019-07-21,97
2019-07-22,92
2019-07-23,87
2019-07-24,82
2019-07-25,77
2019-07-26,73
2019-07-27,69
2019-07-28,65
2019-07-29,61
2019-07-30,59
2019-07-31,56
2019-08-01,54
2019-08-02,54
2019-08-03,51
2019-08-04,53
2019-08-05,52
2019-08-06,52
2019-08-07,51
2019-08-08,51
2019-08-09,52
2019-08-10,52
2019-08-11,53
2019-08-12,53
2019-08-13,52
2019-08-14,53
2019-08-15,54
2019-08-16,56
