date_obj,Lesser%20demon%20mask price
2020-01-13,16707
2020-01-14,16707
2020-01-15,16707
2020-01-16,16707
2020-01-17,15972
2020-01-18,15972
2020-01-19,15972
2020-01-20,15561
2020-01-21,15561
2020-01-22,15561
2020-01-23,15561
2020-01-24,15561
2020-01-25,14880
2020-01-26,14880
2020-01-27,14880
2020-01-28,14880
2020-01-29,14167
2020-01-30,14167
2020-01-31,14167
2020-02-01,13547
2020-02-02,13547
2020-02-03,13547
2020-02-04,12936
2020-02-05,12936
2020-02-06,12936
2020-02-07,12363
2020-02-08,12363
2020-02-09,12363
2020-02-10,11820
2020-02-11,11820
2020-02-12,11820
2020-02-13,11820
2020-02-14,11393
2020-02-15,11393
2020-02-16,11393
2020-02-17,11393
2020-02-18,10858
2020-02-19,10858
2020-02-20,10858
2020-02-21,10858
2020-02-22,10363
2020-02-23,10363
2020-02-24,10363
2020-02-25,10363
2020-02-26,9844
2020-02-27,9844
2020-02-28,9844
2020-02-29,9844
2020-03-01,9540
2020-03-02,9540
2020-03-03,9540
2020-03-04,9540
2020-03-05,9503
2020-03-06,9503
2020-03-07,9503
2020-03-08,9216
2020-03-09,9216
2020-03-10,9216
2020-03-11,8775
2020-03-12,8775
2020-03-13,8775
2020-03-14,8775
2020-03-15,8466
2020-03-16,8466
2020-03-17,8466
2020-03-18,8102
2020-03-19,8102
2020-03-20,8102
2020-03-21,7941
2020-03-22,7941
2020-03-23,7941
2020-03-24,7997
2020-03-25,7997
2020-03-26,7997
2020-03-27,8189
2020-03-28,8189
2020-03-29,7968
2020-03-30,7968
2020-03-31,7968
2020-04-01,7700
2020-04-02,7700
2020-04-03,7700
2020-04-04,7727
2020-04-05,7727
2020-04-06,7606
2020-04-07,7606
2020-04-08,7606
2020-04-09,7258
2020-04-10,7258
2020-04-11,6928
2020-04-12,6928
2020-04-13,6928
2020-04-14,6688
2020-04-15,6688
2020-04-16,6688
2020-04-17,6372
2020-04-18,6372
2020-04-19,6246
2020-04-20,6246
2020-04-21,6246
2020-04-22,5995
2020-04-23,5995
2020-04-24,5995
2020-04-25,6081
2020-04-26,6081
2020-04-27,6254
2020-04-28,6254
2020-04-29,6254
2020-04-30,6419
2020-05-01,6419
2020-05-02,6419
2020-05-03,6675
2020-05-04,6675
2020-05-05,6675
2020-05-06,6752
2020-05-07,6752
2020-05-08,6752
2020-05-09,6726
2020-05-10,6726
2020-05-11,6726
2020-05-12,6860
2020-05-13,6860
