date_obj,Gilded%20med%20helm price
2019-11-23,432545
2019-11-24,432545
2019-11-25,439999
2019-11-26,439999
2019-11-27,440528
2019-11-28,441380
2019-11-29,444538
2019-11-30,445925
2019-12-01,444132
2019-12-02,441170
2019-12-03,444596
2019-12-04,443164
2019-12-05,443164
2019-12-06,443810
2019-12-07,443810
2019-12-08,444020
2019-12-09,449624
2019-12-10,453023
2019-12-11,453023
2019-12-12,453883
2019-12-13,453285
2019-12-14,453285
2019-12-15,457344
2019-12-16,457344
2019-12-17,456893
2019-12-18,456893
2019-12-19,466708
2019-12-20,474533
2019-12-21,479792
2019-12-22,480171
2019-12-23,486654
2019-12-24,491887
2019-12-25,503220
2019-12-26,503220
2019-12-27,513232
2019-12-28,517573
2019-12-29,517573
2019-12-30,513367
2019-12-31,516466
2020-01-01,516466
2020-01-02,529796
2020-01-03,529796
2020-01-04,533787
2020-01-05,532712
2020-01-06,533362
2020-01-07,534496
2020-01-08,534496
2020-01-09,532761
2020-01-10,546751
2020-01-11,557596
2020-01-12,566196
2020-01-13,566196
2020-01-14,571545
2020-01-15,560041
2020-01-16,560041
2020-01-17,537171
2020-01-18,537171
2020-01-19,526336
2020-01-20,526336
2020-01-21,530482
2020-01-22,524093
2020-01-23,521444
2020-01-24,533987
2020-01-25,542296
2020-01-26,537351
2020-01-27,537351
2020-01-28,531840
2020-01-29,531840
2020-01-30,533534
2020-01-31,533534
2020-02-01,529604
2020-02-02,517387
2020-02-03,517387
2020-02-04,513675
2020-02-05,513675
2020-02-06,513993
2020-02-07,513993
2020-02-08,505863
2020-02-09,505863
2020-02-10,497002
2020-02-11,497002
2020-02-12,481070
2020-02-13,481070
2020-02-14,471242
2020-02-15,471242
2020-02-16,467964
2020-02-17,468544
2020-02-18,457691
2020-02-19,457691
2020-02-20,448150
2020-02-21,448150
2020-02-22,442127
2020-02-23,442127
2020-02-24,436163
2020-02-25,436163
2020-02-26,426038
2020-02-27,426038
2020-02-28,413406
2020-02-29,413406
2020-03-01,412205
2020-03-02,411092
2020-03-03,405442
2020-03-04,405442
2020-03-05,400385
2020-03-06,395909
2020-03-07,395909
2020-03-08,396291
2020-03-09,388387
2020-03-10,403625
2020-03-11,403625
2020-03-12,402073
2020-03-13,402073
2020-03-14,402044
2020-03-15,402044
2020-03-16,397882
2020-03-17,392346
2020-03-18,392346
2020-03-19,395941
2020-03-20,402705
2020-03-21,403163
2020-03-22,401891
2020-03-23,401891
2020-03-24,397333
2020-03-25,394981
2020-03-26,389073
2020-03-27,384940
2020-03-28,385983
2020-03-29,382045
2020-03-30,386648
2020-03-31,386648
2020-04-01,386584
2020-04-02,380909
2020-04-03,380909
2020-04-04,381935
2020-04-05,381935
2020-04-06,391100
2020-04-07,391100
2020-04-08,406967
2020-04-09,413071
2020-04-10,413071
2020-04-11,404903
2020-04-12,400985
2020-04-13,400985
2020-04-14,391431
2020-04-15,390370
2020-04-16,390370
2020-04-17,380107
2020-04-18,382340
2020-04-19,378929
2020-04-20,371206
2020-04-21,371206
2020-04-22,362465
2020-04-23,362353
2020-04-24,362353
2020-04-25,367792
2020-04-26,370946
2020-04-27,368303
2020-04-28,363946
2020-04-29,358411
2020-04-30,355227
2020-05-01,356788
2020-05-02,357979
2020-05-03,359265
2020-05-04,359265
2020-05-05,349086
2020-05-06,344493
2020-05-07,341371
2020-05-08,333248
2020-05-09,329311
2020-05-10,327270
2020-05-11,328597
2020-05-12,337708
2020-05-13,331283
