date_obj,Red%20d'hide%20chaps price
2018-09-07,3856
2018-09-08,3804
2018-09-09,3879
2018-09-10,3977
2018-09-11,3853
2018-09-12,3768
2018-09-13,3775
2018-09-14,3753
2018-09-15,3646
2018-09-16,3482
2018-09-17,3406
2018-09-18,3317
2018-09-19,3423
2018-09-20,3532
2018-09-21,3658
2018-09-22,3786
2018-09-23,3804
2018-09-24,3790
2018-09-25,3699
2018-09-26,3631
2018-09-27,3619
2018-09-28,3475
2018-09-29,3461
2018-09-30,3334
2018-10-02,3147
2018-10-03,3156
2018-10-04,3182
2018-10-05,3131
2018-10-06,3080
2018-10-07,3104
2018-10-08,3125
2018-10-09,3048
2018-10-10,3091
2018-10-11,3089
2018-10-12,2999
2018-10-13,2972
2018-10-14,2890
2018-10-15,2865
2018-10-16,2830
2018-10-17,2854
2018-10-18,2908
2018-10-19,2982
2018-10-20,2924
2018-10-21,3004
2018-10-22,3007
2018-10-23,3073
2018-10-24,3141
2018-10-25,3072
2018-10-26,3093
2018-10-27,3079
2018-10-28,3074
2018-10-29,3083
2018-10-30,3100
2018-10-31,2999
2018-11-01,3021
2018-11-03,3047
2018-11-04,3036
2018-11-05,3034
2018-11-06,2999
2018-11-07,3090
2018-11-08,3153
2018-11-09,3049
2018-11-10,2972
2018-11-11,3027
2018-11-12,3038
2018-11-13,3097
2018-11-14,3092
2018-11-15,3112
2018-11-16,3141
2018-11-17,3258
2018-11-18,3230
2018-11-19,3274
2018-11-20,3411
2018-11-21,3563
2018-11-22,3727
2018-11-23,3882
2018-11-24,3999
2018-11-25,3837
2018-11-26,3645
2018-11-27,3517
2018-11-28,3494
2018-12-01,3348
2018-12-02,3348
2018-12-03,3389
2018-12-04,3512
2018-12-05,3593
2018-12-07,3625
2018-12-09,3592
2018-12-10,3644
2018-12-11,3575
2018-12-12,3477
2018-12-13,3425
2018-12-14,3358
2018-12-15,3284
2018-12-16,3281
2018-12-17,3177
2018-12-18,3246
2018-12-19,3236
2018-12-20,3304
2018-12-21,3295
2018-12-22,3348
2018-12-23,3292
2018-12-24,3390
2018-12-25,3391
2018-12-26,3385
2018-12-27,3339
2018-12-28,3357
2018-12-29,3413
2018-12-30,3442
2018-12-31,3476
2019-01-01,3436
2019-01-02,3482
2019-01-03,3531
2019-01-04,3432
2019-01-05,3370
2019-01-06,3299
2019-01-08,3156
2019-01-10,3062
2019-01-11,2939
2019-01-12,2838
2019-01-13,2786
2019-01-14,2818
2019-01-15,2842
2019-01-16,2868
2019-01-17,2848
2019-01-18,2854
2019-01-19,2845
2019-01-20,2856
2019-01-21,2815
2019-01-22,2830
2019-01-23,2841
2019-01-24,2814
2019-01-25,2810
2019-01-26,2832
2019-01-27,2849
2019-01-28,2828
2019-01-29,2834
2019-01-30,2812
2019-01-31,2809
2019-02-01,2817
2019-02-02,2841
2019-02-03,2839
2019-02-04,2809
2019-02-05,2857
2019-02-06,2833
2019-02-07,2839
2019-02-08,2853
2019-02-09,2819
2019-02-10,2804
2019-02-11,2778
2019-02-12,2826
