date_obj,Fremennik%20red%20shirt price
2018-10-01,1263
2018-10-02,1263
2018-10-03,1263
2018-10-04,1263
2018-10-05,1288
2018-10-06,1288
2018-10-07,1288
2018-10-08,1288
2018-10-09,1242
2018-10-10,1242
2018-10-11,1242
2018-10-12,1242
2018-10-13,1242
2018-10-14,1221
2018-10-15,1221
2018-10-16,1221
2018-10-17,1221
2018-10-18,1207
2018-10-19,1207
2018-10-20,1207
2018-10-21,1207
2018-10-22,1209
2018-10-23,1209
2018-10-24,1209
2018-10-25,1209
2018-10-26,1209
2018-10-27,1161
2018-10-28,1161
2018-10-29,1161
2018-10-30,1161
2018-10-31,1127
2018-11-01,1127
2018-11-03,1127
2018-11-04,1151
2018-11-05,1151
2018-11-06,1167
2018-11-07,1167
2018-11-08,1167
2018-11-09,1167
2018-11-10,1179
2018-11-11,1179
2018-11-12,1173
2018-11-13,1173
2018-11-14,1173
2018-11-15,1119
2018-11-16,1119
2018-11-17,1117
2018-11-18,1117
2018-11-19,1117
2018-11-20,1136
2018-11-21,1136
2018-11-22,1136
2018-11-23,1160
2018-11-24,1160
2018-11-25,1199
2018-11-26,1199
2018-11-27,1199
2018-11-28,1243
2018-11-29,1243
2018-12-01,1259
2018-12-02,1259
2018-12-03,1259
2018-12-04,1274
2018-12-05,1274
2018-12-07,1319
2018-12-09,1366
2018-12-10,1366
2018-12-11,1297
2018-12-12,1297
2018-12-13,1247
2018-12-14,1247
2018-12-15,1247
2018-12-16,1260
2018-12-17,1260
2018-12-18,1260
2018-12-19,1237
2018-12-20,1237
2018-12-21,1237
2018-12-22,1248
2018-12-23,1248
2018-12-24,1224
2018-12-25,1224
2018-12-26,1224
2018-12-27,1224
2018-12-28,1246
2018-12-29,1246
2018-12-30,1246
2018-12-31,1249
2019-01-01,1249
2019-01-02,1249
2019-01-03,1239
2019-01-04,1239
2019-01-05,1239
2019-01-06,1189
2019-01-08,1189
2019-01-10,1129
2019-01-11,1081
2019-01-12,1081
2019-01-13,1036
2019-01-14,1036
2019-01-15,987
2019-01-16,987
2019-01-17,944
2019-01-18,944
2019-01-19,899
2019-01-20,899
2019-01-21,855
2019-01-22,855
2019-01-23,814
2019-01-24,814
2019-01-25,778
2019-01-26,778
2019-01-27,743
2019-01-28,743
2019-01-29,708
2019-01-30,708
2019-01-31,676
2019-02-01,676
2019-02-02,676
2019-02-03,649
2019-02-04,649
2019-02-05,649
2019-02-06,649
2019-02-07,658
2019-02-08,658
2019-02-09,658
2019-02-10,658
2019-02-11,653
2019-02-12,653
2019-02-13,653
2019-02-14,653
2019-02-15,633
2019-02-16,633
2019-02-17,633
2019-02-18,619
2019-02-19,619
2019-02-20,619
2019-02-21,626
2019-02-22,626
2019-02-23,626
2019-02-24,631
2019-02-25,631
2019-02-26,631
2019-02-27,631
2019-02-28,631
2019-03-01,631
2019-03-02,631
2019-03-03,654
2019-03-04,654
2019-03-05,654
2019-03-06,681
2019-03-07,681
2019-03-08,681
2019-03-09,681
2019-03-10,681
2019-03-11,687
2019-03-12,687
2019-03-13,687
2019-03-14,687
2019-03-15,716
2019-03-16,716
2019-03-17,716
2019-03-18,706
2019-03-19,706
2019-03-20,706
