date_obj,Saradomin%20page%204 price
2018-09-21,2011
2018-09-22,2106
2018-09-23,2187
2018-09-24,2295
2018-09-25,2400
2018-09-26,2510
2018-09-27,2584
2018-09-28,2671
2018-09-29,2738
2018-09-30,2739
2018-10-02,2967
2018-10-03,3099
2018-10-04,3099
2018-10-05,3147
2018-10-06,3251
2018-10-07,3343
2018-10-08,3473
2018-10-09,3457
2018-10-10,3414
2018-10-11,3507
2018-10-12,3507
2018-10-13,3604
2018-10-14,3624
2018-10-15,3681
2018-10-16,3707
2018-10-17,3692
2018-10-18,3574
2018-10-19,3515
2018-10-20,3515
2018-10-21,3594
2018-10-22,3659
2018-10-23,3753
2018-10-24,3853
2018-10-25,3856
2018-10-26,3831
2018-10-27,3821
2018-10-28,3767
2018-10-29,3739
2018-10-30,3720
2018-10-31,3779
2018-11-01,3818
2018-11-03,3607
2018-11-04,3648
2018-11-05,3735
2018-11-06,3685
2018-11-07,3775
2018-11-08,3893
2018-11-09,3870
2018-11-10,4001
2018-11-11,3908
2018-11-12,4035
2018-11-13,4067
2018-11-14,4088
2018-11-15,4064
2018-11-16,4104
2018-11-17,4136
2018-11-18,4031
2018-11-19,3960
2018-11-20,4022
2018-11-21,4024
2018-11-22,4032
2018-11-23,3955
2018-11-24,3997
2018-11-25,4075
2018-11-26,3955
2018-11-27,4095
2018-11-28,4196
2018-11-29,4175
2018-12-01,4244
2018-12-02,4388
2018-12-03,4509
2018-12-05,4678
2018-12-09,4983
2018-12-10,5167
2018-12-11,5224
2018-12-12,5304
2018-12-13,5412
2018-12-14,5492
2018-12-15,5650
2018-12-16,5640
2018-12-17,5754
2018-12-18,5640
2018-12-19,5679
2018-12-20,5648
2018-12-21,5738
2018-12-22,5763
2018-12-23,5790
2018-12-24,5636
2018-12-25,5438
2018-12-26,5209
2018-12-27,5003
2018-12-28,4830
2018-12-29,4707
2018-12-30,4662
2018-12-31,4633
2019-01-01,4615
2019-01-02,4487
2019-01-03,4262
2019-01-04,4165
2019-01-05,4092
2019-01-06,4055
2019-01-08,3949
2019-01-10,3775
2019-01-11,3727
2019-01-12,3769
2019-01-13,3765
2019-01-14,3646
2019-01-15,3790
2019-01-16,3927
2019-01-17,3991
2019-01-18,3834
2019-01-19,3842
2019-01-20,3850
2019-01-21,3959
2019-01-22,4011
2019-01-23,4091
2019-01-24,4178
2019-01-25,4219
2019-01-26,4261
2019-01-27,4229
2019-01-28,4286
2019-01-29,4230
2019-01-30,4244
2019-01-31,4325
2019-02-01,4468
2019-02-02,4539
2019-02-03,4650
2019-02-04,4794
2019-02-05,4926
2019-02-06,4950
2019-02-07,4942
2019-02-08,5000
2019-02-09,4879
2019-02-10,4652
2019-02-11,4419
2019-02-12,4198
2019-02-13,3988
2019-02-14,3788
2019-02-15,3598
2019-02-16,3418
2019-02-17,3247
2019-02-18,3084
2019-02-19,2929
2019-02-20,2782
2019-02-21,2642
2019-02-22,2545
2019-02-23,2431
2019-02-24,2315
2019-02-25,2199
2019-02-26,2128
2019-02-27,2061
2019-02-28,1998
2019-03-01,1992
2019-03-02,2003
2019-03-03,1993
2019-03-04,2031
2019-03-05,1970
2019-03-06,1903
2019-03-07,1982
2019-03-08,1893
2019-03-09,1798
2019-03-10,1721
2019-03-11,1718
2019-03-12,1737
2019-03-13,1821
2019-03-14,1888
2019-03-15,1809
2019-03-16,1772
2019-03-17,1806
2019-03-18,1890
2019-03-19,1971
2019-03-20,2070
2019-03-21,2174
2019-03-22,2251
2019-03-23,2340
2019-03-24,2411
2019-03-25,2458
2019-03-26,2543
2019-03-27,2577
2019-03-28,2647
2019-03-29,2708
2019-03-30,2805
2019-03-31,2891
2019-04-01,2965
