date_obj,Tuna%20potato price
2017-08-02,1124
2017-08-03,1136
2017-08-04,1165
2017-08-05,1194
2017-08-06,1186
2017-08-09,1178
2017-08-10,1165
2017-08-11,1126
2017-08-12,1100
2017-08-13,1083
2017-08-14,1081
2017-08-15,1112
2017-08-16,1122
2017-08-17,1144
2017-08-18,1144
2017-08-19,1148
2017-08-20,1133
2017-08-21,1148
2017-08-22,1157
2017-08-23,1188
2017-08-24,1166
2017-08-25,1158
2017-08-26,1164
2017-08-27,1160
2017-08-28,1146
2017-08-29,1115
2017-08-30,1121
2017-08-31,1135
2017-09-01,1138
2017-09-02,1144
2017-09-03,1188
2017-09-04,1226
2017-09-05,1279
2017-09-06,1277
2017-09-07,1261
2017-09-08,1272
2017-09-09,1270
2017-09-10,1316
2017-09-11,1318
2017-09-12,1351
2017-09-13,1318
2017-09-14,1282
2017-09-15,1282
2017-09-16,1280
2017-09-17,1272
2017-09-19,1248
2017-09-20,1239
2017-09-21,1217
2017-09-22,1210
2017-09-23,1190
2017-09-24,1186
2017-09-25,1173
2017-09-26,1149
2017-09-27,1140
2017-09-28,1137
2017-09-29,1160
2017-09-30,1177
2017-10-01,1210
2017-10-02,1157
2017-10-03,1105
2017-10-04,1103
2017-10-05,1112
2017-10-06,1085
2017-10-07,1062
2017-10-08,1062
2017-10-09,1063
2017-10-10,1092
2017-10-11,1092
2017-10-12,1104
2017-10-13,1117
2017-10-14,1069
2017-10-15,1064
2017-10-16,1065
2017-10-17,1065
2017-10-18,1044
2017-10-19,1002
2017-10-20,1000
2017-10-21,1035
2017-10-22,1049
2017-10-23,1029
2017-10-24,1005
2017-10-25,1000
2017-10-26,984
2017-10-27,985
2017-10-28,985
2017-10-29,977
2017-10-30,971
2017-10-31,975
2017-11-01,988
2017-11-02,1012
2017-11-03,1059
2017-11-04,1047
2017-11-05,1050
2017-11-06,1053
2017-11-07,1030
2017-11-08,1006
2017-11-09,996
2017-11-10,995
2017-11-11,1020
2017-11-12,1046
2017-11-13,1054
2017-11-14,1069
2017-11-15,1050
2017-11-16,1005
2017-11-17,1000
2017-11-18,1013
2017-11-19,1008
2017-11-20,1008
2017-11-21,1005
2017-11-22,996
2017-11-23,995
2017-11-24,1002
2017-11-25,1000
2017-11-26,1004
2017-11-27,1004
2017-11-28,1017
2017-11-29,1022
2017-11-30,1011
2017-12-01,1019
