date_obj,Infinity%20bottoms price
2019-04-16,5312203
2019-04-17,5312203
2019-04-18,5229414
2019-04-19,5229414
2019-04-20,5109911
2019-04-21,5109911
2019-04-22,5176780
2019-04-23,5176780
2019-04-24,5172361
2019-04-25,5252021
2019-04-26,5310863
2019-04-27,5310863
2019-04-28,5223460
2019-04-29,5223460
2019-04-30,5172786
2019-05-01,5172786
2019-05-02,5124922
2019-05-03,5124922
2019-05-04,5065959
2019-05-05,5065959
2019-05-06,5120223
2019-05-07,5120223
2019-05-08,5262022
2019-05-09,5262022
2019-05-10,5300003
2019-05-11,5300003
2019-05-12,5294640
2019-05-13,5294640
2019-05-14,5348598
2019-05-15,5348598
2019-05-16,5326489
2019-05-17,5326489
2019-05-18,5405396
2019-05-19,5405396
2019-05-20,5383107
2019-05-21,5383107
2019-05-22,5518528
2019-05-23,5518528
2019-05-24,5379931
2019-05-25,5379931
2019-05-26,5500640
2019-05-27,5500640
2019-05-28,5454133
2019-05-29,5454133
2019-05-30,5316626
2019-05-31,5316626
2019-06-01,5199730
2019-06-02,5199730
2019-06-03,5104574
2019-06-04,5104574
2019-06-05,4866289
2019-06-06,4866289
2019-06-07,4623281
2019-06-08,4451837
2019-06-09,4532095
2019-06-10,4532095
2019-06-11,4456323
2019-06-12,4456323
2019-06-13,4532267
2019-06-14,4532267
2019-06-15,4563402
2019-06-16,4616730
2019-06-17,4616730
2019-06-18,4663046
2019-06-19,4663046
2019-06-20,4627495
2019-06-21,4627495
2019-06-22,4666132
2019-06-23,4666132
2019-06-24,4736335
2019-06-25,4736335
2019-06-26,4718363
2019-06-27,4615520
2019-06-28,4615520
2019-06-29,4442393
2019-06-30,4289346
2019-07-01,4289346
2019-07-02,4361079
2019-07-03,4361079
2019-07-04,4347226
2019-07-05,4347226
2019-07-06,4275036
2019-07-07,4275036
2019-07-08,4247310
2019-07-09,4247310
2019-07-10,4209469
2019-07-11,4209469
2019-07-12,4214662
2019-07-13,4214662
2019-07-14,4291918
2019-07-15,4291918
2019-07-16,4386421
2019-07-17,4386421
2019-07-18,4311371
2019-07-19,4311371
2019-07-20,4266276
2019-07-21,4310196
2019-07-22,4310196
2019-07-23,4287401
2019-07-24,4287401
2019-07-25,4288870
2019-07-26,4288870
2019-07-27,4436511
2019-07-28,4436511
2019-07-29,4602937
2019-07-30,4602937
2019-07-31,4689249
2019-08-01,4689249
2019-08-02,4454786
2019-08-03,4408058
2019-08-04,4408058
2019-08-05,4462380
2019-08-06,4462380
2019-08-07,4404475
2019-08-08,4404475
2019-08-09,4438327
2019-08-10,4549241
2019-08-11,4549241
2019-08-12,4528917
2019-08-13,4528917
2019-08-14,4575120
2019-08-15,4400064
2019-08-16,4253516
2019-08-17,4253516
2019-08-18,4134871
2019-08-19,4134871
2019-08-20,4025650
2019-08-21,4025650
2019-08-22,3832434
2019-08-23,3832434
2019-08-24,3641415
2019-08-24,3641415
2019-08-25,3641415
2019-08-25,3641415
2019-08-26,3559908
2019-08-26,3559908
2019-08-27,3559908
2019-08-27,3559908
2019-08-28,3493672
2019-08-29,3493672
2019-08-30,3510258
2019-08-31,3510258
2019-09-01,3594527
2019-09-02,3594527
2019-09-03,3673031
2019-09-04,3673031
2019-09-05,3575962
2019-09-06,3575962
2019-09-07,3704347
2019-09-08,3704347
2019-09-09,3887691
2019-09-10,3887691
2019-09-11,3943491
2019-09-12,3943491
2019-09-13,4032457
2019-09-14,4092883
2019-09-15,4092883
2019-09-16,4093278
2019-09-17,4093278
2019-09-18,4130960
2019-09-19,4130960
2019-09-20,4322595
2019-09-21,4322595
2019-09-22,4512793
2019-09-23,4503052
2019-09-24,4503052
2019-09-25,4399205
2019-09-26,4399205
2019-09-27,4246221
2019-09-28,4246221
2019-09-29,4177709
2019-09-30,4177709
2019-10-01,4300714
2019-10-02,4300714
2019-10-03,4475190
2019-10-04,4475190
2019-10-05,4420395
2019-10-06,4430523
2019-10-07,4430523
2019-10-08,4391120
2019-10-09,4391120
2019-10-10,4577003
2019-10-11,4577003
2019-10-12,4680584
2019-10-13,4745052
2019-10-14,4779275
2019-10-15,4779275
2019-10-16,4993482
2019-10-17,4993482
2019-10-18,5221306
2019-10-19,5424880
2019-10-20,5424880
2019-10-21,5452333
2019-10-22,5452333
2019-10-23,5440473
2019-10-24,5440473
2019-10-25,5180084
2019-10-26,4993775
2019-10-27,4993775
2019-10-28,4823039
2019-10-29,4823039
2019-10-30,4728368
