date_obj,Circular%20hide price
2018-07-07,63094
2018-07-08,63094
2018-07-09,60056
2018-07-10,60056
2018-07-11,60056
2018-07-12,60056
2018-07-13,60056
2018-07-14,60056
2018-07-15,60056
2018-07-16,60056
2018-07-17,60056
2018-07-18,60056
2018-07-19,60056
2018-07-20,60056
2018-07-21,60056
2018-07-22,60056
2018-07-23,60056
2018-07-24,60056
2018-07-25,60056
2018-07-26,60056
2018-07-27,60056
2018-07-28,60056
2018-07-29,60056
2018-07-30,60056
2018-07-31,60056
2018-08-01,60056
2018-08-02,60056
2018-08-03,60056
2018-08-04,60056
2018-08-05,60056
2018-08-06,60056
2018-08-07,60056
2018-08-08,60056
2018-08-09,60056
2018-08-10,57659
2018-08-11,57659
2018-08-12,57659
2018-08-14,57659
2018-08-16,57659
2018-08-17,57659
2018-08-18,57659
2018-08-19,57659
2018-08-20,57659
2018-08-21,57659
2018-08-22,57659
2018-08-23,57659
2018-08-24,57659
2018-08-25,57659
2018-08-26,57659
2018-08-27,57659
2018-08-28,57659
2018-08-29,57659
2018-08-30,57659
2018-08-31,57659
2018-09-01,57659
2018-09-02,57659
2018-09-03,57659
2018-09-04,57659
2018-09-05,57659
2018-09-06,57659
2018-09-07,55528
2018-09-08,55528
2018-09-09,55528
2018-09-10,55528
2018-09-11,55528
2018-09-12,55528
2018-09-13,55528
2018-09-14,55528
2018-09-15,55528
2018-09-16,55528
2018-09-17,55528
2018-09-18,55528
2018-09-19,55528
2018-09-20,55528
2018-09-21,55528
2018-09-22,55528
2018-09-23,55528
2018-09-24,55528
2018-09-25,55528
2018-09-26,55528
2018-09-27,55528
2018-09-28,55528
2018-09-29,55528
2018-09-30,55528
2018-10-01,55528
2018-10-02,55528
2018-10-03,55528
2018-10-04,55528
2018-10-05,55528
2018-10-06,55528
2018-10-07,55528
2018-10-08,54447
2018-10-09,54447
2018-10-10,54447
2018-10-11,54447
2018-10-12,54447
2018-10-13,54447
2018-10-14,54447
2018-10-15,54447
2018-10-16,54447
2018-10-17,54447
2018-10-18,54447
2018-10-19,54447
2018-10-20,54447
2018-10-21,54447
2018-10-22,54447
2018-10-23,54447
2018-10-24,54447
2018-10-25,54447
2018-10-26,54447
2018-10-27,54447
2018-10-28,54447
2018-10-29,54447
2018-10-30,54447
2018-10-31,54447
2018-11-01,54447
2018-11-03,54447
2018-11-04,54447
2018-11-05,54447
2018-11-06,54447
2018-11-07,54447
2018-11-08,54447
2018-11-09,54447
2018-11-10,54447
2018-11-11,53109
2018-11-12,53109
2018-11-13,53109
2018-11-14,53109
2018-11-15,53109
2018-11-16,53109
2018-11-17,53109
2018-11-18,53109
2018-11-19,53109
2018-11-20,53109
2018-11-21,53109
2018-11-22,53109
2018-11-23,53109
2018-11-24,53109
2018-11-25,53109
2018-11-26,53109
2018-11-27,53109
2018-11-28,53109
2018-11-29,53109
2018-12-01,53109
2018-12-02,53109
2018-12-03,53109
2018-12-04,55216
2018-12-05,55216
2018-12-07,55216
2018-12-09,55216
2018-12-10,55216
2018-12-11,55216
2018-12-12,55216
2018-12-13,55216
2018-12-14,55216
2018-12-15,55216
2018-12-16,55216
2018-12-17,55216
2018-12-18,55216
2018-12-19,55216
2018-12-20,55216
2018-12-21,55216
2018-12-22,55216
2018-12-23,56116
2018-12-24,56116
2018-12-25,56116
2018-12-26,56116
2018-12-27,56116
2018-12-28,56116
2018-12-29,56116
2018-12-30,56116
2018-12-31,56116
2019-01-01,56116
2019-01-02,56116
2019-01-03,56116
2019-01-04,56116
2019-01-05,56116
2019-01-06,56116
2019-01-08,56116
2019-01-10,55981
2019-01-11,55981
2019-01-12,53302
2019-01-13,53302
2019-01-14,53302
2019-01-15,53302
2019-01-16,50800
2019-01-17,50800
2019-01-18,50800
2019-01-19,50800
2019-01-20,50800
2019-01-21,50800
2019-01-22,48418
2019-01-23,48418
2019-01-24,48418
2019-01-25,48418
2019-01-26,48418
2019-01-27,48418
2019-01-28,46244
2019-01-29,46244
2019-01-30,46244
2019-01-31,46244
2019-02-01,46244
2019-02-02,46244
2019-02-03,44076
2019-02-04,44076
2019-02-05,44076
2019-02-06,44076
2019-02-07,44076
2019-02-08,44076
2019-02-09,44076
2019-02-10,41947
2019-02-11,41947
2019-02-12,41947
2019-02-13,41947
2019-02-14,41947
2019-02-15,41947
2019-02-16,40028
2019-02-17,40028
2019-02-18,40028
2019-02-19,40028
2019-02-20,40028
2019-02-21,40028
2019-02-22,40028
2019-02-23,38171
2019-02-24,38171
2019-02-25,38171
2019-02-26,38171
2019-02-27,38171
2019-02-28,38171
2019-03-01,38171
2019-03-02,38171
2019-03-03,38171
2019-03-04,38171
2019-03-05,38171
2019-03-06,38171
2019-03-07,38171
2019-03-08,36369
2019-03-09,36369
2019-03-10,36369
2019-03-11,36369
2019-03-12,36369
2019-03-13,36369
2019-03-14,36369
2019-03-15,36369
2019-03-16,34629
2019-03-17,34629
2019-03-18,34629
2019-03-19,34629
2019-03-20,34629
2019-03-21,34629
2019-03-22,34629
2019-03-23,33026
2019-03-24,33026
2019-03-25,33026
2019-03-26,33026
2019-03-27,33026
2019-03-28,33026
2019-03-29,33026
2019-03-30,33026
2019-03-31,33026
2019-04-01,31511
2019-04-02,31511
2019-04-03,31511
2019-04-04,31511
2019-04-05,31511
2019-04-06,31511
2019-04-07,31511
2019-04-08,31511
2019-04-09,31511
2019-04-10,31511
