date_obj,Rune%20dart price
2019-01-03,1072
2019-01-04,1053
2019-01-05,1027
2019-01-06,1018
2019-01-08,1016
2019-01-10,1084
2019-01-11,1139
2019-01-12,1196
2019-01-13,1239
2019-01-14,1195
2019-01-15,1172
2019-01-16,1130
2019-01-17,1097
2019-01-18,1072
2019-01-19,1086
2019-01-20,1113
2019-01-21,1106
2019-01-22,1126
2019-01-23,1129
2019-01-24,1122
2019-01-25,1109
2019-01-26,1095
2019-01-28,1072
2019-01-29,1069
2019-01-30,1065
2019-01-31,1073
2019-02-01,1113
2019-02-02,1142
2019-02-03,1164
2019-02-04,1151
2019-02-05,1140
2019-02-06,1132
2019-02-07,1109
2019-02-08,1089
2019-02-09,1075
2019-02-10,1077
2019-02-11,1100
2019-02-12,1106
2019-02-13,1090
2019-02-14,1061
2019-02-15,1032
2019-02-16,1048
2019-02-17,1089
2019-02-18,1096
2019-02-19,1092
2019-02-20,1093
2019-02-21,1083
2019-02-22,1081
2019-02-23,1079
2019-02-24,1077
2019-02-25,1103
2019-02-26,1137
2019-02-27,1182
2019-02-28,1182
2019-03-01,1133
2019-03-02,1115
2019-03-03,1102
2019-03-04,1093
2019-03-05,1105
2019-03-06,1131
2019-03-07,1127
2019-03-08,1116
2019-03-09,1108
2019-03-10,1108
2019-03-11,1111
2019-03-12,1100
2019-03-13,1092
2019-03-14,1087
2019-03-15,1095
2019-03-16,1112
2019-03-17,1119
2019-03-18,1089
2019-03-19,1096
2019-03-20,1118
2019-03-21,1165
2019-03-22,1158
2019-03-23,1124
2019-03-24,1110
2019-03-25,1113
2019-03-26,1108
2019-03-27,1105
2019-03-28,1101
2019-03-29,1096
2019-03-30,1091
2019-03-31,1067
2019-04-01,1051
2019-04-02,1046
2019-04-03,1048
2019-04-04,1071
2019-04-05,1095
2019-04-06,1102
2019-04-07,1096
2019-04-08,1078
2019-04-09,1071
2019-04-10,1065
2019-04-11,1063
2019-04-12,1071
2019-04-13,1073
2019-04-14,1072
2019-04-15,1087
2019-04-16,1090
2019-04-17,1100
2019-04-18,1092
2019-04-19,1072
2019-04-20,1065
2019-04-21,1066
2019-04-22,1071
2019-04-23,1077
2019-04-24,1060
2019-04-25,1069
2019-04-26,1070
2019-04-27,1081
2019-04-28,1087
2019-04-29,1097
2019-04-30,1090
2019-05-01,1086
2019-05-02,1090
2019-05-03,1129
2019-05-04,1116
2019-05-05,1093
2019-05-06,1088
2019-05-07,1074
2019-05-08,1067
2019-05-09,1060
2019-05-10,1068
2019-05-11,1065
2019-05-12,1069
2019-05-13,1084
2019-05-14,1092
2019-05-15,1089
2019-05-16,1086
2019-05-17,1097
2019-05-18,1096
2019-05-19,1094
2019-05-20,1122
