date_obj,Bowl%20of%20water price
2019-05-19,39
2019-05-20,41
2019-05-21,40
2019-05-22,42
2019-05-23,43
2019-05-24,46
2019-05-25,46
2019-05-26,44
2019-05-27,42
2019-05-28,44
2019-05-29,44
2019-05-30,43
2019-05-31,43
2019-06-01,46
2019-06-02,49
2019-06-03,52
2019-06-04,55
2019-06-05,57
2019-06-06,56
2019-06-07,53
2019-06-08,50
2019-06-09,47
2019-06-10,44
2019-06-11,42
2019-06-12,41
2019-06-13,44
2019-06-14,47
2019-06-15,50
2019-06-16,51
2019-06-17,51
2019-06-18,52
2019-06-19,53
2019-06-20,54
2019-06-21,56
2019-06-22,58
2019-06-23,59
2019-06-24,57
2019-06-25,58
2019-06-26,55
2019-06-27,52
2019-06-28,51
2019-06-29,52
2019-06-30,49
2019-07-01,47
2019-07-02,47
2019-07-03,49
2019-07-04,52
2019-07-05,55
2019-07-06,58
2019-07-07,60
2019-07-08,61
2019-07-09,62
2019-07-10,63
2019-07-11,63
2019-07-12,66
2019-07-13,63
2019-07-14,60
2019-07-15,60
2019-07-16,60
2019-07-17,63
2019-07-18,61
2019-07-19,59
2019-07-20,59
2019-07-21,58
2019-07-22,58
2019-07-23,58
2019-07-24,59
2019-07-25,60
2019-07-26,59
2019-07-27,61
2019-07-28,58
2019-07-29,58
2019-07-30,58
2019-07-31,57
2019-08-01,56
2019-08-02,56
2019-08-03,56
2019-08-04,56
2019-08-05,55
2019-08-06,55
2019-08-07,55
2019-08-08,55
2019-08-09,53
2019-08-10,54
2019-08-11,56
2019-08-12,55
2019-08-13,54
2019-08-14,54
2019-08-15,56
2019-08-16,57
2019-08-17,55
2019-08-18,57
2019-08-19,57
