date_obj,Black%20shield%20(h5) price
2017-07-24,861
2017-07-25,861
2017-07-26,861
2017-07-27,861
2017-07-28,861
2017-07-29,859
2017-07-30,859
2017-07-31,859
2017-08-01,859
2017-08-02,838
2017-08-03,838
2017-08-04,838
2017-08-05,838
2017-08-06,837
2017-08-07,837
2017-08-08,837
2017-08-09,837
2017-08-10,837
2017-08-11,857
2017-08-12,857
2017-08-13,857
2017-08-14,857
2017-08-15,857
2017-08-16,857
2017-08-17,857
2017-08-18,867
2017-08-19,867
2017-08-20,867
2017-08-21,867
2017-08-22,880
2017-08-23,880
2017-08-24,880
2017-08-25,880
2017-08-26,880
2017-08-27,880
2017-08-28,884
2017-08-29,884
2017-08-30,884
2017-08-31,884
2017-09-01,884
2017-09-02,884
2017-09-03,913
2017-09-04,913
2017-09-05,913
2017-09-06,913
2017-09-07,913
2017-09-08,913
2017-09-09,923
2017-09-10,923
2017-09-11,923
2017-09-12,923
2017-09-13,923
2017-09-14,928
2017-09-15,928
2017-09-16,928
2017-09-17,928
2017-09-18,928
2017-09-19,928
2017-09-20,928
2017-09-22,940
2017-09-23,940
2017-09-24,940
2017-09-25,940
2017-09-26,940
2017-09-27,940
2017-09-28,954
2017-09-29,954
2017-09-30,954
2017-10-01,954
2017-10-02,973
2017-10-03,973
2017-10-04,973
2017-10-05,973
2017-10-06,973
2017-10-07,966
2017-10-08,966
2017-10-09,966
2017-10-10,966
2017-10-11,966
2017-10-12,966
2017-10-13,966
2017-10-14,965
2017-10-15,965
2017-10-16,965
2017-10-17,965
2017-10-18,965
2017-10-19,965
2017-10-20,965
2017-10-21,965
2017-10-22,958
2017-10-23,958
2017-10-24,958
2017-10-25,958
2017-10-26,958
2017-10-27,958
2017-10-28,958
2017-10-29,958
2017-10-30,969
2017-10-31,969
2017-11-01,969
2017-11-02,969
2017-11-03,969
2017-11-04,969
2017-11-05,973
2017-11-06,973
2017-11-07,973
2017-11-08,973
2017-11-09,958
2017-11-10,958
2017-11-11,958
2017-11-12,958
2017-11-13,958
2017-11-14,958
2017-11-15,958
2017-11-16,937
2017-11-17,937
2017-11-18,937
2017-11-19,937
2017-11-20,937
2017-11-21,927
2017-11-22,927
2017-11-23,927
2017-11-24,927
2017-11-25,927
2017-11-26,912
2017-11-27,912
2017-11-28,912
2017-11-29,912
2017-11-30,912
2017-12-01,912
2017-12-02,912
2017-12-03,917
2017-12-04,917
2017-12-05,917
2017-12-06,917
2017-12-07,917
2017-12-08,917
2017-12-09,917
2017-12-10,928
2017-12-11,928
2017-12-12,928
2017-12-13,928
2017-12-14,928
2017-12-15,928
2017-12-16,904
2017-12-17,904
2017-12-18,904
2017-12-19,904
2017-12-20,904
2017-12-21,904
2017-12-22,900
2017-12-23,900
2017-12-24,900
2017-12-25,900
2017-12-26,900
2017-12-27,900
2017-12-28,885
2017-12-29,885
2017-12-30,885
2017-12-31,885
2018-01-01,872
2018-01-02,872
2018-01-03,872
2018-01-04,872
2018-01-05,871
2018-01-06,871
2018-01-07,871
2018-01-08,871
2018-01-09,871
2018-01-10,871
2018-01-11,848
2018-01-12,848
2018-01-13,848
2018-01-14,848
2018-01-15,848
2018-01-16,863
2018-01-17,863
2018-01-18,863
2018-01-19,863
2018-01-20,863
2018-01-21,863
2018-01-22,864
2018-01-23,864
2018-01-24,864
2018-01-25,864
2018-01-26,864
2018-01-27,864
2018-01-28,879
2018-01-29,879
2018-01-30,879
2018-01-31,879
2018-02-01,879
2018-02-02,879
2018-02-03,886
2018-02-04,886
2018-02-05,886
2018-02-06,886
2018-02-07,886
2018-02-08,886
2018-02-09,890
2018-02-10,890
2018-02-11,890
2018-02-12,890
2018-02-13,890
2018-02-14,890
2018-02-15,898
2018-02-16,898
2018-02-17,898
2018-02-18,898
2018-02-19,898
2018-02-20,886
2018-02-21,886
2018-02-22,886
2018-02-23,886
2018-02-24,886
2018-02-25,886
2018-02-26,914
2018-02-27,914
2018-02-28,914
2018-03-01,914
2018-03-02,914
2018-03-03,922
2018-03-04,922
2018-03-05,922
2018-03-06,922
2018-03-07,922
2018-03-08,922
2018-03-09,919
2018-03-10,919
2018-03-11,919
2018-03-12,919
2018-03-13,919
2018-03-14,919
2018-03-15,927
2018-03-16,927
2018-03-17,927
2018-03-18,927
2018-03-20,927
2018-03-21,934
2018-03-22,934
2018-03-23,934
2018-03-24,934
2018-03-25,934
2018-03-26,934
2018-03-27,938
2018-03-28,938
2018-03-29,938
2018-03-30,938
2018-03-31,938
2018-04-01,938
2018-04-02,938
2018-04-03,919
2018-04-04,919
2018-04-05,919
2018-04-06,919
2018-04-07,919
2018-04-08,919
2018-04-09,919
2018-04-10,919
2018-04-11,929
2018-04-12,929
2018-04-13,929
2018-04-14,929
2018-04-15,929
2018-04-16,929
2018-04-17,929
2018-04-18,942
2018-04-19,942
2018-04-20,942
2018-04-21,942
2018-04-22,942
2018-04-23,942
2018-04-24,942
2018-04-25,942
2018-04-26,899
2018-04-27,899
2018-04-28,899
2018-04-29,899
2018-04-30,899
2018-05-01,899
2018-05-02,915
2018-05-03,915
2018-05-04,915
2018-05-05,915
2018-05-06,915
2018-05-07,915
2018-05-08,929
2018-05-09,929
2018-05-10,929
2018-05-11,929
2018-05-12,929
2018-05-13,929
2018-05-14,924
2018-05-15,924
2018-05-16,924
2018-05-17,924
2018-05-18,924
2018-05-19,924
2018-05-20,924
2018-05-21,940
2018-05-22,940
2018-05-23,940
2018-05-24,940
2018-05-25,940
2018-05-26,954
2018-05-27,954
2018-05-28,954
2018-05-29,954
2018-05-30,954
2018-05-31,988
2018-06-01,988
2018-06-02,988
2018-06-03,988
2018-06-04,988
2018-06-05,1031
2018-06-06,1031
2018-06-07,1031
2018-06-08,1031
2018-06-09,1031
2018-06-10,1031
2018-06-11,1031
2018-06-12,1002
2018-06-13,1002
2018-06-14,1002
2018-06-15,1002
2018-06-16,973
2018-06-17,973
2018-06-18,973
2018-06-19,973
2018-06-20,973
2018-06-21,973
2018-06-22,933
2018-06-23,933
2018-06-24,933
2018-06-25,933
2018-06-26,933
2018-06-27,933
2018-06-28,938
2018-06-29,938
2018-06-30,938
2018-07-01,938
2018-07-02,938
2018-07-03,926
2018-07-04,926
2018-07-05,926
2018-07-06,926
2018-07-07,926
2018-07-08,947
2018-07-09,947
2018-07-10,947
2018-07-11,947
2018-07-12,947
2018-07-13,947
2018-07-14,947
2018-07-15,947
2018-07-16,946
2018-07-17,946
2018-07-18,946
2018-07-19,946
2018-07-20,946
2018-07-21,918
2018-07-22,918
2018-07-23,918
2018-07-24,918
2018-07-25,918
2018-07-26,918
2018-07-27,918
2018-07-28,918
2018-07-29,918
2018-07-30,918
2018-07-31,904
2018-08-01,904
2018-08-02,904
2018-08-03,904
2018-08-04,904
2018-08-05,930
2018-08-06,930
2018-08-07,930
2018-08-08,930
2018-08-09,930
2018-08-10,920
2018-08-11,920
2018-08-12,920
2018-08-14,926
2018-08-16,926
2018-08-17,926
2018-08-18,926
2018-08-19,953
2018-08-20,953
2018-08-21,953
2018-08-22,953
2018-08-23,953
2018-08-24,998
2018-08-25,998
2018-08-26,998
2018-08-27,1021
2018-08-28,1021
2018-08-29,1021
2018-08-30,1066
2018-08-31,1066
2018-09-01,1066
2018-09-02,1109
2018-09-03,1109
2018-09-04,1109
2018-09-05,1122
2018-09-06,1122
2018-09-07,1122
2018-09-08,1102
2018-09-09,1102
2018-09-10,1102
2018-09-11,1092
2018-09-12,1092
2018-09-13,1092
2018-09-14,1116
2018-09-15,1116
2018-09-16,1116
2018-09-17,1076
2018-09-18,1076
2018-09-19,1076
2018-09-20,1098
2018-09-21,1098
2018-09-22,1098
2018-09-23,1093
2018-09-24,1093
2018-09-25,1093
2018-09-26,1081
2018-09-27,1081
2018-09-28,1081
2018-09-29,1081
2018-09-30,1078
2018-10-01,1078
2018-10-02,1078
2018-10-03,1094
2018-10-04,1094
2018-10-05,1094
2018-10-06,1085
2018-10-07,1085
2018-10-08,1085
2018-10-09,1068
2018-10-10,1068
2018-10-11,1068
2018-10-12,1068
2018-10-13,1107
2018-10-14,1107
2018-10-15,1107
2018-10-16,1107
2018-10-17,1128
2018-10-18,1128
2018-10-19,1128
2018-10-20,1128
2018-10-21,1178
2018-10-22,1178
2018-10-23,1178
2018-10-24,1178
2018-10-25,1220
2018-10-26,1220
2018-10-27,1220
2018-10-28,1220
2018-10-29,1220
2018-10-30,1275
2018-10-31,1320
2018-11-01,1365
2018-11-03,1389
2018-11-04,1438
2018-11-05,1484
2018-11-06,1553
2018-11-07,1607
2018-11-08,1661
2018-11-09,1711
2018-11-10,1758
2018-11-11,1818
2018-11-12,1895
2018-11-13,1966
2018-11-15,2040
2018-11-16,2124
2018-11-17,2180
2018-11-18,2180
2018-11-19,2217
2018-11-20,2232
2018-11-21,2232
2018-11-22,2216
2018-11-23,2216
2018-11-24,2327
