date_obj,Desert%20legs price
2018-06-01,1596
2018-06-02,1596
2018-06-03,1517
2018-06-04,1517
2018-06-05,1516
2018-06-06,1516
2018-06-07,1516
2018-06-08,1570
2018-06-09,1570
2018-06-10,1570
2018-06-11,1570
2018-06-12,1571
2018-06-13,1571
2018-06-14,1571
2018-06-15,1582
2018-06-16,1582
2018-06-17,1582
2018-06-18,1531
2018-06-19,1531
2018-06-20,1531
2018-06-21,1460
2018-06-22,1460
2018-06-23,1460
2018-06-24,1467
2018-06-25,1467
2018-06-26,1467
2018-06-27,1509
2018-06-28,1509
2018-06-29,1509
2018-06-30,1547
2018-07-01,1547
2018-07-02,1547
2018-07-03,1608
2018-07-04,1608
2018-07-05,1608
2018-07-06,1535
2018-07-07,1535
2018-07-08,1535
2018-07-09,1458
2018-07-10,1458
2018-07-11,1458
2018-07-12,1458
2018-07-13,1458
2018-07-14,1410
2018-07-15,1410
2018-07-16,1410
2018-07-17,1365
2018-07-18,1365
2018-07-19,1365
2018-07-20,1365
2018-07-21,1397
2018-07-22,1397
2018-07-23,1397
2018-07-24,1387
2018-07-25,1387
2018-07-26,1387
2018-07-27,1338
2018-07-28,1338
2018-07-29,1338
2018-07-30,1366
2018-07-31,1366
2018-08-01,1366
2018-08-02,1341
2018-08-03,1341
2018-08-04,1341
2018-08-05,1336
2018-08-06,1336
2018-08-07,1336
2018-08-08,1279
2018-08-09,1279
2018-08-10,1279
2018-08-11,1215
2018-08-12,1215
2018-08-14,1156
2018-08-16,1135
2018-08-17,1135
2018-08-18,1139
2018-08-19,1139
2018-08-20,1164
2018-08-21,1164
2018-08-22,1164
2018-08-23,1208
2018-08-24,1208
2018-08-25,1224
2018-08-26,1224
2018-08-27,1224
2018-08-28,1254
2018-08-29,1254
2018-08-30,1254
2018-08-31,1300
2018-09-01,1300
2018-09-02,1300
2018-09-03,1325
2018-09-04,1325
2018-09-05,1391
2018-09-06,1391
2018-09-07,1391
2018-09-08,1424
2018-09-09,1424
2018-09-10,1424
2018-09-11,1424
2018-09-12,1469
2018-09-13,1469
2018-09-14,1469
2018-09-15,1476
2018-09-16,1476
2018-09-17,1476
2018-09-18,1494
2018-09-19,1494
2018-09-20,1494
2018-09-21,1522
2018-09-22,1522
2018-09-23,1487
