date_obj,Dragon%20platebody%20ornament%20kit price
2019-09-24,20126571
2019-09-25,20126571
2019-09-26,20126571
2019-09-27,20126571
2019-09-28,20485955
2019-09-29,20485955
2019-09-30,20485955
2019-10-01,20485955
2019-10-02,20485955
2019-10-03,20681418
2019-10-04,20681418
2019-10-05,20681418
2019-10-06,20681418
2019-10-07,20681418
2019-10-08,20702616
2019-10-09,20702616
2019-10-10,20702616
2019-10-11,20702616
2019-10-12,20702616
2019-10-13,20558766
2019-10-14,20558766
2019-10-15,20558766
2019-10-16,20558766
2019-10-17,20558766
2019-10-18,20558766
2019-10-19,20438227
2019-10-20,20438227
2019-10-21,20438227
2019-10-22,20438227
2019-10-23,20438227
2019-10-24,20438227
2019-10-25,20254010
2019-10-26,20254010
2019-10-27,20254010
2019-10-28,20254010
2019-10-29,20254010
2019-10-30,19978566
2019-10-31,19978566
2019-11-01,19978566
2019-11-02,19978566
2019-11-03,19859608
2019-11-04,19859608
2019-11-05,19859608
2019-11-06,19859608
2019-11-07,19859608
2019-11-08,19491010
2019-11-09,19491010
2019-11-10,19491010
2019-11-11,19574758
2019-11-12,19574758
2019-11-13,19574758
2019-11-14,19574758
2019-11-15,19574758
2019-11-16,20329515
2019-11-17,20329515
2019-11-18,20329515
2019-11-19,20329515
2019-11-20,21279180
2019-11-21,21279180
2019-11-22,21279180
2019-11-23,21279180
2019-11-24,21969918
2019-11-25,21969918
2019-11-26,21969918
2019-11-27,21969918
2019-11-28,22329130
2019-11-29,22329130
2019-11-30,22329130
2019-12-01,22329130
2019-12-02,22329130
2019-12-03,22192793
2019-12-04,22192793
2019-12-05,22192793
2019-12-06,22192793
2019-12-07,22192793
2019-12-08,22192793
2019-12-09,21354421
2019-12-10,21354421
2019-12-11,21354421
2019-12-12,21354421
2019-12-13,21354421
2019-12-14,20719175
2019-12-15,20719175
2019-12-16,20719175
2019-12-17,20719175
2019-12-18,20719175
2019-12-19,20781409
2019-12-20,20781409
2019-12-21,20781409
2019-12-22,20781409
2019-12-23,20334993
2019-12-24,20334993
2019-12-25,20334993
2019-12-26,20334993
2019-12-27,20182606
2019-12-28,20182606
2019-12-29,20182606
2019-12-30,20182606
2019-12-31,20182606
2020-01-01,19943637
2020-01-02,19943637
2020-01-03,19943637
2020-01-04,19943637
2020-01-05,19688931
2020-01-06,19688931
2020-01-07,19688931
2020-01-08,19688931
2020-01-09,19688931
2020-01-10,19267066
2020-01-11,19267066
2020-01-12,19267066
2020-01-13,19267066
2020-01-14,19276230
2020-01-15,19276230
2020-01-16,19276230
2020-01-17,19276230
2020-01-18,19143510
2020-01-19,19143510
2020-01-20,19143510
2020-01-21,19143510
2020-01-22,19143510
2020-01-23,18809799
2020-01-24,18809799
2020-01-25,18809799
2020-01-26,18809799
2020-01-27,18707494
2020-01-28,18707494
2020-01-29,18707494
2020-01-30,18707494
2020-01-31,18707494
2020-02-01,18887654
2020-02-02,18887654
2020-02-03,18887654
2020-02-04,18887654
2020-02-05,18618166
2020-02-06,18618166
2020-02-07,18618166
2020-02-08,18618166
2020-02-09,17817948
2020-02-10,17817948
2020-02-11,17817948
2020-02-12,17817948
2020-02-13,17076453
2020-02-14,17076453
2020-02-15,17076453
2020-02-16,17076453
2020-02-17,16222630
2020-02-18,16222630
2020-02-19,16222630
2020-02-20,15452294
2020-02-21,15452294
2020-02-22,15452294
2020-02-23,15452294
2020-02-24,15156248
2020-02-25,15156248
2020-02-26,15156248
2020-02-27,15774149
2020-02-28,15774149
2020-02-29,15774149
2020-03-01,16215841
2020-03-02,16215841
2020-03-03,16215841
2020-03-04,15957254
2020-03-05,15957254
2020-03-06,15955278
2020-03-07,15955278
2020-03-08,15955278
2020-03-09,15955278
2020-03-10,16183522
2020-03-11,16183522
2020-03-12,16183522
2020-03-13,16183522
2020-03-14,16482725
2020-03-15,16482725
2020-03-16,16482725
2020-03-17,16482725
2020-03-18,16482725
2020-03-19,16320004
2020-03-20,16320004
2020-03-21,16320004
2020-03-22,16239508
2020-03-23,16239508
2020-03-24,16239508
2020-03-25,16253651
2020-03-26,16253651
2020-03-27,16585631
2020-03-28,16585631
2020-03-29,16585631
2020-03-30,16527400
2020-03-31,16527400
2020-04-01,16527400
2020-04-02,16709886
2020-04-03,16709886
2020-04-04,16709886
2020-04-05,16709886
2020-04-06,17269102
2020-04-07,17269102
2020-04-08,17269102
2020-04-09,17269102
2020-04-10,17388033
2020-04-11,17388033
2020-04-12,17388033
2020-04-13,17635620
2020-04-14,17635620
2020-04-15,18315479
2020-04-16,18315479
2020-04-17,18315479
2020-04-18,19087301
2020-04-19,19087301
2020-04-20,19477679
2020-04-21,19477679
2020-04-22,19477679
2020-04-23,19477679
2020-04-24,19408756
2020-04-25,19408756
2020-04-26,19408756
2020-04-27,19265639
2020-04-28,19265639
2020-04-29,19265639
2020-04-30,18484273
2020-05-01,18484273
2020-05-02,18484273
2020-05-03,17627622
2020-05-04,17627622
2020-05-05,17627622
2020-05-06,17627622
2020-05-07,17283247
2020-05-08,17283247
2020-05-09,17283247
2020-05-10,16968986
2020-05-11,16968986
2020-05-12,16968986
2020-05-13,16608759
