date_obj,Tan%20cavalier price
2019-01-21,2997
2019-01-22,2997
2019-01-23,2895
2019-01-24,2895
2019-01-25,2842
2019-01-26,2842
2019-01-27,2738
2019-01-28,2738
2019-01-29,2622
2019-01-30,2622
2019-01-31,2517
2019-02-01,2410
2019-02-02,2410
2019-02-03,2294
2019-02-04,2294
2019-02-05,2258
2019-02-06,2258
2019-02-07,2268
2019-02-08,2268
2019-02-09,2276
2019-02-10,2276
2019-02-11,2255
2019-02-12,2255
2019-02-13,2282
2019-02-14,2282
2019-02-15,2342
2019-02-16,2342
2019-02-17,2291
2019-02-18,2291
2019-02-19,2210
2019-02-20,2210
2019-02-21,2103
2019-02-22,2103
2019-02-23,2016
2019-02-24,2016
2019-02-25,1989
2019-02-26,1989
2019-02-27,1925
2019-02-28,1925
2019-03-01,1870
2019-03-02,1870
2019-03-03,1815
2019-03-04,1815
2019-03-05,1856
2019-03-06,1856
2019-03-07,1788
2019-03-08,1788
2019-03-09,1788
2019-03-10,1729
2019-03-11,1729
2019-03-12,1711
2019-03-13,1711
2019-03-14,1716
2019-03-15,1716
2019-03-16,1716
2019-03-17,1717
2019-03-18,1717
2019-03-19,1646
2019-03-20,1646
2019-03-21,1652
2019-03-22,1652
2019-03-23,1614
2019-03-24,1614
2019-03-25,1618
2019-03-26,1618
2019-03-27,1618
2019-03-28,1608
2019-03-29,1608
2019-03-30,1581
2019-03-31,1581
2019-04-01,1575
