date_obj,Ancient%20rune%20armour%20set%20(lg) price
2017-05-23,165673
2017-05-24,164812
2017-05-25,164812
2017-05-26,163085
2017-05-27,163085
2017-05-28,165039
2017-05-29,165039
2017-05-30,164924
2017-05-31,164924
2017-06-01,164287
2017-06-02,164287
2017-06-03,162167
2017-06-04,161847
2017-06-05,161847
2017-06-06,159185
2017-06-07,159185
2017-06-08,158461
2017-06-09,158461
2017-06-10,158417
2017-06-11,158417
2017-06-12,158146
2017-06-13,158146
2017-06-14,157740
2017-06-15,157740
2017-06-16,156172
2017-06-17,156172
2017-06-18,154035
2017-06-19,154035
2017-06-20,152428
2017-06-21,152428
2017-06-22,153481
2017-06-23,153481
2017-06-24,156014
2017-06-25,156014
2017-06-26,156160
2017-06-27,156160
2017-06-28,160247
2017-06-29,160247
2017-06-30,163521
2017-07-01,163521
2017-07-02,163521
2017-07-03,163640
2017-07-04,163640
2017-07-05,162185
2017-07-06,162185
2017-07-07,160975
2017-07-08,160975
2017-07-09,159257
2017-07-13,158171
2017-07-14,157166
2017-07-15,157166
2017-07-16,156868
2017-07-17,159361
2017-07-18,159361
2017-07-19,158848
2017-07-20,160910
2017-07-21,163921
2017-07-22,167213
2017-07-23,170943
2017-07-24,170943
2017-07-25,172709
2017-07-26,172709
2017-07-27,174652
2017-07-28,174652
2017-07-29,173589
2017-07-30,174340
2017-07-31,174340
2017-08-01,173974
2017-08-02,175453
2017-08-03,175453
2017-08-04,175872
2017-08-05,173185
2017-08-06,173185
2017-08-07,175358
2017-08-08,175358
2017-08-09,175724
2017-08-10,173575
2017-08-11,173575
2017-08-12,170792
2017-08-13,170792
2017-08-14,168869
2017-08-15,168869
2017-08-16,165984
2017-08-17,163616
2017-08-18,163616
2017-08-19,163378
2017-08-20,160878
2017-08-21,160878
2017-08-22,158885
2017-08-23,158885
2017-08-24,157524
2017-08-25,157524
2017-08-26,156507
2017-08-27,156507
2017-08-28,156466
2017-08-29,156466
2017-08-30,155095
2017-08-31,155095
2017-09-01,156928
2017-09-02,158268
2017-09-03,158268
2017-09-04,160861
2017-09-05,160861
2017-09-06,162407
2017-09-07,162407
2017-09-08,160467
2017-09-09,160467
2017-09-10,162223
2017-09-11,162223
2017-09-12,164954
2017-09-13,164954
2017-09-14,165678
2017-09-15,165678
2017-09-16,165815
2017-09-17,163840
2017-09-18,163840
2017-09-19,162587
2017-09-20,164177
2017-09-22,165607
2017-09-23,165607
2017-09-24,164509
2017-09-25,164509
2017-09-26,162774
2017-09-27,162774
2017-09-28,160143
2017-09-29,160143
2017-09-30,158548
2017-10-01,158548
2017-10-02,156272
2017-10-03,156272
2017-10-04,154748
2017-10-05,154748
2017-10-06,152186
2017-10-07,152186
2017-10-08,151441
2017-10-09,151441
2017-10-10,151809
2017-10-11,151809
2017-10-12,154553
2017-10-13,154553
2017-10-14,157077
2017-10-15,157077
2017-10-16,155679
2017-10-17,155679
2017-10-18,153875
2017-10-19,153875
2017-10-20,154340
2017-10-21,154340
2017-10-22,154166
2017-10-23,154166
2017-10-24,153258
2017-10-25,151548
2017-10-26,151548
2017-10-27,151108
2017-10-28,151108
2017-10-29,150615
2017-10-30,150615
2017-10-31,149247
2017-11-01,149247
2017-11-02,149309
2017-11-03,149309
2017-11-04,149603
2017-11-05,149603
2017-11-06,148361
2017-11-07,148361
2017-11-08,150304
2017-11-09,150304
2017-11-10,152727
2017-11-11,152727
2017-11-12,153561
2017-11-13,153561
2017-11-14,158705
2017-11-15,158705
2017-11-16,161815
2017-11-17,161815
2017-11-18,165043
2017-11-19,165043
2017-11-20,166700
2017-11-21,166700
2017-11-22,165695
2017-11-23,165695
2017-11-24,168456
2017-11-25,168456
2017-11-26,171438
2017-11-27,171438
2017-11-28,176146
2017-11-29,176146
2017-11-30,182905
2017-12-01,181908
2017-12-02,181908
2017-12-03,175884
2017-12-04,175884
2017-12-05,173846
2017-12-06,173846
2017-12-07,172841
2017-12-08,172841
2017-12-09,173312
2017-12-10,175619
2017-12-11,175619
2017-12-12,176687
2017-12-13,176687
2017-12-14,175255
2017-12-15,173988
2017-12-16,173988
2017-12-17,172734
2017-12-18,169249
2017-12-19,169249
2017-12-20,169780
2017-12-21,171508
2017-12-22,171508
2017-12-23,172893
2017-12-24,172893
2017-12-25,175396
2017-12-26,175396
2017-12-27,173535
2017-12-28,173535
2017-12-29,170563
2017-12-30,168314
2017-12-31,168314
2018-01-01,171311
2018-01-02,171311
2018-01-03,169203
2018-01-04,169203
2018-01-05,168198
2018-01-06,168198
2018-01-07,169127
2018-01-08,169127
2018-01-09,166450
2018-01-10,166450
2018-01-11,168055
2018-01-12,168055
2018-01-13,169294
2018-01-14,164368
2018-01-15,165329
2018-01-16,164966
2018-01-17,162846
2018-01-18,166116
2018-01-19,166116
2018-01-20,163991
2018-01-21,163991
2018-01-22,163856
2018-01-23,161598
2018-01-24,162013
2018-01-25,161393
2018-01-26,160779
2018-01-27,160789
2018-01-28,161272
2018-01-29,162084
2018-01-30,161763
2018-01-31,160241
2018-02-01,159374
2018-02-02,158790
2018-02-03,158979
2018-02-04,159581
2018-02-05,159844
2018-02-06,157725
2018-02-07,156703
2018-02-08,156703
2018-02-09,160177
2018-02-10,160177
2018-02-11,159583
2018-02-12,158309
2018-02-13,158859
2018-02-14,157554
2018-02-15,159135
