date_obj,Shade%20robe%20top price
2019-03-01,766
2019-03-02,803
2019-03-03,814
2019-03-04,822
2019-03-05,833
2019-03-06,857
2019-03-07,856
2019-03-08,856
2019-03-09,857
2019-03-10,854
2019-03-11,849
2019-03-12,824
2019-03-13,806
2019-03-14,786
2019-03-15,818
2019-03-16,849
2019-03-17,884
2019-03-18,928
2019-03-19,975
2019-03-20,1024
2019-03-21,1041
2019-03-22,988
2019-03-23,948
2019-03-24,900
2019-03-25,855
2019-03-26,821
2019-03-27,821
2019-03-28,808
2019-03-29,843
2019-03-30,877
2019-03-31,921
2019-04-01,968
2019-04-02,993
2019-04-03,1016
2019-04-04,987
2019-04-05,943
2019-04-06,938
2019-04-07,985
2019-04-08,1023
2019-04-09,1019
2019-04-10,984
2019-04-11,950
2019-04-12,979
2019-04-13,996
2019-04-14,958
2019-04-15,955
2019-04-16,999
2019-04-17,1049
2019-04-18,1101
2019-04-19,1157
2019-04-20,1215
2019-04-21,1276
2019-04-22,1340
2019-04-23,1407
2019-04-24,1478
2019-04-25,1552
2019-04-26,1630
2019-04-27,1712
2019-04-28,1798
2019-04-29,1888
2019-04-30,1983
2019-05-01,2083
