date_obj,Katana price
2017-10-01,247312
2017-10-02,247312
2017-10-03,246470
2017-10-04,246470
2017-10-05,237838
2017-10-06,235702
2017-10-07,238426
2017-10-08,238426
2017-10-09,237686
2017-10-10,231327
2017-10-11,231327
2017-10-12,228051
2017-10-13,225533
2017-10-14,216304
2017-10-15,216304
2017-10-16,206615
2017-10-17,206615
2017-10-18,207898
2017-10-19,211614
2017-10-20,211614
2017-10-21,215293
2017-10-22,217792
2017-10-23,217792
2017-10-24,215270
2017-10-25,216654
2017-10-26,216654
2017-10-27,220353
2017-10-28,220353
2017-10-29,216348
2017-10-30,214354
2017-10-31,212927
2017-11-01,212927
2017-11-02,209675
2017-11-03,209675
2017-11-04,206218
2017-11-05,206218
2017-11-06,204957
2017-11-07,204957
2017-11-08,194869
2017-11-09,190007
2017-11-10,190007
2017-11-11,188407
2017-11-12,182611
2017-11-13,183779
2017-11-14,183779
2017-11-15,181588
2017-11-16,181869
2017-11-17,181869
2017-11-18,184229
2017-11-19,186823
2017-11-20,187630
2017-11-21,186134
2017-11-22,186134
2017-11-23,186806
2017-11-24,186806
2017-11-25,188909
2017-11-26,188909
2017-11-27,183994
2017-11-28,181898
2017-11-29,181898
2017-11-30,176062
2017-12-01,169193
2017-12-02,169193
2017-12-03,162677
2017-12-04,162677
2017-12-05,157895
2017-12-06,156833
2017-12-07,162102
2017-12-08,162102
2017-12-09,168266
2017-12-10,173743
2017-12-11,176236
2017-12-12,176236
2017-12-14,179953
2017-12-15,181702
2017-12-16,181702
2017-12-17,183829
2017-12-18,178058
2017-12-19,178058
2017-12-20,175155
2017-12-21,171362
2017-12-22,167240
2017-12-23,169169
2017-12-24,169169
2017-12-25,170117
2017-12-26,169835
2017-12-27,169289
2017-12-28,169289
2017-12-29,169178
2017-12-30,171638
2017-12-31,171638
2018-01-01,176968
2018-01-02,178195
2018-01-03,175979
2018-01-04,175979
2018-01-05,176257
2018-01-06,177059
2018-01-07,177289
2018-01-08,178066
2018-01-09,178117
2018-01-10,178117
2018-01-11,178817
2018-01-12,179166
2018-01-13,181552
2018-01-14,183026
2018-01-15,185269
2018-01-16,185797
2018-01-17,187425
2018-01-18,192161
2018-01-19,192161
2018-01-20,196013
2018-01-21,196013
2018-01-22,200003
2018-01-23,201557
2018-01-25,201017
2018-01-26,200366
2018-01-27,203221
2018-01-28,202620
2018-01-29,201102
2018-01-31,198786
2018-02-01,199324
2018-02-02,199324
2018-02-03,199881
2018-02-04,200373
2018-02-05,202617
2018-02-06,205066
2018-02-07,204721
2018-02-08,204721
2018-02-09,204889
2018-02-10,204889
2018-02-11,203039
2018-02-12,203039
2018-02-13,200992
2018-02-14,198890
2018-02-15,198924
2018-02-16,198924
2018-02-17,199564
2018-02-18,199564
2018-02-19,198898
2018-02-20,198898
2018-02-21,198314
2018-02-22,198314
2018-02-23,201865
2018-02-24,201865
2018-02-25,204125
2018-02-26,204125
2018-02-27,203412
2018-02-28,203412
2018-03-01,207878
2018-03-02,216459
2018-03-03,219136
2018-03-04,219136
2018-03-05,226001
2018-03-06,220767
2018-03-07,218965
2018-03-08,218965
2018-03-09,219808
2018-03-10,219808
2018-03-11,222373
2018-03-12,225049
2018-03-13,235785
2018-03-14,243109
2018-03-15,243109
2018-03-16,243922
2018-03-17,245154
2018-03-18,245154
2018-03-19,245549
2018-03-20,253988
2018-03-21,264803
2018-03-23,277323
2018-03-24,291190
2018-03-25,300462
2018-03-26,300462
2018-03-27,312142
2018-03-28,312142
2018-03-29,327475
2018-03-30,341661
2018-03-31,341661
2018-04-01,343720
2018-04-02,328343
2018-04-03,312658
2018-04-04,298407
2018-04-05,298407
2018-04-06,283486
2018-04-07,283486
2018-04-08,270327
2018-04-09,270121
2018-04-10,270121
2018-04-11,262615
2018-04-12,255987
2018-04-13,255987
2018-04-14,251149
2018-04-15,242834
2018-04-16,242834
2018-04-17,244362
2018-04-18,244362
2018-04-19,244040
2018-04-20,244040
2018-04-21,250332
2018-04-22,250332
2018-04-23,257863
2018-04-24,257863
2018-04-25,262099
2018-04-26,262099
2018-04-27,265066
2018-04-28,262257
2018-04-29,255085
2018-04-30,255769
2018-05-01,252490
2018-05-04,250680
2018-05-05,240316
2018-05-06,240316
2018-05-07,231213
2018-05-08,231213
2018-05-09,220428
2018-05-10,213327
2018-05-11,203994
2018-05-12,204400
2018-05-13,204400
2018-05-14,207852
2018-05-15,207852
2018-05-16,209960
2018-05-17,209960
2018-05-18,213138
2018-05-19,210382
2018-05-20,210382
2018-05-21,211689
2018-05-22,211689
2018-05-23,213478
2018-05-24,213478
2018-05-25,211791
2018-05-26,209234
2018-05-27,209234
2018-05-28,207009
2018-05-29,200376
2018-05-30,200376
2018-05-31,197558
2018-06-01,197558
2018-06-02,195649
2018-06-03,195649
