date_obj,Amulet%20of%20torture price
2019-11-02,15111388
2019-11-03,15090912
2019-11-04,15014073
2019-11-05,14991407
2019-11-06,14956889
2019-11-07,14970345
2019-11-08,15021000
2019-11-09,15192442
2019-11-10,15289441
2019-11-11,15275072
2019-11-12,15247347
2019-11-13,15347693
2019-11-14,15330787
2019-11-15,15341266
2019-11-16,15635185
2019-11-17,15605119
2019-11-18,15533022
2019-11-19,15505061
2019-11-20,15434622
2019-11-21,15412788
2019-11-22,15451049
2019-11-23,15661419
2019-11-24,15677583
2019-11-25,15722351
2019-11-26,15681924
2019-11-27,15717443
2019-11-28,15724286
2019-11-29,15844157
2019-11-30,15827800
2019-12-01,15893211
2019-12-02,15820328
2019-12-03,15658232
2019-12-04,15540623
2019-12-05,15474052
