date_obj,Dark%20tuxedo%20jacket price
2019-02-16,2460502
2019-02-17,2460502
2019-02-18,2460502
2019-02-19,2460502
2019-02-20,2460502
2019-02-21,2342491
2019-02-22,2342491
2019-02-23,2342491
2019-02-24,2342491
2019-02-25,2342491
2019-02-26,2238914
2019-02-27,2238914
2019-02-28,2238914
2019-03-01,2238914
2019-03-02,2238914
2019-03-03,2238914
2019-03-04,2145726
2019-03-05,2145726
2019-03-06,2145726
2019-03-07,2145726
2019-03-08,2145726
2019-03-09,2055369
2019-03-10,2055369
2019-03-11,2055369
2019-03-12,2055369
2019-03-13,2055369
2019-03-14,1973605
2019-03-15,1973605
2019-03-16,1973605
2019-03-17,1973605
2019-03-18,1973605
2019-03-19,1923738
2019-03-20,1923738
2019-03-21,1923738
2019-03-22,1923738
2019-03-23,1881790
2019-03-24,1881790
2019-03-25,1881790
2019-03-26,1881790
2019-03-27,1881790
2019-03-28,1824784
2019-03-29,1824784
2019-03-30,1824784
2019-03-31,1824784
2019-04-01,1824784
2019-04-02,1824784
2019-04-03,1793465
2019-04-04,1793465
2019-04-05,1793465
2019-04-06,1793465
2019-04-07,1793465
2019-04-08,1793465
2019-04-09,1809863
2019-04-10,1809863
2019-04-11,1809863
2019-04-12,1809863
2019-04-13,1842843
2019-04-14,1842843
2019-04-15,1842843
2019-04-16,1842843
2019-04-17,1842843
2019-04-18,1863782
2019-04-19,1863782
2019-04-20,1863782
2019-04-21,1863782
2019-04-22,1863782
2019-04-23,1831234
2019-04-24,1831234
2019-04-25,1831234
2019-04-26,1831234
2019-04-27,1831234
2019-04-28,1809196
2019-04-29,1809196
2019-04-30,1809196
2019-05-01,1809196
2019-05-02,1809196
2019-05-03,1802501
2019-05-04,1802501
2019-05-05,1802501
2019-05-06,1802501
2019-05-07,1802501
2019-05-08,1802501
2019-05-09,1775899
2019-05-10,1775899
2019-05-11,1775899
2019-05-12,1775899
2019-05-13,1775899
2019-05-14,1804820
2019-05-15,1804820
2019-05-16,1804820
2019-05-17,1804820
2019-05-18,1804820
2019-05-19,1804820
2019-05-20,1792486
2019-05-21,1792486
2019-05-22,1792486
2019-05-23,1792486
2019-05-24,1792486
2019-05-25,1792486
2019-05-26,1796586
2019-05-27,1796586
2019-05-28,1796586
2019-05-29,1796586
2019-05-30,1796586
2019-05-31,1796586
2019-06-01,1755226
2019-06-02,1755226
2019-06-03,1755226
2019-06-04,1755226
2019-06-05,1755226
2019-06-06,1755226
2019-06-07,1732600
2019-06-08,1732600
2019-06-09,1732600
2019-06-10,1732600
2019-06-11,1732600
2019-06-12,1732600
2019-06-13,1737507
2019-06-14,1737507
2019-06-15,1737507
2019-06-16,1737507
2019-06-17,1737507
2019-06-18,1737507
2019-06-19,1733205
2019-06-20,1733205
2019-06-21,1733205
2019-06-22,1733205
2019-06-23,1733205
2019-06-24,1728761
2019-06-25,1728761
2019-06-26,1728761
2019-06-27,1728761
2019-06-28,1728761
2019-06-29,1728761
2019-06-30,1697751
2019-07-01,1697751
2019-07-02,1697751
2019-07-03,1697751
2019-07-04,1697751
2019-07-05,1651811
2019-07-06,1651811
2019-07-07,1651811
2019-07-08,1651811
2019-07-09,1651811
2019-07-10,1642220
2019-07-11,1642220
2019-07-12,1642220
2019-07-13,1642220
2019-07-14,1642220
2019-07-15,1642220
2019-07-16,1694906
2019-07-17,1694906
2019-07-18,1694906
2019-07-19,1694906
2019-07-20,1719509
2019-07-21,1719509
2019-07-22,1719509
2019-07-23,1719509
2019-07-24,1719509
2019-07-25,1719509
2019-07-26,1772544
2019-07-27,1772544
2019-07-28,1772544
2019-07-29,1772544
2019-07-30,1772544
2019-07-31,1825531
2019-08-01,1825531
2019-08-02,1825531
2019-08-03,1825531
2019-08-04,1825531
2019-08-05,1869920
2019-08-06,1869920
2019-08-07,1869920
2019-08-08,1869920
2019-08-09,1869920
2019-08-10,1872248
2019-08-11,1872248
2019-08-12,1872248
2019-08-13,1872248
2019-08-14,1872248
2019-08-15,1879901
2019-08-16,1879901
2019-08-17,1879901
2019-08-18,1879901
2019-08-19,1879901
2019-08-20,1888310
2019-08-21,1888310
2019-08-22,1888310
2019-08-23,1888310
2019-08-24,1888310
2019-08-24,1888310
2019-08-25,1888310
2019-08-25,1888310
2019-08-26,1951129
2019-08-27,1951129
2019-08-27,1951129
2019-08-28,1951129
2019-08-29,1951129
2019-08-30,2028778
2019-08-31,2028778
2019-09-01,2028778
2019-09-02,2028778
2019-09-03,2028778
2019-09-04,2028778
2019-09-05,2111096
2019-09-06,2111096
2019-09-07,2111096
2019-09-08,2111096
2019-09-09,2111096
2019-09-10,2201951
2019-09-11,2201951
2019-09-12,2201951
2019-09-13,2201951
2019-09-14,2201951
2019-09-15,2260636
2019-09-16,2260636
2019-09-17,2260636
2019-09-18,2260636
2019-09-19,2260636
2019-09-20,2260636
2019-09-21,2160141
2019-09-22,2160141
2019-09-23,2160141
2019-09-24,2160141
2019-09-25,2160141
2019-09-26,2104088
2019-09-27,2104088
2019-09-28,2104088
2019-09-29,2104088
2019-09-30,2104088
2019-10-01,2034185
2019-10-02,2034185
2019-10-03,2034185
2019-10-04,2034185
2019-10-05,2034185
2019-10-06,2030091
2019-10-07,2030091
2019-10-08,2030091
2019-10-09,2030091
2019-10-10,2030091
2019-10-11,2030091
2019-10-12,2096657
2019-10-13,2096657
2019-10-14,2096657
2019-10-15,2096657
2019-10-16,2096657
2019-10-17,2096657
2019-10-18,2138107
2019-10-19,2138107
2019-10-20,2138107
2019-10-21,2138107
2019-10-22,2138107
2019-10-23,2138107
2019-10-24,2188975
2019-10-25,2188975
2019-10-26,2188975
2019-10-27,2188975
2019-10-28,2188975
2019-10-29,2237812
2019-10-30,2237812
2019-10-31,2237812
2019-11-01,2237812
2019-11-02,2237812
2019-11-03,2285786
2019-11-04,2285786
2019-11-05,2285786
2019-11-06,2285786
2019-11-07,2285786
2019-11-08,2285786
2019-11-09,2285786
2019-11-10,2366300
2019-11-11,2366300
2019-11-12,2366300
2019-11-13,2366300
2019-11-14,2366300
2019-11-15,2366300
2019-11-16,2366300
2019-11-17,2366300
2019-11-18,2423234
2019-11-19,2423234
2019-11-20,2423234
2019-11-21,2423234
2019-11-22,2423234
2019-11-23,2423234
2019-11-24,2423234
2019-11-25,2448520
2019-11-26,2448520
2019-11-27,2448520
2019-11-28,2448520
2019-11-29,2448520
2019-11-30,2448520
2019-12-01,2448520
2019-12-02,2448520
2019-12-03,2491433
2019-12-04,2491433
2019-12-05,2491433
2019-12-06,2491433
2019-12-07,2491433
2019-12-08,2491433
2019-12-09,2491433
2019-12-10,2566605
2019-12-11,2566605
2019-12-12,2566605
2019-12-13,2566605
2019-12-14,2566605
2019-12-15,2566605
2019-12-16,2566605
2019-12-17,2523996
2019-12-18,2523996
2019-12-19,2523996
2019-12-20,2523996
2019-12-21,2523996
2019-12-22,2523996
2019-12-23,2523996
2019-12-24,2482422
2019-12-25,2482422
2019-12-26,2482422
2019-12-27,2482422
2019-12-28,2482422
2019-12-29,2482422
2019-12-30,2482422
2019-12-31,2475321
2020-01-01,2475321
2020-01-02,2475321
2020-01-03,2475321
2020-01-04,2475321
2020-01-05,2475321
2020-01-06,2475321
2020-01-07,2491766
2020-01-08,2491766
2020-01-09,2491766
2020-01-10,2491766
2020-01-11,2491766
2020-01-12,2491766
2020-01-13,2519363
2020-01-14,2519363
2020-01-15,2519363
2020-01-16,2519363
2020-01-17,2519363
2020-01-18,2519363
2020-01-19,2426014
2020-01-20,2426014
2020-01-21,2426014
2020-01-22,2426014
2020-01-23,2426014
2020-01-24,2426014
2020-01-25,2426014
2020-01-26,2337451
2020-01-27,2337451
2020-01-28,2337451
2020-01-29,2337451
2020-01-30,2337451
2020-01-31,2337451
2020-02-01,2276386
2020-02-02,2276386
2020-02-03,2276386
