date_obj,Raw%20rabbit price
2018-12-17,234
2018-12-18,234
2018-12-19,234
2018-12-20,234
2018-12-21,234
2018-12-22,222
2018-12-23,222
2018-12-24,222
2018-12-25,222
2018-12-26,222
2018-12-27,222
2018-12-28,210
2018-12-29,210
2018-12-30,210
2018-12-31,210
2019-01-01,210
2019-01-02,200
2019-01-03,200
2019-01-04,200
2019-01-05,200
2019-01-06,200
2019-01-08,196
2019-01-10,196
2019-01-11,196
2019-01-12,196
2019-01-13,196
2019-01-14,188
2019-01-15,188
2019-01-16,188
2019-01-17,188
2019-01-18,188
2019-01-19,188
2019-01-20,197
2019-01-21,197
2019-01-22,197
2019-01-23,197
2019-01-24,197
2019-01-25,197
2019-01-26,197
2019-01-27,198
2019-01-28,198
2019-01-29,198
2019-01-30,198
2019-01-31,198
2019-02-01,203
2019-02-02,203
2019-02-03,203
2019-02-04,203
2019-02-05,203
2019-02-06,203
2019-02-07,204
2019-02-08,204
2019-02-09,204
2019-02-10,204
2019-02-11,204
2019-02-12,204
2019-02-13,204
2019-02-14,204
2019-02-15,203
2019-02-16,203
2019-02-17,203
2019-02-18,203
2019-02-19,203
2019-02-20,203
2019-02-21,203
2019-02-22,196
2019-02-23,196
2019-02-24,196
2019-02-25,196
2019-02-26,196
2019-02-27,196
2019-02-28,196
2019-03-01,196
2019-03-02,196
2019-03-03,196
2019-03-04,196
2019-03-05,196
2019-03-06,205
2019-03-07,205
2019-03-08,205
2019-03-09,205
2019-03-10,205
2019-03-11,214
2019-03-12,214
2019-03-13,214
2019-03-14,214
2019-03-15,214
2019-03-16,221
2019-03-17,221
2019-03-18,221
2019-03-19,221
2019-03-20,221
2019-03-21,230
2019-03-22,230
2019-03-23,230
2019-03-24,230
2019-03-25,230
2019-03-26,230
2019-03-27,230
2019-03-28,235
2019-03-29,235
2019-03-30,235
2019-03-31,235
2019-04-01,235
2019-04-02,235
2019-04-03,235
2019-04-04,235
2019-04-05,228
2019-04-06,228
2019-04-07,228
2019-04-08,228
2019-04-09,228
2019-04-10,228
2019-04-11,228
2019-04-12,222
2019-04-13,222
2019-04-14,222
2019-04-15,222
2019-04-16,222
2019-04-17,222
2019-04-18,217
2019-04-19,217
2019-04-20,217
2019-04-21,217
2019-04-22,217
2019-04-23,217
2019-04-24,218
2019-04-25,218
2019-04-26,218
2019-04-27,218
2019-04-28,218
2019-04-29,218
2019-04-30,218
2019-05-01,218
2019-05-02,224
2019-05-03,224
2019-05-04,224
2019-05-05,224
2019-05-06,224
2019-05-07,224
2019-05-08,224
2019-05-09,224
2019-05-10,224
2019-05-11,222
2019-05-12,222
2019-05-13,222
2019-05-14,222
2019-05-15,222
2019-05-16,222
2019-05-17,222
2019-05-18,226
2019-05-19,226
2019-05-20,226
2019-05-21,226
2019-05-22,226
2019-05-23,226
2019-05-24,226
2019-05-25,226
2019-05-26,226
2019-05-27,223
2019-05-28,223
2019-05-29,223
2019-05-30,223
2019-05-31,223
2019-06-01,223
2019-06-02,223
2019-06-03,223
2019-06-04,222
2019-06-05,222
2019-06-06,222
2019-06-07,222
2019-06-08,222
