date_obj,Dragon%20chainbody%20ornament%20kit price
2017-09-26,176088
2017-09-27,171273
2017-09-28,163543
2017-09-29,156911
2017-09-30,153820
2017-10-01,153296
2017-10-02,156087
2017-10-03,156087
2017-10-04,156032
2017-10-05,151364
2017-10-06,143795
2017-10-07,137156
2017-10-08,130770
2017-10-09,125046
2017-10-10,120210
2017-10-11,120210
2017-10-12,114199
2017-10-13,110982
2017-10-14,107867
2017-10-15,107867
2017-10-16,104110
2017-10-17,104110
2017-10-18,99110
2017-10-19,94154
2017-10-20,94154
2017-10-21,92082
2017-10-22,89064
2017-10-23,84963
2017-10-24,85526
2017-10-25,86720
2017-10-26,86720
2017-10-27,88184
2017-10-28,88184
2017-10-29,89019
2017-10-30,91864
2017-10-31,95161
2017-11-01,95161
2017-11-02,96644
2017-11-03,98582
2017-11-04,99241
2017-11-05,99450
2017-11-06,99121
2017-11-07,99121
2017-11-08,96679
2017-11-09,92940
2017-11-10,89351
2017-11-11,87721
2017-11-12,88564
2017-11-13,89157
2017-11-14,89157
2017-11-15,90314
2017-11-16,92465
2017-11-17,95884
2017-11-18,95884
2017-11-19,95898
2017-11-20,95075
2017-11-21,96206
2017-11-22,95712
2017-11-23,95011
2017-11-24,95011
2017-11-25,94201
2017-11-26,91409
2017-11-27,91409
2017-11-28,90446
2017-11-29,86429
2017-11-30,86429
2017-12-01,83122
2017-12-02,83122
2017-12-03,81549
2017-12-04,81549
2017-12-05,79486
2017-12-06,77953
2017-12-07,79275
2017-12-08,79275
2017-12-09,82342
2017-12-10,84211
2017-12-11,86398
2017-12-12,89475
2017-12-13,90873
2017-12-14,90873
2017-12-15,94942
2017-12-16,99488
2017-12-17,99488
2017-12-18,102500
2017-12-19,106140
2017-12-20,106405
2017-12-21,110292
2017-12-22,114894
2017-12-23,119526
2017-12-24,124731
2017-12-25,124731
2017-12-26,130841
2017-12-27,137384
2017-12-28,144000
2017-12-29,151142
2017-12-30,158427
2017-12-31,158427
2018-01-01,164082
2018-01-02,166894
2018-01-03,168474
2018-01-04,166484
2018-01-05,162976
2018-01-06,154827
2018-01-07,147195
2018-01-08,140849
2018-01-09,137082
2018-01-10,137082
2018-01-11,135902
2018-01-12,130733
2018-01-13,124196
2018-01-14,118234
2018-01-15,114994
2018-01-16,112269
2018-01-17,113644
2018-01-18,113860
2018-01-19,113860
2018-01-20,110973
2018-01-21,107739
2018-01-22,102869
2018-01-23,98697
2018-01-25,93762
2018-01-26,89073
2018-01-27,84619
2018-01-28,80388
2018-01-29,76368
2018-01-30,72549
2018-01-31,68921
2018-02-01,68921
2018-02-02,65474
2018-02-03,62314
2018-02-04,59839
2018-02-05,56920
2018-02-06,54850
2018-02-07,52701
2018-02-08,52701
2018-02-09,50078
2018-02-10,48321
2018-02-11,46458
2018-02-12,45736
2018-02-13,46484
2018-02-14,48222
2018-02-15,50110
2018-02-16,52208
2018-02-17,52291
2018-02-18,49743
2018-02-19,47255
2018-02-20,45337
2018-02-21,43303
2018-02-22,41387
2018-02-23,39515
2018-02-24,39515
2018-02-25,38321
2018-02-26,37317
2018-02-27,36464
2018-02-28,36464
2018-03-01,35336
2018-03-02,33970
2018-03-03,32392
2018-03-04,32392
2018-03-05,31505
2018-03-06,30796
2018-03-07,31340
2018-03-08,32567
2018-03-09,33824
2018-03-10,35432
2018-03-11,36904
2018-03-12,38597
2018-03-13,40110
2018-03-14,40978
2018-03-15,40978
2018-03-16,41643
2018-03-17,43004
2018-03-18,44874
2018-03-20,45978
2018-03-21,45978
2018-03-23,46753
2018-03-24,45824
2018-03-25,44811
2018-03-26,43658
2018-03-27,43395
2018-03-28,43395
2018-03-29,42808
2018-03-30,42808
2018-03-31,41965
2018-04-01,41965
2018-04-02,40542
2018-04-03,39191
2018-04-04,37913
2018-04-05,37913
2018-04-06,37104
2018-04-07,37104
2018-04-08,35343
2018-04-09,34304
2018-04-10,33152
2018-04-11,31512
2018-04-12,30682
2018-04-13,30682
2018-04-14,29502
2018-04-15,28215
2018-04-16,28215
2018-04-17,27599
2018-04-18,27599
2018-04-19,26847
2018-04-20,26168
2018-04-21,25270
2018-04-22,25270
2018-04-23,24496
2018-04-24,24496
2018-04-25,24209
2018-04-26,24209
2018-04-27,23933
2018-04-28,23806
2018-04-29,23274
2018-04-30,23633
2018-05-01,24687
2018-05-03,25843
2018-05-04,27086
2018-05-05,28441
2018-05-07,29864
2018-05-08,29864
2018-05-09,31300
2018-05-10,32608
2018-05-11,33834
2018-05-12,34363
2018-05-13,34363
2018-05-14,34251
2018-05-15,34251
2018-05-16,33476
2018-05-17,33476
2018-05-18,33153
2018-05-19,32490
2018-05-20,32490
2018-05-21,32120
