date_obj,Rock-shell%20helm price
2017-04-29,68472
2017-04-30,68472
2017-05-01,65112
2017-05-02,65112
2017-05-03,65112
2017-05-04,65112
2017-05-05,65112
2017-05-06,65112
2017-05-07,65112
2017-05-08,65112
2017-05-09,61881
2017-05-10,61881
2017-05-11,61881
2017-05-12,61881
2017-05-13,61881
2017-05-14,61881
2017-05-15,61881
2017-05-16,61881
2017-05-17,61881
2017-05-18,61881
2017-05-19,61881
2017-05-20,58823
2017-05-21,58823
2017-05-22,58823
2017-05-23,58823
2017-05-24,58823
2017-05-25,58823
2017-05-26,58823
2017-05-27,58823
2017-05-28,58823
2017-05-29,55964
2017-05-30,55964
2017-05-31,55964
2017-06-01,55964
2017-06-02,55964
2017-06-03,55964
2017-06-06,53208
2017-06-07,53208
2017-06-08,53208
2017-06-09,53208
2017-06-10,53208
2017-06-11,53208
2017-06-12,53208
2017-06-13,53208
2017-06-14,53208
2017-06-15,50596
2017-06-16,50596
2017-06-17,50596
2017-06-18,50596
2017-06-19,50596
2017-06-20,50596
2017-06-21,50596
2017-06-22,50596
2017-06-23,50596
2017-06-24,48132
2017-06-25,48132
2017-06-26,48132
2017-06-27,48132
2017-06-28,48132
2017-06-29,48132
2017-06-30,48132
2017-07-01,48132
2017-07-02,45798
2017-07-03,45798
2017-07-04,45798
2017-07-05,45798
2017-07-06,45798
2017-07-07,45798
2017-07-08,45798
2017-07-13,43569
2017-07-14,43569
2017-07-15,43569
2017-07-16,43569
2017-07-17,43569
2017-07-18,43569
2017-07-19,43569
2017-07-20,43569
2017-07-21,43569
2017-07-22,41401
2017-07-23,41401
2017-07-24,41401
2017-07-25,41401
2017-07-26,41401
2017-07-27,41401
2017-07-28,41401
2017-07-29,41401
2017-07-30,39735
2017-07-31,39735
2017-08-01,39735
2017-08-02,39735
2017-08-03,39735
2017-08-04,39735
2017-08-05,39735
2017-08-06,39735
2017-08-09,37978
2017-08-10,37978
2017-08-11,37978
2017-08-12,37978
2017-08-13,37978
2017-08-14,37978
2017-08-15,37978
2017-08-17,36079
2017-08-18,36079
2017-08-19,36079
2017-08-20,36079
2017-08-22,36079
2017-08-23,36079
