date_obj,Yew%20shortbow price
2019-02-07,338
2019-02-08,331
2019-02-09,331
2019-02-10,333
2019-02-11,337
2019-02-12,334
2019-02-13,333
2019-02-14,323
2019-02-15,319
2019-02-16,315
2019-02-17,328
2019-02-18,325
2019-02-19,325
2019-02-20,330
2019-02-21,334
2019-02-22,327
2019-02-23,322
2019-02-24,319
2019-02-25,330
2019-02-26,344
2019-02-27,342
2019-02-28,339
2019-03-01,341
2019-03-02,334
2019-03-03,330
2019-03-04,340
2019-03-05,342
2019-03-06,347
2019-03-07,349
2019-03-08,349
2019-03-09,352
2019-03-10,348
2019-03-11,345
2019-03-12,338
2019-03-13,334
2019-03-14,336
2019-03-15,339
2019-03-16,334
2019-03-17,325
2019-03-18,328
2019-03-19,328
2019-03-20,338
2019-03-21,334
2019-03-22,333
2019-03-23,331
2019-03-24,330
2019-03-25,333
2019-03-26,334
2019-03-27,333
2019-03-28,331
2019-03-29,340
2019-03-30,346
2019-03-31,352
2019-04-01,349
2019-04-02,345
2019-04-03,342
2019-04-04,343
2019-04-05,336
2019-04-06,332
2019-04-07,344
2019-04-08,352
2019-04-09,353
2019-04-10,347
2019-04-11,357
2019-04-12,352
2019-04-13,348
2019-04-14,335
2019-04-15,327
2019-04-16,325
2019-04-17,331
2019-04-18,335
2019-04-19,337
2019-04-20,342
2019-04-21,332
2019-04-22,335
2019-04-23,329
2019-04-24,322
2019-04-25,324
2019-04-26,328
2019-04-27,334
2019-04-28,338
2019-04-29,341
2019-04-30,355
2019-05-01,363
2019-05-02,367
2019-05-03,373
2019-05-04,365
2019-05-05,351
2019-05-06,339
2019-05-07,338
2019-05-08,333
2019-05-09,336
2019-05-10,337
2019-05-11,335
2019-05-12,337
2019-05-13,348
2019-05-14,350
2019-05-15,354
2019-05-16,351
2019-05-17,353
2019-05-18,353
2019-05-19,344
2019-05-20,339
2019-05-21,331
2019-05-22,329
2019-05-23,333
2019-05-24,341
2019-05-25,328
2019-05-26,329
2019-05-27,333
2019-05-28,329
2019-05-29,340
2019-05-30,336
2019-05-31,336
2019-06-01,332
2019-06-02,321
2019-06-03,315
2019-06-04,315
2019-06-05,317
2019-06-06,320
2019-06-07,321
2019-06-08,327
2019-06-09,324
2019-06-10,318
2019-06-11,328
2019-06-12,327
2019-06-13,331
2019-06-14,335
2019-06-15,337
2019-06-16,334
2019-06-17,340
2019-06-18,348
2019-06-19,353
2019-06-20,352
2019-06-21,352
2019-06-22,339
2019-06-23,335
2019-06-24,334
2019-06-25,331
2019-06-26,343
2019-06-27,352
2019-06-28,357
2019-06-29,363
2019-06-30,362
2019-07-01,364
2019-07-02,361
2019-07-03,365
2019-07-04,367
2019-07-05,369
2019-07-06,366
2019-07-07,364
2019-07-08,371
2019-07-09,374
2019-07-10,365
2019-07-11,366
2019-07-12,374
2019-07-13,373
2019-07-14,364
2019-07-15,373
2019-07-16,376
2019-07-17,374
2019-07-18,372
2019-07-19,375
2019-07-20,376
2019-07-21,369
2019-07-22,371
2019-07-23,377
2019-07-24,371
2019-07-25,371
2019-07-26,366
2019-07-27,357
2019-07-28,344
2019-07-29,335
2019-07-30,334
2019-07-31,336
2019-08-01,335
2019-08-02,341
2019-08-03,341
2019-08-04,333
2019-08-05,328
2019-08-06,334
2019-08-07,329
2019-08-08,341
2019-08-09,353
2019-08-10,348
2019-08-11,332
2019-08-12,333
2019-08-13,334
2019-08-14,329
2019-08-15,337
2019-08-16,343
2019-08-17,344
2019-08-18,350
2019-08-19,349
2019-08-20,353
2019-08-21,338
2019-08-22,336
2019-08-23,334
2019-08-24,321
2019-08-24,321
2019-08-25,327
2019-08-25,327
2019-08-26,327
2019-08-26,327
2019-08-27,329
2019-08-27,329
2019-08-28,336
2019-08-29,330
2019-08-30,330
