date_obj,Mithril%202h%20sword price
2018-09-10,1322
2018-09-11,1286
2018-09-12,1293
2018-09-13,1280
2018-09-14,1309
2018-09-15,1302
2018-09-16,1302
2018-09-17,1319
2018-09-18,1324
2018-09-19,1315
2018-09-20,1301
2018-09-21,1301
2018-09-22,1317
2018-09-23,1298
2018-09-24,1300
2018-09-25,1317
2018-09-26,1330
2018-09-27,1316
2018-09-28,1330
2018-09-29,1318
2018-09-30,1300
2018-10-02,1286
2018-10-03,1298
2018-10-04,1295
2018-10-05,1312
2018-10-06,1309
2018-10-07,1296
2018-10-08,1313
2018-10-09,1288
2018-10-10,1276
2018-10-11,1294
2018-10-12,1308
2018-10-13,1298
2018-10-14,1301
2018-10-15,1291
2018-10-16,1314
2018-10-17,1312
2018-10-18,1310
2018-10-19,1315
2018-10-20,1303
2018-10-21,1324
2018-10-22,1282
2018-10-23,1324
2018-10-24,1313
2018-10-25,1321
2018-10-26,1299
2018-10-27,1322
2018-10-28,1316
2018-10-29,1334
2018-10-30,1301
2018-10-31,1305
2018-11-01,1320
2018-11-03,1316
2018-11-04,1314
2018-11-05,1325
2018-11-06,1318
2018-11-07,1320
2018-11-08,1326
2018-11-09,1323
2018-11-10,1326
2018-11-11,1301
2018-11-12,1309
2018-11-13,1307
2018-11-14,1298
2018-11-15,1302
2018-11-16,1284
2018-11-17,1273
2018-11-18,1278
2018-11-19,1265
2018-11-20,1277
2018-11-21,1280
2018-11-22,1279
2018-11-23,1281
2018-11-24,1281
2018-11-25,1285
2018-11-26,1302
2018-11-27,1298
2018-11-28,1282
2018-11-29,1286
2018-12-01,1308
2018-12-02,1287
2018-12-03,1262
2018-12-04,1271
2018-12-05,1297
2018-12-07,1294
2018-12-09,1284
2018-12-10,1308
2018-12-11,1313
2018-12-12,1313
2018-12-13,1315
2018-12-14,1322
2018-12-15,1309
2018-12-16,1309
2018-12-17,1321
2018-12-18,1325
2018-12-19,1322
2018-12-20,1330
2018-12-21,1318
2018-12-22,1318
2018-12-23,1315
2018-12-24,1322
2018-12-25,1344
2018-12-26,1311
2018-12-27,1286
2018-12-28,1286
2018-12-29,1293
2018-12-30,1317
2018-12-31,1319
2019-01-01,1297
2019-01-02,1290
2019-01-03,1287
2019-01-04,1309
2019-01-05,1301
2019-01-06,1299
2019-01-08,1320
2019-01-10,1329
2019-01-11,1306
2019-01-12,1305
2019-01-13,1320
2019-01-14,1313
2019-01-15,1314
2019-01-16,1299
2019-01-17,1292
2019-01-18,1297
2019-01-19,1240
2019-01-20,1249
2019-01-21,1287
2019-01-22,1283
2019-01-23,1303
2019-01-24,1292
2019-01-25,1277
2019-01-26,1288
2019-01-27,1290
2019-01-28,1284
2019-01-29,1296
2019-01-30,1283
2019-01-31,1276
2019-02-01,1296
2019-02-02,1280
2019-02-03,1294
2019-02-04,1309
2019-02-05,1321
2019-02-06,1311
2019-02-07,1305
2019-02-08,1298
2019-02-09,1315
2019-02-10,1312
2019-02-11,1308
2019-02-12,1319
2019-02-13,1318
2019-02-14,1352
2019-02-15,1339
2019-02-16,1322
2019-02-17,1325
2019-02-18,1309
2019-02-19,1300
2019-02-20,1308
2019-02-21,1332
2019-02-22,1321
2019-02-23,1313
2019-02-24,1306
2019-02-25,1321
2019-02-26,1304
2019-02-27,1309
2019-02-28,1280
2019-03-01,1321
2019-03-02,1336
2019-03-03,1326
2019-03-04,1316
2019-03-05,1305
2019-03-06,1314
2019-03-07,1342
2019-03-08,1349
2019-03-09,1331
2019-03-10,1319
2019-03-11,1328
2019-03-12,1328
2019-03-13,1309
2019-03-14,1298
2019-03-15,1300
2019-03-16,1285
2019-03-17,1297
2019-03-18,1310
2019-03-19,1307
2019-03-20,1322
2019-03-21,1321
2019-03-22,1290
