date_obj,Adamant%20crossbow price
2019-01-20,1378
2019-01-21,1364
2019-01-22,1394
2019-01-23,1460
2019-01-24,1524
2019-01-25,1551
2019-01-26,1533
2019-01-27,1581
2019-01-28,1622
2019-01-29,1644
2019-01-30,1672
2019-01-31,1717
2019-02-01,1717
2019-02-02,1673
2019-02-03,1632
2019-02-04,1650
2019-02-05,1629
2019-02-06,1625
2019-02-07,1611
2019-02-08,1623
2019-02-09,1616
2019-02-10,1596
2019-02-11,1613
2019-02-12,1620
2019-02-13,1668
2019-02-14,1643
2019-02-15,1660
2019-02-16,1675
2019-02-17,1708
2019-02-18,1755
2019-02-19,1791
2019-02-20,1842
2019-02-21,1916
2019-02-22,1987
2019-02-23,2067
2019-02-24,2005
2019-02-25,1922
2019-02-26,1880
2019-02-27,1874
2019-02-28,1841
2019-03-01,1806
2019-03-02,1783
2019-03-03,1757
2019-03-04,1707
2019-03-05,1683
2019-03-06,1673
2019-03-07,1678
2019-03-08,1731
