date_obj,Ham%20hood price
2018-03-11,219
2018-03-12,227
2018-03-13,239
2018-03-14,250
2018-03-15,260
2018-03-16,263
2018-03-17,261
2018-03-18,257
2018-03-19,257
2018-03-20,257
2018-03-21,261
2018-03-23,261
2018-03-24,257
2018-03-25,258
2018-03-26,261
2018-03-27,261
2018-03-28,261
2018-03-29,263
2018-03-30,264
2018-03-31,268
2018-04-01,272
2018-04-02,276
2018-04-03,278
2018-04-04,276
2018-04-05,276
2018-04-06,273
2018-04-07,273
2018-04-08,265
2018-04-09,265
2018-04-10,263
2018-04-11,262
2018-04-12,261
2018-04-13,262
2018-04-14,259
2018-04-15,260
2018-04-16,263
2018-04-17,263
2018-04-18,263
2018-04-19,266
2018-04-20,268
2018-04-21,273
2018-04-22,276
2018-04-23,274
2018-04-24,271
2018-04-25,275
2018-04-26,275
2018-04-27,277
2018-04-28,275
2018-04-29,271
2018-04-30,264
2018-05-01,264
2018-05-03,269
2018-05-04,267
2018-05-05,264
2018-05-06,264
2018-05-07,257
2018-05-08,257
2018-05-09,256
2018-05-10,256
2018-05-11,257
2018-05-12,259
2018-05-13,259
2018-05-14,259
2018-05-15,259
2018-05-16,262
2018-05-17,262
2018-05-18,263
2018-05-19,266
2018-05-20,269
2018-05-21,272
2018-05-22,269
2018-05-23,267
2018-05-24,262
2018-05-25,260
2018-05-26,263
2018-05-27,263
2018-05-28,260
2018-05-29,262
2018-05-30,253
2018-05-31,242
2018-06-01,238
2018-06-02,243
2018-06-03,242
2018-06-04,245
2018-06-05,247
2018-06-06,246
2018-06-07,246
2018-06-08,248
2018-06-09,248
2018-06-10,250
2018-06-11,253
2018-06-12,255
2018-06-13,257
2018-06-14,260
2018-06-15,262
2018-06-16,269
2018-06-17,269
2018-06-18,272
2018-06-19,277
2018-06-20,277
2018-06-21,279
2018-06-22,285
2018-06-23,285
2018-06-24,285
2018-06-25,285
2018-06-26,284
2018-06-27,287
2018-06-28,293
2018-06-29,295
2018-06-30,296
2018-07-01,291
2018-07-02,297
2018-07-03,304
2018-07-04,303
2018-07-05,306
2018-07-06,307
2018-07-07,310
2018-07-08,317
2018-07-09,323
2018-07-10,334
2018-07-11,350
2018-07-12,364
2018-07-13,383
2018-07-14,403
2018-07-15,424
2018-07-16,442
2018-07-17,463
2018-07-18,474
2018-07-19,497
2018-07-20,509
2018-07-21,501
2018-07-22,507
2018-07-23,493
2018-07-24,484
2018-07-25,478
2018-07-26,477
2018-07-27,472
2018-07-28,472
2018-07-29,465
2018-07-30,460
2018-07-31,465
2018-08-01,471
2018-08-02,469
2018-08-03,462
2018-08-04,469
2018-08-05,461
2018-08-06,456
2018-08-07,443
2018-08-08,435
2018-08-09,438
2018-08-10,443
2018-08-11,423
2018-08-12,405
2018-08-14,400
2018-08-16,407
2018-08-17,400
2018-08-18,398
2018-08-19,403
2018-08-20,403
2018-08-21,395
2018-08-22,395
2018-08-23,401
2018-08-24,402
2018-08-25,403
2018-08-26,408
2018-08-27,405
2018-08-28,410
2018-08-29,418
2018-08-30,423
2018-08-31,434
2018-09-01,442
2018-09-02,437
2018-09-03,442
2018-09-04,449
2018-09-05,431
2018-09-06,431
2018-09-07,417
2018-09-08,420
2018-09-09,413
2018-09-10,407
2018-09-11,403
2018-09-12,395
2018-09-13,397
2018-09-14,402
2018-09-15,401
2018-09-16,396
