date_obj,Red%20elegant%20blouse price
2018-05-29,7453
2018-05-30,7453
2018-05-31,7453
2018-06-01,7453
2018-06-02,7453
2018-06-03,7671
2018-06-04,7671
2018-06-05,7671
2018-06-06,7671
2018-06-07,7671
2018-06-08,7648
2018-06-09,7648
2018-06-10,7648
2018-06-11,7648
2018-06-12,7648
2018-06-13,7648
2018-06-14,7579
2018-06-15,7579
2018-06-16,7579
2018-06-17,7579
2018-06-18,7579
2018-06-19,7289
2018-06-20,7289
2018-06-21,7289
2018-06-22,7289
2018-06-23,7289
2018-06-24,7289
2018-06-25,7082
2018-06-26,7082
2018-06-27,7082
2018-06-28,7082
2018-06-29,7082
2018-06-30,7082
2018-07-01,7024
2018-07-02,7024
2018-07-03,7024
2018-07-04,7024
2018-07-05,7024
2018-07-06,6914
2018-07-07,6914
2018-07-08,6914
2018-07-09,6914
2018-07-10,6914
2018-07-11,6809
2018-07-12,6809
2018-07-13,6809
2018-07-14,6809
2018-07-15,6809
2018-07-16,6721
2018-07-17,6721
2018-07-18,6721
2018-07-19,6721
2018-07-20,6721
2018-07-21,6841
2018-07-22,6841
2018-07-23,6841
2018-07-24,6841
2018-07-25,6841
2018-07-26,6883
2018-07-27,6883
2018-07-28,6883
2018-07-29,6883
2018-07-30,6753
2018-07-31,6753
2018-08-01,6753
2018-08-02,6753
2018-08-03,6726
2018-08-04,6726
2018-08-05,6726
2018-08-06,6726
2018-08-07,6726
2018-08-08,6629
2018-08-09,6629
2018-08-10,6629
2018-08-11,6629
2018-08-12,6457
2018-08-14,6457
2018-08-16,6179
2018-08-17,6179
2018-08-18,6179
2018-08-19,6179
2018-08-20,6090
2018-08-21,6090
2018-08-22,6090
2018-08-23,6090
2018-08-24,6090
2018-08-25,5978
2018-08-26,5978
2018-08-27,5978
2018-08-28,5978
2018-08-29,6150
2018-08-30,6150
2018-08-31,6150
2018-09-01,6150
2018-09-02,6150
2018-09-03,6310
2018-09-04,6310
2018-09-05,6310
2018-09-06,6310
2018-09-07,6595
2018-09-08,6595
2018-09-09,6595
2018-09-10,6595
2018-09-11,6595
2018-09-12,6844
2018-09-13,6844
2018-09-14,6844
2018-09-15,6844
2018-09-16,6891
2018-09-17,6891
2018-09-18,6891
2018-09-19,6891
2018-09-20,6800
2018-09-21,6800
2018-09-22,6800
2018-09-23,6800
2018-09-24,6773
2018-09-25,6773
2018-09-26,6773
2018-09-27,6773
2018-09-28,6773
2018-09-29,6758
2018-09-30,6758
2018-10-02,6758
2018-10-03,6969
2018-10-04,6969
2018-10-05,6969
2018-10-06,6969
2018-10-07,6969
2018-10-08,7049
2018-10-09,7049
2018-10-10,7049
2018-10-11,7049
2018-10-12,7049
2018-10-13,7011
2018-10-14,7011
2018-10-15,7011
2018-10-16,7011
2018-10-17,7011
2018-10-18,6964
2018-10-19,6964
2018-10-20,6964
2018-10-21,6964
2018-10-22,7095
2018-10-23,7095
2018-10-24,7095
2018-10-25,7095
2018-10-26,7095
2018-10-27,7332
2018-10-28,7332
2018-10-29,7332
2018-10-30,7332
2018-10-31,7332
2018-11-01,7518
2018-11-03,7518
2018-11-04,7837
2018-11-05,7837
2018-11-06,8191
2018-11-07,8191
2018-11-08,8191
2018-11-09,8191
2018-11-10,8271
2018-11-11,8271
2018-11-12,8320
2018-11-13,8320
2018-11-14,8320
2018-11-15,8480
2018-11-16,8480
2018-11-17,8329
2018-11-18,8329
2018-11-19,8329
2018-11-20,8130
2018-11-21,8130
2018-11-22,8130
2018-11-23,8180
2018-11-24,8180
2018-11-25,8078
2018-11-26,8078
2018-11-27,8078
2018-11-28,7947
2018-11-29,7947
2018-12-01,7895
2018-12-02,7895
2018-12-03,7895
2018-12-04,7944
2018-12-05,7944
2018-12-07,8201
2018-12-09,8567
2018-12-10,8567
2018-12-11,8567
2018-12-12,8976
2018-12-13,8976
2018-12-14,9388
2018-12-15,9388
2018-12-16,9388
2018-12-17,9832
2018-12-18,9832
2018-12-19,9832
2018-12-20,10037
2018-12-21,10037
2018-12-22,10037
2018-12-23,9747
2018-12-24,9747
2018-12-25,9747
2018-12-26,9754
2018-12-27,9754
2018-12-28,9754
2018-12-29,10179
2018-12-30,10179
2018-12-31,10179
2019-01-01,10517
2019-01-02,10517
