date_obj,Green%20dragonhide%20set price
2018-10-21,8194
2018-10-22,8068
2018-10-23,8023
2018-10-24,7986
2018-10-25,8026
2018-10-26,7944
2018-10-27,8088
2018-10-28,8025
2018-10-29,7994
2018-10-30,8238
2018-10-31,8361
2018-11-01,8557
2018-11-03,8319
2018-11-04,8243
2018-11-05,8170
2018-11-06,8084
2018-11-07,8134
2018-11-08,8219
2018-11-09,8177
2018-11-10,8127
2018-11-11,7849
2018-11-12,7946
2018-11-13,8077
2018-11-14,7978
2018-11-15,7979
2018-11-16,7944
2018-11-17,7915
2018-11-18,7914
2018-11-19,7940
2018-11-20,7979
2018-11-21,7945
2018-11-22,7955
2018-11-23,8013
2018-11-24,8023
2018-11-25,7994
2018-11-26,7923
2018-11-27,7925
2018-11-28,7930
2018-11-29,7964
2018-12-01,7875
2018-12-02,7799
2018-12-03,7668
2018-12-04,7899
2018-12-05,8038
2018-12-07,7912
2018-12-09,7930
2018-12-10,7995
2018-12-11,8081
2018-12-12,8051
2018-12-13,7956
2018-12-14,8047
2018-12-15,7953
2018-12-16,8006
2018-12-17,8063
2018-12-18,8080
2018-12-19,8022
2018-12-20,7948
2018-12-21,7936
2018-12-22,7961
2018-12-23,8244
2018-12-24,8355
2018-12-25,8234
2018-12-26,7988
2018-12-27,7872
2018-12-28,7997
2018-12-29,7951
2018-12-30,7893
2018-12-31,7816
2019-01-01,7806
2019-01-02,7876
2019-01-03,7886
2019-01-04,7878
2019-01-05,8057
2019-01-06,7997
2019-01-08,7849
2019-01-10,7817
2019-01-11,7865
2019-01-12,7903
2019-01-13,7999
2019-01-14,8026
2019-01-15,7930
2019-01-16,7954
2019-01-17,8031
2019-01-18,8003
2019-01-19,7994
2019-01-20,7912
2019-01-21,7712
2019-01-22,7700
2019-01-23,7875
2019-01-25,7993
2019-01-26,7923
2019-01-27,7892
2019-01-28,7882
2019-01-29,8001
2019-01-30,8109
2019-01-31,8026
2019-02-01,8049
2019-02-02,7933
2019-02-03,7895
2019-02-04,7865
2019-02-05,7877
2019-02-06,7901
2019-02-07,7835
2019-02-08,7945
2019-02-09,8028
2019-02-10,7949
2019-02-11,8102
2019-02-12,8078
2019-02-13,8006
2019-02-14,7953
2019-02-15,8021
2019-02-16,8135
2019-02-17,8068
2019-02-18,8025
2019-02-19,7936
2019-02-20,7950
2019-02-21,7963
2019-02-22,8209
2019-02-23,8170
2019-02-24,8053
2019-02-25,8114
2019-02-26,8094
2019-02-27,8143
2019-02-28,8108
2019-03-01,8283
2019-03-02,8234
2019-03-03,8146
2019-03-04,8114
2019-03-05,8089
2019-03-06,8095
2019-03-07,8095
2019-03-08,8124
2019-03-09,8177
2019-03-10,8240
2019-03-11,8326
2019-03-12,8410
2019-03-13,8422
2019-03-14,8323
2019-03-15,8256
2019-03-16,8154
2019-03-17,8107
2019-03-18,8144
2019-03-19,8141
