date_obj,Cemetery%20teleport%20(tablet) price
2019-10-01,1922
2019-10-02,1922
2019-10-03,1922
2019-10-04,1922
2019-10-05,1996
2019-10-06,1996
2019-10-07,2071
2019-10-08,2071
2019-10-09,2071
2019-10-10,2164
2019-10-11,2164
2019-10-12,2164
2019-10-13,2237
2019-10-14,2237
2019-10-15,2237
2019-10-16,2159
2019-10-17,2159
2019-10-18,2159
2019-10-19,2099
2019-10-20,2099
2019-10-21,2099
2019-10-22,2001
2019-10-23,2001
2019-10-24,2001
2019-10-25,1999
2019-10-26,1999
2019-10-27,1999
2019-10-28,2034
2019-10-29,2034
2019-10-30,2034
2019-10-31,2122
2019-11-01,2122
2019-11-02,2122
2019-11-03,2229
2019-11-04,2229
2019-11-05,2229
2019-11-06,2338
2019-11-07,2338
2019-11-08,2338
2019-11-09,2352
2019-11-10,2352
2019-11-11,2405
2019-11-12,2405
2019-11-13,2405
2019-11-14,2441
2019-11-15,2441
2019-11-16,2452
2019-11-17,2452
2019-11-18,2452
2019-11-19,2555
2019-11-20,2555
2019-11-21,2555
2019-11-22,2576
2019-11-23,2576
2019-11-24,2576
2019-11-25,2561
2019-11-26,2561
2019-11-27,2561
2019-11-28,2616
2019-11-29,2616
2019-11-30,2616
2019-12-01,2631
2019-12-02,2631
2019-12-03,2631
2019-12-04,2562
2019-12-05,2562
2019-12-06,2562
2019-12-07,2437
2019-12-08,2437
2019-12-09,2437
2019-12-10,2340
2019-12-11,2340
2019-12-12,2340
2019-12-13,2227
2019-12-14,2227
2019-12-15,2143
2019-12-16,2143
2019-12-17,2143
2019-12-18,2057
2019-12-19,2057
2019-12-20,2057
2019-12-21,1988
2019-12-22,1988
2019-12-23,1988
2019-12-24,2027
2019-12-25,2027
2019-12-26,2027
2019-12-27,2108
2019-12-28,2108
2019-12-29,2108
2019-12-30,2132
2019-12-31,2132
2020-01-01,2132
2020-01-02,2219
2020-01-03,2219
2020-01-04,2219
2020-01-05,2276
2020-01-06,2276
2020-01-07,2371
2020-01-08,2371
2020-01-09,2371
2020-01-10,2439
2020-01-11,2439
2020-01-12,2462
2020-01-13,2462
2020-01-14,2462
2020-01-15,2484
2020-01-16,2484
2020-01-17,2507
2020-01-18,2507
2020-01-19,2525
2020-01-20,2525
2020-01-21,2525
2020-01-22,2419
2020-01-23,2419
2020-01-24,2304
2020-01-25,2304
2020-01-26,2193
2020-01-27,2193
2020-01-28,2193
2020-01-29,2131
2020-01-30,2131
2020-01-31,2131
2020-02-01,2086
2020-02-02,2086
2020-02-03,2055
2020-02-04,2055
2020-02-05,1994
2020-02-06,1994
2020-02-07,2020
2020-02-08,2020
2020-02-09,2051
2020-02-10,2051
2020-02-11,2154
2020-02-12,2154
2020-02-13,2185
2020-02-14,2185
2020-02-15,2132
2020-02-16,2132
2020-02-17,2117
2020-02-18,2117
2020-02-19,2117
2020-02-20,2077
2020-02-21,2077
2020-02-22,2180
2020-02-23,2180
2020-02-24,2133
2020-02-25,2133
2020-02-26,2126
2020-02-27,2126
2020-02-28,2090
2020-02-29,2090
2020-03-01,2142
2020-03-02,2142
2020-03-03,2148
2020-03-04,2148
2020-03-05,2148
2020-03-06,2090
2020-03-07,2090
2020-03-08,2074
2020-03-09,2074
2020-03-10,2026
2020-03-11,2026
2020-03-12,2084
2020-03-13,2084
2020-03-14,2115
2020-03-15,2115
2020-03-16,2182
2020-03-17,2182
2020-03-18,2120
2020-03-19,2120
2020-03-20,2062
2020-03-21,2062
2020-03-22,1991
2020-03-23,1991
2020-03-24,2041
2020-03-25,2041
2020-03-26,2134
2020-03-27,2134
2020-03-28,2126
2020-03-29,2093
2020-03-30,2093
2020-03-31,2154
2020-04-01,2154
2020-04-02,2238
2020-04-03,2238
2020-04-04,2275
2020-04-05,2275
2020-04-06,2389
2020-04-07,2389
2020-04-08,2509
2020-04-09,2509
2020-04-10,2634
2020-04-11,2690
2020-04-12,2690
2020-04-13,2617
2020-04-14,2617
2020-04-15,2588
2020-04-16,2588
2020-04-17,2489
2020-04-18,2389
2020-04-19,2311
2020-04-20,2311
