date_obj,Crier%20coat price
2020-02-05,5004
2020-02-06,4889
2020-02-07,4806
2020-02-08,5007
2020-02-09,4994
2020-02-10,5065
2020-02-11,4953
2020-02-12,4869
2020-02-13,4869
2020-02-14,5006
2020-02-15,5006
2020-02-16,5184
2020-02-17,5393
2020-02-18,5458
2020-02-19,5458
2020-02-20,5476
2020-02-21,5476
2020-02-22,5598
2020-02-23,5791
2020-02-24,5787
2020-02-25,5848
2020-02-26,5696
2020-02-27,5696
2020-02-28,5970
2020-02-29,5970
2020-03-01,6191
2020-03-02,6340
2020-03-03,6047
2020-03-04,6047
2020-03-05,5744
2020-03-06,5648
2020-03-07,5730
2020-03-08,5925
2020-03-09,6001
2020-03-10,6073
2020-03-11,5980
2020-03-12,6013
2020-03-13,6124
2020-03-14,6125
2020-03-15,6152
2020-03-16,6188
2020-03-17,5895
2020-03-18,5874
2020-03-19,5827
2020-03-20,5626
2020-03-21,5597
2020-03-22,5726
2020-03-23,5603
2020-03-24,5677
2020-03-25,5507
2020-03-26,5590
2020-03-27,5540
2020-03-28,5387
2020-03-29,5238
2020-03-30,5103
2020-03-31,5031
2020-04-01,4996
2020-04-02,4938
2020-04-03,4938
2020-04-04,5036
2020-04-05,5156
2020-04-06,5290
2020-04-07,5204
2020-04-08,5192
2020-04-09,5243
2020-04-10,5376
2020-04-11,5376
2020-04-12,5425
2020-04-13,5567
2020-04-14,5801
2020-04-15,5804
2020-04-16,6001
2020-04-17,6129
2020-04-18,6161
2020-04-19,6112
2020-04-20,6131
2020-04-21,6189
2020-04-22,6075
2020-04-23,6230
2020-04-24,6277
2020-04-25,6522
2020-04-26,6579
2020-04-27,6555
2020-04-28,6608
2020-04-29,6610
2020-04-30,6296
2020-05-01,6133
2020-05-02,5952
2020-05-03,6012
2020-05-04,6119
2020-05-05,6209
2020-05-06,6208
2020-05-07,6228
2020-05-08,6363
2020-05-09,6346
2020-05-10,6255
2020-05-11,6195
2020-05-12,5955
2020-05-13,5791
