date_obj,Stretched%20hide price
2019-02-02,15659
2019-02-03,15659
2019-02-04,15659
2019-02-05,15659
2019-02-06,15659
2019-02-07,14961
2019-02-08,14961
2019-02-09,14961
2019-02-10,14961
2019-02-11,14961
2019-02-12,14961
2019-02-13,14221
2019-02-14,14221
2019-02-15,14221
2019-02-16,14221
2019-02-17,14221
2019-02-18,14221
2019-02-19,14221
2019-02-20,14221
2019-02-21,13526
2019-02-22,13526
2019-02-23,13526
2019-02-24,13526
2019-02-25,13526
2019-02-26,13526
2019-02-27,13526
2019-02-28,13526
2019-03-01,13526
2019-03-02,13526
2019-03-03,13526
2019-03-04,13526
2019-03-05,12866
2019-03-06,12866
2019-03-07,12866
2019-03-08,12866
2019-03-09,12866
2019-03-10,12866
2019-03-11,12866
2019-03-12,12866
2019-03-13,12866
2019-03-14,12866
2019-03-15,12866
2019-03-16,12436
2019-03-17,12436
2019-03-18,12436
2019-03-19,12436
2019-03-20,12436
2019-03-21,12436
2019-03-22,12436
2019-03-23,12028
2019-03-24,12028
2019-03-25,12028
2019-03-26,12028
2019-03-27,12028
2019-03-28,12028
2019-03-29,12028
2019-03-30,12028
2019-03-31,12028
