date_obj,Pirate's%20hook price
2018-01-28,7097842
2018-01-29,7097842
2018-01-31,7097842
2018-02-01,7097842
2018-02-02,7097842
2018-02-03,7097842
2018-02-04,7097842
2018-02-05,7097842
2018-02-06,7097842
2018-02-07,7097842
2018-02-08,7097842
2018-02-09,7097842
2018-02-10,7097842
2018-02-11,7097842
2018-02-12,7097842
2018-02-13,7097842
2018-02-14,7097842
2018-02-15,7097842
2018-02-16,7097842
2018-02-17,7097842
2018-02-18,7097842
2018-02-19,7097842
2018-02-20,7097842
2018-02-21,7097842
2018-02-22,7097842
2018-02-23,7097842
2018-02-24,7097842
2018-02-25,7097842
2018-02-26,7097842
2018-02-27,7097842
2018-03-01,7097842
2018-03-02,7097842
2018-03-03,7097842
2018-03-04,7097842
2018-03-05,7097842
2018-03-06,7097842
2018-03-07,7097842
2018-03-08,7097842
2018-03-09,7097842
2018-03-10,7097842
2018-03-11,7097842
2018-03-12,7097842
2018-03-13,7097842
2018-03-14,7097842
2018-03-15,7097842
2018-03-16,7097842
2018-03-17,7097842
2018-03-18,7097842
2018-03-19,7097842
2018-03-20,6746452
2018-03-21,6746452
2018-03-23,6746452
2018-03-24,6746452
2018-03-26,6746452
2018-03-27,6746452
2018-03-28,6746452
2018-03-29,6746452
2018-03-30,6746452
2018-03-31,6746452
2018-04-01,6746452
2018-04-02,6746452
2018-04-03,6746452
2018-04-04,6746452
2018-04-05,6746452
2018-04-06,6746452
2018-04-08,6746452
2018-04-09,6746452
2018-04-10,6746452
2018-04-11,6746452
2018-04-12,6746452
2018-04-13,6746452
2018-04-14,6746452
2018-04-15,6746452
2018-04-16,6746452
2018-04-17,6746452
2018-04-18,6746452
2018-04-19,6746452
2018-04-20,6746452
2018-04-21,6746452
2018-04-22,6746452
2018-04-23,6746452
2018-04-24,6746452
2018-04-25,6746452
2018-04-26,6746452
2018-04-27,6746452
2018-04-28,6746452
2018-04-29,6746452
2018-04-30,6746452
2018-05-01,6413880
2018-05-02,6413880
2018-05-03,6413880
2018-05-04,6413880
2018-05-05,6413880
2018-05-06,6413880
2018-05-07,6413880
2018-05-08,6413880
2018-05-09,6413880
2018-05-10,6413880
2018-05-11,6413880
2018-05-12,6413880
2018-05-13,6413880
2018-05-14,6413880
2018-05-15,6413880
2018-05-16,6413880
2018-05-17,6413880
2018-05-18,6413880
2018-05-19,6413880
2018-05-20,6413880
2018-05-21,6413880
2018-05-22,6413880
2018-05-23,6413880
2018-05-24,6413880
2018-05-25,6413880
2018-05-26,6413880
2018-05-27,6413880
2018-05-28,6413880
2018-05-29,6413880
2018-05-30,6413880
2018-05-31,6413880
2018-06-01,6413880
2018-06-02,6413880
2018-06-03,6413880
2018-06-04,6413880
2018-06-05,6413880
2018-06-06,6413880
2018-06-07,6413880
2018-06-08,6413880
2018-06-09,6413880
2018-06-10,6096833
2018-06-11,6096833
2018-06-12,6096833
2018-06-13,6096833
2018-06-14,6096833
2018-06-15,6096833
2018-06-16,6096833
2018-06-17,6096833
2018-06-18,6096833
2018-06-19,6096833
2018-06-20,6096833
2018-06-21,6096833
2018-06-22,6096833
2018-06-23,6096833
2018-06-24,6096833
2018-06-25,6096833
2018-06-26,6096833
2018-06-27,6096833
2018-06-28,6096833
2018-06-29,6096833
2018-06-30,6096833
2018-07-01,6096833
2018-07-02,6096833
2018-07-03,6096833
2018-07-04,6096833
2018-07-05,6096833
2018-07-06,6096833
2018-07-07,6096833
2018-07-08,6096833
2018-07-09,6096833
2018-07-10,6096833
2018-07-11,6096833
2018-07-12,6096833
2018-07-13,6096833
2018-07-14,6096833
2018-07-15,6096833
2018-07-16,6096833
2018-07-17,6096833
2018-07-18,6096833
2018-07-19,6096833
2018-07-20,6096833
2018-07-21,6096833
2018-07-22,6096833
2018-07-23,6096833
2018-07-24,6096833
2018-07-25,6096833
2018-07-26,6096833
2018-07-27,6096833
2018-07-28,6096833
2018-07-29,6096833
2018-07-30,6096833
2018-07-31,6096833
2018-08-01,6096833
2018-08-02,6096833
2018-08-03,6096833
2018-08-04,6096833
2018-08-05,6096833
2018-08-06,6096833
2018-08-07,6096833
2018-08-08,6096833
2018-08-09,6096833
2018-08-10,6096833
2018-08-11,6096833
2018-08-12,6096833
2018-08-14,6096833
2018-08-16,6096833
2018-08-17,6033960
2018-08-18,6033960
2018-08-19,6033960
2018-08-20,6033960
2018-08-21,6033960
2018-08-22,6033960
2018-08-23,6033960
2018-08-24,6033960
2018-08-25,6033960
2018-08-26,6033960
2018-08-27,6033960
2018-08-28,6033960
2018-08-29,6033960
2018-08-30,6033960
2018-08-31,6033960
2018-09-01,6033960
2018-09-02,6033960
2018-09-03,6033960
2018-09-04,6033960
2018-09-05,6033960
2018-09-06,6033960
2018-09-07,6033960
2018-09-08,6033960
2018-09-09,6033960
2018-09-10,5736008
2018-09-11,5736008
2018-09-12,5736008
2018-09-13,5736008
2018-09-14,5736008
2018-09-15,5736008
2018-09-16,5736008
2018-09-17,5736008
2018-09-18,5736008
2018-09-19,5736008
2018-09-20,5736008
2018-09-21,5736008
2018-09-22,5736008
2018-09-23,5736008
2018-09-24,5736008
2018-09-25,5736008
2018-09-26,5736008
2018-09-27,5736008
2018-09-28,5736008
2018-09-29,5736008
2018-09-30,5736008
2018-10-02,5454923
2018-10-03,5454923
2018-10-04,5454923
2018-10-05,5454923
2018-10-06,5454923
