date_obj,Graahk%20top price
2018-09-05,2618
2018-09-06,2618
2018-09-07,2618
2018-09-08,2508
2018-09-09,2508
2018-09-10,2508
2018-09-11,2508
2018-09-12,2508
2018-09-13,2508
2018-09-14,2508
2018-09-15,2508
2018-09-16,2508
2018-09-17,2575
2018-09-18,2575
2018-09-19,2575
2018-09-20,2575
2018-09-21,2575
2018-09-22,2575
2018-09-23,2575
2018-09-24,2528
2018-09-25,2528
2018-09-26,2528
2018-09-27,2528
2018-09-28,2528
2018-09-29,2528
2018-09-30,2528
2018-10-01,2528
2018-10-02,2528
2018-10-03,2518
2018-10-04,2518
2018-10-05,2518
2018-10-06,2518
2018-10-07,2518
2018-10-08,2518
2018-10-09,2518
2018-10-10,2592
2018-10-11,2592
2018-10-12,2592
2018-10-13,2592
2018-10-14,2592
2018-10-15,2592
2018-10-16,2592
2018-10-17,2513
2018-10-18,2513
2018-10-19,2513
2018-10-20,2513
2018-10-21,2513
2018-10-22,2513
2018-10-23,2513
2018-10-24,2392
2018-10-25,2392
2018-10-26,2392
2018-10-27,2392
2018-10-28,2392
2018-10-29,2392
2018-10-30,2392
2018-10-31,2346
2018-11-01,2346
2018-11-03,2346
2018-11-04,2346
2018-11-05,2346
2018-11-06,2260
2018-11-07,2260
2018-11-08,2260
2018-11-09,2260
2018-11-10,2260
2018-11-11,2260
2018-11-12,2178
2018-11-13,2178
2018-11-14,2178
2018-11-15,2178
2018-11-16,2178
2018-11-17,2123
2018-11-18,2123
2018-11-19,2123
2018-11-20,2123
2018-11-21,2123
2018-11-22,2068
2018-11-23,2068
2018-11-24,2068
2018-11-25,2068
2018-11-26,2068
2018-11-27,2004
2018-11-28,2004
2018-11-29,2004
2018-12-01,1947
2018-12-02,1947
2018-12-03,1947
2018-12-05,1947
2018-12-07,1879
2018-12-09,1879
2018-12-10,1879
2018-12-11,1879
2018-12-12,1814
2018-12-13,1814
2018-12-14,1814
2018-12-15,1814
2018-12-16,1814
2018-12-17,1814
2018-12-18,1775
