date_obj,Skull%20piece price
2018-06-06,38606
2018-06-07,38606
2018-06-08,38606
2018-06-09,38606
2018-06-10,38606
2018-06-11,38606
2018-06-12,38606
2018-06-13,38606
2018-06-14,38606
2018-06-15,38606
2018-06-16,38606
2018-06-17,38606
2018-06-18,38606
2018-06-19,38606
2018-06-20,38606
2018-06-21,38606
2018-06-22,38606
2018-06-23,38606
2018-06-24,38606
2018-06-25,38606
2018-06-26,38606
2018-06-27,38606
2018-06-28,38606
2018-06-29,38606
2018-06-30,38606
2018-07-01,38606
2018-07-02,38606
2018-07-03,38606
2018-07-04,38606
2018-07-05,38606
2018-07-06,38606
2018-07-07,38606
2018-07-08,38606
2018-07-09,38606
2018-07-10,38606
2018-07-11,38606
2018-07-12,38606
2018-07-13,38606
2018-07-14,38606
2018-07-15,38606
2018-07-16,38606
2018-07-17,38606
2018-07-18,38606
2018-07-19,38606
2018-07-20,38606
2018-07-21,38606
2018-07-22,38606
2018-07-23,38606
2018-07-24,38606
2018-07-25,38606
2018-07-26,38606
2018-07-27,38606
2018-07-28,38606
2018-07-29,38606
2018-07-30,38606
2018-07-31,38606
2018-08-01,38606
2018-08-02,38606
2018-08-03,38606
2018-08-04,38606
2018-08-05,38606
2018-08-06,38606
2018-08-07,38606
2018-08-08,38606
2018-08-09,38606
2018-08-10,38606
2018-08-11,38606
2018-08-12,38606
2018-08-14,38606
2018-08-16,38606
2018-08-17,38606
2018-08-18,38606
2018-08-19,38606
2018-08-20,38606
2018-08-21,38606
2018-08-22,38606
2018-08-23,38606
2018-08-24,38606
2018-08-25,38606
2018-08-26,38606
2018-08-27,38606
2018-08-28,38606
2018-08-29,38606
2018-08-30,38606
2018-08-31,38606
2018-09-01,38606
2018-09-02,38606
2018-09-03,38606
2018-09-04,38606
2018-09-05,38997
2018-09-06,38997
2018-09-07,38997
2018-09-08,38997
2018-09-09,38997
2018-09-10,38997
2018-09-11,38997
2018-09-12,38997
2018-09-13,38997
2018-09-14,38997
2018-09-15,38997
2018-09-16,38997
2018-09-17,38997
2018-09-18,38997
2018-09-19,38997
2018-09-20,38997
2018-09-21,38997
2018-09-22,38997
2018-09-23,38997
2018-09-24,38997
2018-09-25,38997
2018-09-26,38997
