date_obj,Torag's%20armour%20set price
2018-03-08,825322
2018-03-09,825322
2018-03-10,816768
2018-03-11,816768
2018-03-12,818628
2018-03-13,818628
2018-03-14,790217
2018-03-15,790217
2018-03-16,802765
2018-03-17,802765
2018-03-18,796305
2018-03-19,796305
2018-03-20,771597
2018-03-21,771597
2018-03-23,753416
2018-03-24,753416
2018-03-26,739316
2018-03-27,766601
2018-03-28,766601
2018-03-29,786179
2018-03-30,786179
2018-03-31,790233
2018-04-01,790233
2018-04-02,806607
2018-04-03,806607
2018-04-04,827968
2018-04-05,827968
2018-04-06,845610
2018-04-08,836973
2018-04-09,836973
2018-04-10,807916
2018-04-11,807916
2018-04-12,799402
2018-04-13,799402
2018-04-14,799402
2018-04-16,800363
2018-04-17,810210
2018-04-18,810210
2018-04-19,810210
2018-04-20,806342
2018-04-21,806342
2018-04-22,791722
2018-04-23,791722
2018-04-24,791417
2018-04-25,791417
2018-04-26,791417
2018-04-27,780805
2018-04-28,780805
2018-04-29,790991
2018-04-30,790991
2018-05-01,811970
2018-05-02,811970
2018-05-03,811970
2018-05-04,827057
2018-05-05,826229
2018-05-06,826229
2018-05-07,826229
2018-05-08,815344
2018-05-09,815344
2018-05-10,809415
2018-05-11,809415
2018-05-12,793184
2018-05-13,793184
2018-05-14,783024
2018-05-15,783024
2018-05-16,773824
2018-05-17,773824
2018-05-18,791551
2018-05-19,791551
2018-05-20,797457
2018-05-21,797457
2018-05-22,793994
2018-05-23,793994
2018-05-24,782652
2018-05-25,782652
2018-05-26,762756
2018-05-27,762756
2018-05-28,753490
2018-05-29,753490
2018-05-30,765790
2018-05-31,765790
2018-06-01,775483
2018-06-02,775483
2018-06-03,767805
2018-06-04,767805
2018-06-05,768873
2018-06-06,771137
2018-06-07,771137
2018-06-08,734226
2018-06-09,734226
2018-06-10,709393
2018-06-11,709393
2018-06-12,687607
2018-06-13,674754
2018-06-14,674754
2018-06-15,682473
2018-06-16,682473
2018-06-17,679873
2018-06-18,679873
2018-06-19,680776
2018-06-20,680776
2018-06-21,679899
2018-06-22,679899
2018-06-23,677568
2018-06-24,677568
2018-06-25,680017
2018-06-26,680017
2018-06-27,680017
2018-06-28,696197
2018-06-29,696197
2018-06-30,705644
2018-07-01,705644
2018-07-02,721908
2018-07-03,721908
2018-07-04,721822
2018-07-05,721822
2018-07-06,707223
2018-07-07,707223
2018-07-08,708076
2018-07-09,708076
2018-07-10,698797
2018-07-11,698797
2018-07-12,698797
2018-07-13,689145
2018-07-14,689145
2018-07-15,688205
2018-07-16,688205
2018-07-17,692477
2018-07-18,692477
2018-07-19,704154
2018-07-20,704154
2018-07-21,708659
2018-07-22,708659
2018-07-23,726262
2018-07-24,726262
2018-07-25,733141
2018-07-26,733141
2018-07-27,713394
2018-07-28,713394
2018-07-29,695879
2018-07-30,695879
2018-07-31,702825
2018-08-01,702825
2018-08-02,695890
2018-08-03,695890
2018-08-04,691549
2018-08-05,691549
2018-08-06,705625
2018-08-07,705625
2018-08-08,717226
2018-08-09,717226
2018-08-10,721886
2018-08-11,721886
2018-08-12,707840
2018-08-14,721744
2018-08-16,704890
2018-08-17,708693
2018-08-18,708693
2018-08-19,711768
2018-08-20,723396
2018-08-21,723396
2018-08-22,750931
2018-08-23,750931
2018-08-24,775580
2018-08-25,775580
2018-08-26,797223
2018-08-27,797223
2018-08-28,777690
2018-08-29,777690
2018-08-30,754837
2018-08-31,741043
2018-09-01,741043
2018-09-02,759435
2018-09-03,759435
2018-09-04,776650
2018-09-05,776650
2018-09-06,776650
2018-09-07,775636
2018-09-08,775636
2018-09-09,772988
2018-09-10,772988
2018-09-11,785537
2018-09-12,785537
2018-09-13,801115
2018-09-14,801115
2018-09-15,809090
2018-09-16,809090
2018-09-17,809436
2018-09-18,809436
2018-09-19,828740
2018-09-20,828740
2018-09-21,850092
2018-09-22,880726
2018-09-23,880726
2018-09-24,884656
2018-09-25,884656
2018-09-26,911685
2018-09-27,911685
2018-09-28,941967
2018-09-29,941967
2018-09-30,963739
2018-10-02,928765
2018-10-03,928765
2018-10-04,925590
2018-10-05,925590
2018-10-06,948706
2018-10-07,948706
2018-10-08,922229
2018-10-09,922229
2018-10-10,895899
2018-10-11,895899
2018-10-12,878169
2018-10-13,878169
2018-10-14,850004
2018-10-15,850004
2018-10-16,845880
2018-10-17,845880
2018-10-18,837187
2018-10-19,837187
2018-10-20,822941
2018-10-21,822941
2018-10-22,821302
2018-10-23,821302
2018-10-24,847218
2018-10-25,847218
2018-10-26,869490
2018-10-27,869490
2018-10-28,896273
2018-10-29,896273
2018-10-30,926725
2018-10-31,926725
2018-11-01,960335
2018-11-03,958775
2018-11-04,958775
2018-11-05,944190
2018-11-06,944190
2018-11-07,943888
2018-11-08,943888
2018-11-09,941883
2018-11-10,937274
2018-11-11,937274
2018-11-12,936527
2018-11-13,936527
2018-11-14,934833
2018-11-15,934833
2018-11-16,937494
2018-11-17,937494
2018-11-18,936548
2018-11-19,936548
2018-11-20,941234
2018-11-21,941234
2018-11-22,952296
2018-11-23,952296
2018-11-24,934533
2018-11-25,922667
2018-11-26,922667
2018-11-27,919174
2018-11-28,919174
2018-11-29,925556
2018-12-01,946285
2018-12-02,970239
2018-12-03,970239
2018-12-04,987764
2018-12-05,995994
2018-12-07,992655
2018-12-09,973584
2018-12-10,958506
2018-12-11,958506
2018-12-12,959158
2018-12-13,959158
2018-12-14,972138
2018-12-15,972138
2018-12-16,985565
2018-12-17,985565
2018-12-18,991161
2018-12-19,991161
2018-12-20,958298
2018-12-21,958298
2018-12-22,942492
2018-12-23,935826
2018-12-24,921153
2018-12-25,921153
2018-12-26,920965
2018-12-27,928679
2018-12-28,928679
2018-12-29,931512
2018-12-30,931512
2018-12-31,924786
2019-01-01,924786
2019-01-02,909433
2019-01-03,901000
2019-01-04,901000
2019-01-05,916853
2019-01-06,938524
2019-01-08,949840
2019-01-10,944726
2019-01-11,944726
2019-01-12,950829
2019-01-13,954390
2019-01-14,954390
2019-01-15,970756
2019-01-16,970756
2019-01-17,963209
2019-01-18,963209
2019-01-19,937815
2019-01-20,920578
2019-01-21,920578
2019-01-22,900131
2019-01-23,902340
2019-01-24,902340
2019-01-25,900443
2019-01-26,897860
2019-01-27,889494
2019-01-28,889494
2019-01-29,876279
2019-01-30,876279
2019-01-31,869531
2019-02-01,865371
2019-02-02,865371
2019-02-03,871242
2019-02-04,871242
2019-02-05,868383
2019-02-06,868383
2019-02-07,859571
2019-02-08,859571
2019-02-09,846484
2019-02-10,846484
2019-02-11,839031
2019-02-12,839031
2019-02-13,830412
2019-02-14,830412
2019-02-15,809322
2019-02-16,809322
2019-02-17,787358
2019-02-18,787358
2019-02-19,794665
2019-02-20,794665
2019-02-21,812397
2019-02-22,812397
2019-02-23,819074
2019-02-24,801243
2019-02-25,797027
2019-02-26,797027
2019-02-27,801537
2019-02-28,801537
2019-03-01,829248
2019-03-02,829248
2019-03-03,845011
2019-03-04,834710
2019-03-05,834710
2019-03-06,820925
2019-03-07,820925
2019-03-08,814227
2019-03-09,814227
2019-03-10,815803
2019-03-11,815803
2019-03-12,817611
2019-03-13,817611
2019-03-14,815365
2019-03-15,815365
2019-03-16,801109
2019-03-17,792107
2019-03-18,792107
2019-03-19,798192
2019-03-20,821871
2019-03-21,821871
2019-03-22,813331
