date_obj,Rune%20longsword price
2018-10-14,18777
2018-10-15,18777
2018-10-16,18779
2018-10-17,18794
2018-10-18,18799
2018-10-19,18796
2018-10-20,18802
2018-10-21,18802
2018-10-22,18786
2018-10-23,18766
2018-10-24,18787
2018-10-25,18786
2018-10-26,18767
2018-10-27,18779
2018-10-28,18791
2018-10-29,18807
2018-10-30,18819
2018-10-31,18789
2018-11-01,18807
2018-11-03,18804
2018-11-04,18803
2018-11-05,18801
2018-11-06,18799
2018-11-07,18814
2018-11-08,18813
2018-11-09,18813
2018-11-10,18811
2018-11-11,18716
2018-11-12,18738
2018-11-13,18775
2018-11-14,18796
2018-11-15,18796
2018-11-16,18751
2018-11-17,18766
2018-11-18,18763
2018-11-19,18772
2018-11-20,18789
2018-11-21,18784
2018-11-22,18769
2018-11-23,18784
2018-11-24,18801
2018-11-25,18817
2018-11-26,18846
2018-11-27,18820
2018-11-28,18813
2018-12-01,18811
2018-12-02,18807
2018-12-03,18792
2018-12-04,18797
2018-12-05,18816
2018-12-07,18741
2018-12-09,18806
2018-12-10,18829
2018-12-11,18841
2018-12-12,18844
2018-12-13,18818
2018-12-14,18821
2018-12-15,18818
2018-12-16,18788
2018-12-17,18808
2018-12-18,18820
2018-12-19,18816
2018-12-20,18812
2018-12-21,18771
2018-12-22,18807
2018-12-23,18823
2018-12-24,18820
2018-12-25,18791
2018-12-26,18745
2018-12-27,18760
2018-12-28,18760
2018-12-29,18750
2018-12-30,18783
2018-12-31,18779
2019-01-01,18740
2019-01-02,18741
2019-01-03,18769
2019-01-04,18761
2019-01-05,18783
2019-01-06,18783
2019-01-08,18790
2019-01-10,18698
2019-01-11,18687
2019-01-12,18735
2019-01-13,18767
2019-01-14,18788
2019-01-15,18795
2019-01-16,18790
2019-01-17,18791
2019-01-18,18788
2019-01-19,18780
2019-01-20,18779
2019-01-21,18781
2019-01-22,18793
2019-01-23,18780
2019-01-24,18786
2019-01-25,18769
2019-01-26,18799
2019-01-27,18771
2019-01-28,18790
2019-01-29,18801
2019-01-30,18809
2019-01-31,18807
2019-02-01,18791
2019-02-02,18796
2019-02-03,18783
2019-02-04,18759
2019-02-05,18798
2019-02-06,18800
2019-02-07,18814
2019-02-08,18812
2019-02-09,18759
2019-02-10,18780
2019-02-11,18797
2019-02-12,18803
2019-02-13,18809
2019-02-14,18811
2019-02-15,18801
2019-02-16,18789
2019-02-17,18800
2019-02-18,18795
2019-02-19,18807
2019-02-20,18816
2019-02-21,18808
2019-02-22,18797
2019-02-23,18811
2019-02-24,18822
2019-02-25,18821
2019-02-26,18809
2019-02-27,18813
2019-02-28,18765
2019-03-01,18797
2019-03-02,18818
2019-03-03,18828
2019-03-04,18830
2019-03-05,18821
2019-03-06,18843
2019-03-07,18821
2019-03-08,18810
2019-03-09,18820
2019-03-10,18796
2019-03-11,18807
2019-03-12,18792
2019-03-13,18798
2019-03-14,18780
2019-03-15,18794
2019-03-16,18782
2019-03-17,18740
2019-03-18,18760
2019-03-19,18785
2019-03-20,18793
2019-03-21,18796
2019-03-22,18804
2019-03-23,18765
2019-03-24,18739
2019-03-25,18764
2019-03-26,18787
2019-03-27,18776
2019-03-28,18778
2019-03-29,18720
