date_obj,Blue%20d'hide%20chaps%20(t) price
2018-03-14,2592
2018-03-15,2592
2018-03-16,2580
2018-03-17,2521
2018-03-18,2521
2018-03-20,2447
2018-03-21,2447
2018-03-22,2490
2018-03-23,2490
2018-03-24,2491
2018-03-25,2502
2018-03-26,2502
2018-03-27,2554
2018-03-28,2554
2018-03-29,2480
2018-03-30,2480
2018-03-31,2467
2018-04-01,2467
2018-04-02,2414
2018-04-03,2384
2018-04-04,2296
2018-04-05,2296
2018-04-06,2269
2018-04-07,2269
2018-04-08,2296
2018-04-09,2296
2018-04-10,2391
2018-04-11,2391
2018-04-12,2476
2018-04-13,2476
2018-04-14,2575
2018-04-15,2553
2018-04-16,2553
2018-04-17,2544
2018-04-18,2544
2018-04-19,2558
2018-04-20,2558
2018-04-21,2636
2018-04-22,2636
2018-04-23,2632
2018-04-24,2632
2018-04-25,2500
2018-04-26,2500
2018-04-27,2496
2018-04-28,2496
2018-04-29,2532
2018-04-30,2532
2018-05-01,2550
2018-05-02,2550
2018-05-03,2573
2018-05-04,2573
2018-05-05,2571
2018-05-06,2571
2018-05-07,2529
2018-05-08,2529
2018-05-09,2467
2018-05-10,2467
2018-05-11,2489
2018-05-12,2501
2018-05-13,2501
2018-05-14,2536
2018-05-15,2536
2018-05-16,2423
2018-05-17,2372
2018-05-18,2333
2018-05-19,2304
2018-05-20,2304
2018-05-21,2360
2018-05-22,2360
2018-05-23,2409
2018-05-24,2350
2018-05-25,2350
2018-05-26,2299
2018-05-27,2299
2018-05-28,2298
2018-05-29,2255
2018-05-30,2266
2018-05-31,2198
2018-06-01,2236
2018-06-02,2283
2018-06-03,2283
2018-06-04,2329
2018-06-05,2389
2018-06-06,2345
2018-06-07,2345
2018-06-08,2403
2018-06-09,2403
2018-06-10,2514
2018-06-11,2514
2018-06-12,2640
2018-06-13,2692
2018-06-14,2692
2018-06-15,2714
2018-06-16,2714
2018-06-17,2763
2018-06-18,2763
2018-06-19,2886
2018-06-20,2886
2018-06-21,2989
2018-06-22,2947
2018-06-23,2947
2018-06-24,2838
2018-06-25,2798
2018-06-26,2798
2018-06-27,2798
2018-06-28,2792
2018-06-29,2763
