date_obj,Mystic%20robe%20bottom price
2018-12-28,47693
2018-12-29,47945
2018-12-30,47755
2018-12-31,47683
2019-01-01,47748
2019-01-02,47709
2019-01-03,47796
2019-01-04,47692
2019-01-05,47648
2019-01-06,47828
2019-01-08,47717
2019-01-10,47591
2019-01-11,47490
2019-01-12,47562
2019-01-13,47528
2019-01-14,47552
2019-01-15,47564
2019-01-16,47460
2019-01-17,47620
2019-01-18,47700
2019-01-19,47825
2019-01-20,47955
2019-01-21,47695
2019-01-22,47756
2019-01-23,47563
2019-01-24,47599
2019-01-25,47576
2019-01-26,47785
2019-01-27,47768
2019-01-28,47881
2019-01-29,47747
2019-01-30,47831
2019-01-31,47599
2019-02-01,47763
2019-02-02,47708
2019-02-03,48079
2019-02-04,47793
2019-02-05,47838
2019-02-06,47701
2019-02-07,47886
2019-02-08,47882
2019-02-09,47973
2019-02-10,47928
2019-02-11,47981
2019-02-12,47788
2019-02-13,47659
2019-02-14,47614
2019-02-15,47905
2019-02-16,47987
2019-02-17,47873
2019-02-18,47884
2019-02-19,47834
2019-02-20,47761
2019-02-21,47615
2019-02-22,47668
2019-02-23,47587
2019-02-24,48062
2019-02-25,48270
2019-02-26,47935
2019-02-27,47829
2019-02-28,48169
2019-03-01,47887
2019-03-02,47712
2019-03-03,47800
2019-03-04,47935
2019-03-05,47851
2019-03-06,48139
2019-03-07,48384
2019-03-08,48048
2019-03-09,47826
2019-03-10,47839
2019-03-11,47758
2019-03-12,47688
2019-03-13,47675
2019-03-14,47772
2019-03-15,47649
2019-03-16,47848
2019-03-17,48075
2019-03-18,47895
2019-03-19,48087
2019-03-20,47898
2019-03-21,47693
2019-03-22,47689
2019-03-23,47671
2019-03-24,48327
2019-03-25,48079
2019-03-26,47762
2019-03-27,48059
2019-03-28,47818
2019-03-29,47720
2019-03-30,48064
