date_obj,Adamant%20scimitar price
2018-12-10,1698
2018-12-11,1637
2018-12-12,1598
2018-12-13,1535
2018-12-14,1464
2018-12-15,1403
2018-12-16,1364
2018-12-17,1383
2018-12-18,1393
2018-12-19,1408
2018-12-20,1410
2018-12-21,1407
2018-12-22,1433
2018-12-23,1414
2018-12-24,1399
2018-12-25,1330
2018-12-26,1310
2018-12-27,1331
2018-12-28,1332
2018-12-29,1348
2018-12-30,1409
2018-12-31,1453
2019-01-01,1418
2019-01-02,1438
2019-01-03,1459
2019-01-04,1491
2019-01-05,1478
2019-01-06,1449
2019-01-08,1441
2019-01-10,1399
2019-01-11,1378
2019-01-12,1357
2019-01-13,1376
2019-01-14,1371
2019-01-15,1387
2019-01-16,1388
2019-01-17,1365
2019-01-18,1371
2019-01-19,1364
2019-01-20,1357
2019-01-21,1324
2019-01-22,1328
2019-01-23,1304
2019-01-24,1309
2019-01-25,1327
2019-01-26,1319
2019-01-27,1325
2019-01-28,1329
2019-01-29,1340
2019-01-30,1348
2019-01-31,1351
2019-02-01,1332
2019-02-02,1356
2019-02-03,1380
2019-02-04,1393
2019-02-05,1390
2019-02-06,1403
2019-02-07,1376
2019-02-08,1379
2019-02-09,1392
2019-02-10,1366
2019-02-11,1346
2019-02-12,1360
2019-02-13,1388
2019-02-14,1396
2019-02-15,1384
2019-02-16,1383
2019-02-17,1380
2019-02-18,1364
2019-02-19,1382
2019-02-20,1401
2019-02-21,1386
2019-02-22,1408
2019-02-23,1407
2019-02-24,1400
2019-02-25,1392
2019-02-26,1391
2019-02-27,1387
2019-02-28,1400
2019-03-01,1395
2019-03-02,1390
2019-03-03,1390
2019-03-04,1393
2019-03-05,1386
2019-03-06,1400
2019-03-07,1383
2019-03-08,1395
