date_obj,Red%20elegant%20legs price
2018-12-18,49686
2018-12-19,49686
2018-12-20,47476
2018-12-21,47476
2018-12-22,45257
2018-12-23,45257
2018-12-24,44145
2018-12-25,44145
2018-12-26,44145
2018-12-27,43308
2018-12-28,43308
2018-12-29,41797
2018-12-30,41797
2018-12-31,40261
2019-01-01,40261
2019-01-02,38560
2019-01-03,38560
2019-01-04,37215
2019-01-05,37215
2019-01-06,36128
2019-01-08,35181
2019-01-10,33749
2019-01-11,33749
2019-01-12,32107
2019-01-13,32107
2019-01-14,31336
2019-01-15,31336
2019-01-16,30772
2019-01-17,30772
2019-01-18,30424
2019-01-19,30424
2019-01-20,29646
2019-01-21,29646
2019-01-22,29295
2019-01-23,29295
2019-01-24,29295
2019-01-25,28899
2019-01-26,28899
2019-01-27,28773
2019-01-28,28773
2019-01-29,28031
2019-01-30,28031
2019-01-31,28031
2019-02-01,27722
2019-02-02,27722
2019-02-03,27081
2019-02-04,27081
2019-02-05,26764
2019-02-06,26764
2019-02-07,26355
2019-02-08,26355
2019-02-09,26355
2019-02-10,25876
2019-02-11,25876
2019-02-12,25396
2019-02-13,25396
2019-02-14,25338
2019-02-15,25338
2019-02-16,24980
2019-02-17,24980
2019-02-18,25130
2019-02-19,25130
2019-02-20,24964
2019-02-21,24964
2019-02-22,24964
2019-02-23,24551
2019-02-24,24551
2019-02-25,25411
2019-02-26,25411
2019-02-27,25411
2019-02-28,25411
2019-03-01,25411
2019-03-02,26434
2019-03-03,26434
2019-03-04,26720
2019-03-05,26720
2019-03-06,26720
2019-03-07,26529
2019-03-08,26529
2019-03-09,26529
2019-03-10,26439
2019-03-11,26439
2019-03-12,25991
2019-03-13,25991
2019-03-14,25991
2019-03-15,25816
2019-03-16,25816
2019-03-17,25646
2019-03-18,25646
2019-03-19,25646
2019-03-20,25295
2019-03-21,25295
2019-03-22,25295
2019-03-23,24985
2019-03-24,24985
2019-03-25,24985
2019-03-26,25574
2019-03-27,25574
2019-03-28,25574
2019-03-29,26060
2019-03-30,26060
