date_obj,Red%20headband price
2017-09-29,3660
2017-09-30,3660
2017-10-01,3665
2017-10-02,3665
2017-10-03,3665
2017-10-04,3665
2017-10-05,3665
2017-10-06,3556
2017-10-07,3556
2017-10-08,3556
2017-10-09,3556
2017-10-10,3556
2017-10-11,3438
2017-10-12,3438
2017-10-13,3438
2017-10-14,3438
2017-10-15,3491
2017-10-16,3491
2017-10-17,3491
2017-10-18,3491
2017-10-19,3491
2017-10-20,3544
2017-10-21,3544
2017-10-22,3544
2017-10-23,3400
2017-10-24,3400
2017-10-25,3400
2017-10-26,3400
2017-10-27,3335
2017-10-28,3335
2017-10-29,3335
2017-10-30,3335
2017-10-31,3255
2017-11-01,3255
2017-11-02,3255
2017-11-03,3255
2017-11-04,3199
2017-11-05,3199
2017-11-06,3199
2017-11-07,3199
2017-11-08,3199
2017-11-09,3199
2017-11-10,3199
2017-11-11,3199
2017-11-12,3199
2017-11-13,3199
2017-11-14,3282
2017-11-15,3282
2017-11-16,3282
2017-11-17,3282
2017-11-18,3282
2017-11-19,3226
2017-11-20,3226
2017-11-21,3226
2017-11-22,3226
2017-11-23,3151
2017-11-24,3151
2017-11-25,3151
2017-11-26,3151
2017-11-27,3151
2017-11-28,3014
2017-11-29,3014
2017-11-30,3014
2017-12-01,3014
2017-12-02,2964
2017-12-03,2964
2017-12-04,2964
2017-12-05,2964
2017-12-06,2930
2017-12-07,2930
2017-12-08,2930
2017-12-09,2930
2017-12-10,2909
2017-12-11,2909
2017-12-12,2909
2017-12-14,2909
2017-12-15,2956
2017-12-16,2956
2017-12-17,2956
2017-12-18,2956
2017-12-19,2956
2017-12-20,2930
2017-12-21,2930
2017-12-22,2930
2017-12-23,2930
2017-12-24,2930
2017-12-25,2825
2017-12-26,2825
2017-12-27,2825
2017-12-28,2825
2017-12-29,2796
2017-12-30,2796
2017-12-31,2796
2018-01-01,2796
2018-01-02,2659
2018-01-03,2659
2018-01-04,2659
2018-01-05,2574
2018-01-06,2574
2018-01-07,2574
2018-01-08,2574
2018-01-09,2559
2018-01-10,2559
2018-01-11,2559
2018-01-12,2559
2018-01-13,2559
2018-01-14,2553
2018-01-15,2553
2018-01-16,2553
2018-01-17,2553
2018-01-18,2475
2018-01-19,2475
2018-01-20,2475
2018-01-21,2475
2018-01-22,2392
2018-01-23,2392
2018-01-24,2285
2018-01-25,2285
2018-01-26,2222
2018-01-27,2222
2018-01-28,2152
2018-01-29,2152
2018-01-31,2161
2018-02-01,2161
2018-02-02,2110
2018-02-03,2168
2018-02-04,2168
2018-02-05,2186
2018-02-06,2186
2018-02-07,2244
2018-02-08,2244
2018-02-09,2300
2018-02-10,2300
2018-02-11,2287
2018-02-12,2287
2018-02-13,2295
2018-02-14,2295
2018-02-15,2248
2018-02-16,2248
2018-02-17,2221
2018-02-18,2221
2018-02-19,2258
2018-02-20,2258
2018-02-21,2316
2018-02-22,2316
2018-02-23,2362
2018-02-24,2362
2018-02-25,2373
2018-02-26,2373
2018-02-27,2306
2018-02-28,2306
2018-03-01,2224
2018-03-02,2224
2018-03-03,2143
2018-03-04,2143
2018-03-05,2046
2018-03-06,2046
2018-03-07,1983
2018-03-08,1983
2018-03-09,1900
2018-03-10,1900
2018-03-11,1807
2018-03-12,1807
2018-03-13,1781
2018-03-14,1781
2018-03-15,1723
2018-03-16,1723
2018-03-17,1675
2018-03-18,1675
2018-03-19,1675
2018-03-20,1636
2018-03-21,1636
2018-03-23,1643
2018-03-24,1643
2018-03-26,1683
2018-03-27,1739
2018-03-28,1739
2018-03-29,1804
2018-03-30,1804
2018-03-31,1870
2018-04-01,1870
2018-04-02,1914
2018-04-03,1914
2018-04-04,2004
2018-04-05,2004
2018-04-06,2099
2018-04-08,2099
2018-04-09,2134
2018-04-10,2134
2018-04-11,2134
2018-04-12,2091
2018-04-13,2091
2018-04-14,2091
2018-04-15,2104
2018-04-16,2104
2018-04-17,2147
2018-04-18,2147
2018-04-19,2147
2018-04-20,2040
2018-04-21,2001
2018-04-22,2001
2018-04-23,2081
2018-04-24,2081
2018-04-25,2121
2018-04-26,2121
2018-04-27,2121
2018-04-28,2191
2018-04-29,2191
2018-04-30,2202
2018-05-01,2202
2018-05-02,2243
2018-05-03,2243
2018-05-04,2243
2018-05-05,2247
2018-05-06,2247
2018-05-07,2247
2018-05-08,2176
2018-05-09,2176
2018-05-10,2116
2018-05-11,2116
2018-05-12,2128
2018-05-13,2128
2018-05-14,2161
2018-05-15,2161
2018-05-16,2087
2018-05-17,2087
2018-05-18,2123
2018-05-19,2123
2018-05-20,2141
2018-05-21,2141
2018-05-22,2177
2018-05-23,2177
2018-05-24,2274
2018-05-25,2274
2018-05-26,2368
2018-05-27,2368
2018-05-28,2298
2018-05-29,2298
2018-05-30,2239
2018-05-31,2239
2018-06-01,2248
2018-06-02,2269
2018-06-03,2269
2018-06-04,2307
2018-06-05,2307
2018-06-06,2293
2018-06-07,2293
2018-06-08,2264
2018-06-09,2264
2018-06-10,2204
2018-06-11,2204
2018-06-12,2216
2018-06-13,2216
2018-06-14,2216
2018-06-15,2216
2018-06-16,2178
2018-06-17,2178
2018-06-18,2106
2018-06-19,2106
2018-06-20,2002
2018-06-21,2002
2018-06-22,1915
2018-06-23,1915
2018-06-24,1837
2018-06-25,1837
2018-06-26,1808
2018-06-27,1808
2018-06-28,1835
2018-06-29,1835
2018-06-30,1894
2018-07-01,1894
2018-07-02,1895
2018-07-03,1895
2018-07-04,1866
2018-07-05,1866
2018-07-06,1909
2018-07-07,1909
2018-07-08,1956
2018-07-09,1956
2018-07-10,1969
2018-07-11,1969
2018-07-12,1969
2018-07-13,1977
2018-07-14,1977
2018-07-15,1951
2018-07-16,1951
2018-07-17,1950
2018-07-18,1950
2018-07-19,1994
2018-07-20,1994
2018-07-21,2011
2018-07-22,2011
2018-07-23,2005
2018-07-24,2005
2018-07-25,2005
2018-07-26,1958
2018-07-27,1958
2018-07-28,1959
2018-07-29,1959
2018-07-30,1952
2018-07-31,2006
2018-08-01,2006
2018-08-02,2031
2018-08-03,2031
2018-08-04,2012
2018-08-05,2012
2018-08-06,2051
2018-08-07,2051
2018-08-08,2075
2018-08-09,2075
2018-08-10,2061
2018-08-11,2061
2018-08-12,2019
2018-08-14,1949
2018-08-16,1913
2018-08-17,1913
2018-08-18,1913
2018-08-19,1913
2018-08-20,1966
2018-08-21,1966
2018-08-22,2026
2018-08-23,2026
2018-08-24,2066
2018-08-25,2082
2018-08-26,2082
2018-08-27,2085
2018-08-28,2085
2018-08-29,2071
2018-08-30,2071
