date_obj,Worm%20crunchies price
2019-02-10,1160
2019-02-11,1160
2019-02-12,1160
2019-02-13,1160
2019-02-14,1160
2019-02-15,1160
2019-02-16,1160
2019-02-17,1160
2019-02-18,1160
2019-02-19,1160
2019-02-20,1160
2019-02-21,1160
2019-02-22,1160
2019-02-23,1160
2019-02-24,1160
2019-02-25,1216
2019-02-26,1216
2019-02-27,1216
2019-02-28,1216
2019-03-01,1216
2019-03-02,1216
2019-03-03,1216
2019-03-04,1216
2019-03-05,1216
2019-03-06,1216
2019-03-07,1216
2019-03-08,1216
2019-03-09,1216
2019-03-10,1216
2019-03-11,1216
2019-03-12,1216
2019-03-13,1216
2019-03-14,1216
2019-03-15,1216
2019-03-16,1216
2019-03-17,1216
2019-03-18,1216
2019-03-19,1216
2019-03-20,1220
2019-03-21,1220
2019-03-22,1220
2019-03-23,1220
2019-03-24,1220
2019-03-25,1220
2019-03-26,1220
2019-03-27,1220
2019-03-28,1220
2019-03-29,1220
2019-03-30,1220
2019-03-31,1220
2019-04-01,1220
2019-04-02,1220
2019-04-03,1220
2019-04-04,1220
2019-04-05,1220
2019-04-06,1220
2019-04-07,1220
2019-04-08,1220
2019-04-09,1239
2019-04-10,1239
2019-04-11,1239
2019-04-12,1239
2019-04-13,1239
2019-04-14,1239
2019-04-15,1239
2019-04-16,1239
2019-04-17,1239
2019-04-18,1239
2019-04-19,1239
2019-04-20,1239
2019-04-21,1239
2019-04-22,1239
2019-04-23,1239
2019-04-24,1239
2019-04-25,1292
2019-04-26,1292
2019-04-27,1292
2019-04-28,1292
2019-04-29,1292
2019-04-30,1292
2019-05-01,1292
2019-05-02,1292
2019-05-03,1292
2019-05-04,1292
2019-05-05,1292
2019-05-06,1292
2019-05-07,1292
2019-05-08,1292
2019-05-09,1292
2019-05-10,1292
2019-05-11,1292
2019-05-12,1304
2019-05-13,1304
2019-05-14,1304
2019-05-15,1304
2019-05-16,1304
2019-05-17,1304
2019-05-18,1304
2019-05-19,1304
2019-05-20,1304
2019-05-21,1304
2019-05-22,1304
2019-05-23,1304
2019-05-24,1304
2019-05-25,1304
2019-05-26,1304
2019-05-27,1304
2019-05-28,1295
2019-05-29,1295
