date_obj,Diamond%20amulet%20(u) price
2018-08-31,2140
2018-09-01,2140
2018-09-02,2140
2018-09-03,2140
2018-09-04,2140
2018-09-05,2140
2018-09-06,2140
2018-09-07,2140
2018-09-08,2140
2018-09-09,2140
2018-09-10,2140
2018-09-11,2140
2018-09-12,2140
2018-09-13,2140
2018-09-14,2140
2018-09-15,2140
2018-09-16,2140
2018-09-17,2140
2018-09-18,2140
2018-09-19,2140
2018-09-20,2140
2018-09-21,2050
2018-09-22,2050
2018-09-23,2050
2018-09-24,2050
2018-09-25,2050
2018-09-26,2050
2018-09-27,2050
2018-09-28,2050
2018-09-29,2050
2018-09-30,2050
2018-10-01,2050
2018-10-02,2050
2018-10-03,2050
2018-10-04,2050
2018-10-05,2050
2018-10-06,2050
2018-10-07,2050
2018-10-08,2050
2018-10-09,2050
2018-10-10,2050
2018-10-11,2050
2018-10-12,2050
2018-10-13,2098
2018-10-14,2098
2018-10-15,2098
2018-10-16,2098
2018-10-17,2098
2018-10-18,2098
2018-10-19,2098
2018-10-20,2098
2018-10-21,2098
2018-10-22,2098
2018-10-23,2098
2018-10-24,2098
2018-10-25,2098
2018-10-26,2098
2018-10-27,2098
2018-10-28,2098
2018-10-29,2098
2018-10-30,2098
2018-10-31,2098
2018-11-01,2098
2018-11-03,2155
2018-11-04,2155
2018-11-05,2155
2018-11-06,2155
2018-11-07,2155
2018-11-08,2155
2018-11-09,2155
2018-11-10,2155
2018-11-11,2155
2018-11-12,2155
2018-11-13,2155
2018-11-14,2155
2018-11-15,2155
2018-11-16,2175
2018-11-17,2175
2018-11-18,2175
2018-11-19,2175
2018-11-20,2175
2018-11-21,2175
2018-11-22,2175
2018-11-23,2175
2018-11-24,2175
2018-11-25,2175
2018-11-26,2175
2018-11-27,2175
2018-11-28,2175
2018-11-29,2092
2018-12-01,2092
2018-12-02,2092
2018-12-03,2092
2018-12-04,2092
2018-12-05,2092
2018-12-07,2092
2018-12-09,2092
2018-12-10,2092
2018-12-11,2092
2018-12-12,2092
2018-12-13,2092
2018-12-14,2092
2018-12-15,2092
