date_obj,Mystic%20robe%20top%20(light) price
2019-01-04,71679
2019-01-05,71630
2019-01-06,71587
2019-01-08,71818
2019-01-10,71033
2019-01-11,71401
2019-01-12,71313
2019-01-13,71371
2019-01-14,71390
2019-01-15,71458
2019-01-16,71532
2019-01-17,71449
2019-01-18,71307
2019-01-19,71344
2019-01-20,71427
2019-01-21,71473
2019-01-22,71486
2019-01-23,71881
2019-01-24,71847
2019-01-25,71540
2019-01-26,71566
2019-01-27,71579
2019-01-28,71622
2019-01-29,71640
2019-01-30,71675
2019-01-31,71725
2019-02-01,71604
2019-02-02,71510
2019-02-03,71482
2019-02-04,71546
2019-02-05,71548
2019-02-06,71687
2019-02-07,71544
2019-02-08,71496
2019-02-09,71597
2019-02-10,71891
2019-02-11,71482
2019-02-12,71391
2019-02-13,71803
2019-02-14,71605
2019-02-15,71808
2019-02-16,71705
2019-02-17,71757
2019-02-18,71814
2019-02-19,71928
2019-02-20,71649
2019-02-21,71635
2019-02-22,71936
2019-02-23,71955
2019-02-24,71464
2019-02-25,71799
2019-02-26,71848
2019-02-27,71717
2019-02-28,71413
2019-03-01,72019
2019-03-02,71561
2019-03-03,72452
2019-03-04,72331
2019-03-05,71877
2019-03-06,71845
2019-03-07,72325
2019-03-08,72299
2019-03-09,71993
2019-03-10,72009
2019-03-11,71594
2019-03-12,71643
2019-03-13,71644
2019-03-14,71589
2019-03-15,71417
2019-03-16,71790
2019-03-17,72097
2019-03-18,71415
2019-03-19,72100
2019-03-20,71581
2019-03-21,71658
2019-03-22,72378
2019-03-23,71818
