date_obj,Pottery%20scarab price
2019-04-04,74
2019-04-05,74
2019-04-06,74
2019-04-07,74
2019-04-08,74
2019-04-09,74
2019-04-10,74
2019-04-11,74
2019-04-12,74
2019-04-13,74
2019-04-14,74
2019-04-15,78
2019-04-16,78
2019-04-17,78
2019-04-18,78
2019-04-19,78
2019-04-20,78
2019-04-21,75
2019-04-22,75
2019-04-23,75
2019-04-24,75
2019-04-25,75
2019-04-26,74
2019-04-27,74
2019-04-28,74
2019-04-29,75
2019-04-30,75
2019-05-01,75
2019-05-02,75
2019-05-03,75
2019-05-04,75
2019-05-05,75
2019-05-06,75
2019-05-07,75
2019-05-08,75
2019-05-09,75
2019-05-10,75
2019-05-11,75
2019-05-12,74
2019-05-13,74
2019-05-14,73
2019-05-15,73
2019-05-16,73
2019-05-17,73
2019-05-18,73
2019-05-19,73
2019-05-20,73
2019-05-21,74
2019-05-22,74
2019-05-23,74
2019-05-24,74
2019-05-25,74
2019-05-26,74
2019-05-27,73
2019-05-28,73
2019-05-29,73
2019-05-30,73
2019-05-31,73
2019-06-01,73
2019-06-02,74
2019-06-03,74
2019-06-04,74
2019-06-05,74
2019-06-06,74
2019-06-07,74
2019-06-08,74
2019-06-09,74
2019-06-10,74
2019-06-11,74
2019-06-12,74
2019-06-13,74
2019-06-14,74
2019-06-15,74
2019-06-16,74
2019-06-17,74
2019-06-18,74
2019-06-19,74
2019-06-20,72
2019-06-21,72
2019-06-22,72
2019-06-23,72
2019-06-24,72
2019-06-25,72
2019-06-26,73
2019-06-27,73
2019-06-28,73
2019-06-29,72
2019-06-30,72
2019-07-01,72
2019-07-02,72
2019-07-03,72
2019-07-04,72
2019-07-05,74
2019-07-06,74
2019-07-07,74
2019-07-08,74
2019-07-09,74
2019-07-10,74
2019-07-11,74
2019-07-12,74
2019-07-13,74
2019-07-14,74
2019-07-15,74
2019-07-16,74
2019-07-17,74
2019-07-18,74
2019-07-19,74
2019-07-20,74
2019-07-21,74
2019-07-22,74
2019-07-23,74
2019-07-24,74
2019-07-25,74
2019-07-26,74
2019-07-27,74
2019-07-28,74
2019-07-29,74
2019-07-30,74
2019-07-31,74
2019-08-01,74
2019-08-02,74
2019-08-03,74
2019-08-04,74
2019-08-05,74
2019-08-06,72
2019-08-07,72
2019-08-08,72
2019-08-09,70
2019-08-10,70
2019-08-11,70
2019-08-12,73
2019-08-13,73
2019-08-14,73
2019-08-15,74
2019-08-16,74
2019-08-17,74
2019-08-18,71
2019-08-19,71
2019-08-20,71
2019-08-21,69
2019-08-22,69
2019-08-23,69
2019-08-24,68
2019-08-24,68
2019-08-25,68
2019-08-25,68
2019-08-26,68
2019-08-26,68
2019-08-27,68
2019-08-27,68
2019-08-28,69
