date_obj,Treasonous%20ring price
2017-06-12,700004
2017-06-13,699681
2017-06-14,699681
2017-06-15,699681
2017-06-16,731612
2017-06-17,731612
2017-06-18,731612
2017-06-19,761305
2017-06-20,761305
2017-06-21,761305
2017-06-22,751462
2017-06-23,751462
2017-06-24,751462
2017-06-25,761770
2017-06-26,761770
2017-06-27,761770
2017-06-28,744871
2017-06-29,744871
2017-06-30,744871
2017-07-01,754791
2017-07-02,754791
2017-07-03,754791
2017-07-04,777676
2017-07-05,777676
2017-07-06,777676
2017-07-07,777676
2017-07-08,778531
2017-07-13,762790
2017-07-14,757416
2017-07-15,757416
2017-07-16,757416
2017-07-17,784353
2017-07-18,784353
2017-07-19,784353
2017-07-20,784050
2017-07-21,784050
2017-07-22,784050
2017-07-23,786833
2017-07-24,786833
2017-07-25,786833
2017-07-26,786833
2017-07-27,791014
2017-07-28,791014
2017-07-29,791014
2017-07-30,786310
2017-07-31,786310
2017-08-01,786310
2017-08-02,786310
2017-08-03,747317
2017-08-04,747317
2017-08-05,747317
2017-08-06,740804
2017-08-09,713522
2017-08-10,713522
2017-08-11,713522
2017-08-12,690502
2017-08-13,690502
2017-08-14,690502
2017-08-15,690502
2017-08-16,671094
2017-08-17,671094
2017-08-18,671094
2017-08-19,642239
2017-08-20,642239
2017-08-21,642239
2017-08-22,610127
2017-08-23,610127
2017-08-24,610127
2017-08-25,610127
2017-08-26,579620
2017-08-27,579620
2017-08-28,579620
2017-08-29,579620
2017-08-30,550639
2017-08-31,550639
2017-09-01,550639
2017-09-02,523107
2017-09-03,523107
2017-09-04,523107
2017-09-05,496962
2017-09-06,496962
2017-09-07,496962
2017-09-08,477401
2017-09-09,477401
2017-09-10,488345
2017-09-11,488345
2017-09-12,488345
2017-09-13,488345
2017-09-14,495218
2017-09-15,495218
2017-09-16,495218
2017-09-17,475004
2017-09-19,475004
2017-09-20,475004
2017-09-21,469892
2017-09-22,469892
2017-09-23,469892
2017-09-24,490541
2017-09-25,490541
2017-09-26,490541
2017-09-27,490541
2017-09-28,483975
2017-09-29,483975
2017-09-30,483975
2017-10-01,506766
2017-10-02,506766
2017-10-03,506766
2017-10-04,506766
2017-10-05,529644
2017-10-06,529644
2017-10-07,554389
2017-10-08,554389
2017-10-09,554389
2017-10-10,582109
2017-10-11,582109
2017-10-12,582109
2017-10-13,610725
2017-10-14,610725
2017-10-15,610725
2017-10-16,641262
2017-10-17,641262
2017-10-18,641262
2017-10-19,671621
2017-10-20,671621
2017-10-21,671621
2017-10-22,698340
2017-10-23,698340
2017-10-24,698340
2017-10-25,664555
2017-10-26,664555
2017-10-27,664555
2017-10-28,664555
2017-10-29,646767
2017-10-30,646767
2017-10-31,646767
2017-11-01,646767
2017-11-02,634518
2017-11-03,634518
2017-11-04,634518
2017-11-05,607310
2017-11-06,607310
2017-11-07,607310
2017-11-08,591758
2017-11-09,591758
2017-11-10,591758
2017-11-11,577310
2017-11-12,577310
2017-11-13,577310
2017-11-14,560249
2017-11-15,560249
2017-11-16,560249
2017-11-17,567474
2017-11-18,567474
2017-11-19,567474
2017-11-20,588459
2017-11-21,588459
2017-11-22,588459
2017-11-23,592904
2017-11-24,592904
2017-11-25,592904
2017-11-26,567025
2017-11-27,567025
2017-11-28,567025
2017-11-29,567025
2017-11-30,544027
2017-12-01,544027
2017-12-02,544027
2017-12-03,536970
2017-12-04,536970
2017-12-05,536970
2017-12-06,523692
2017-12-07,523692
2017-12-08,523692
2017-12-09,523692
2017-12-10,498600
2017-12-11,498600
2017-12-12,498600
2017-12-13,498600
2017-12-14,495919
2017-12-15,495919
2017-12-16,495919
2017-12-17,495919
2017-12-18,508501
2017-12-19,508501
2017-12-20,508501
2017-12-21,494251
2017-12-22,494251
2017-12-23,494251
2017-12-24,484210
2017-12-25,484210
2017-12-26,484210
2017-12-27,507515
2017-12-28,507515
2017-12-29,507515
2017-12-30,532856
2017-12-31,532856
2018-01-01,532856
2018-01-02,559499
2018-01-03,559499
2018-01-04,561233
2018-01-05,564024
2018-01-06,590913
2018-01-07,619341
2018-01-08,619341
2018-01-09,650309
2018-01-10,650309
2018-01-11,682076
2018-01-12,682076
2018-01-13,716180
2018-01-14,716180
2018-01-15,751989
2018-01-16,751989
2018-01-17,789589
2018-01-18,789589
2018-01-19,789589
2018-01-20,829069
2018-01-21,829069
2018-01-22,868492
2018-01-23,868492
2018-01-24,911917
2018-01-25,911917
2018-01-26,957513
2018-01-27,957513
2018-01-28,1005266
2018-01-29,1005266
2018-01-30,1032326
2018-02-01,991724
2018-02-02,991724
2018-02-03,963929
2018-02-04,963929
2018-02-05,966197
2018-02-06,966197
2018-02-07,943369
2018-02-08,943369
2018-02-09,940961
2018-02-10,940961
2018-02-11,925332
2018-02-12,925332
2018-02-13,880721
2018-02-14,880721
2018-02-15,840851
2018-02-16,840851
2018-02-17,818878
2018-02-18,818878
2018-02-19,815305
2018-02-20,815305
2018-02-21,855589
2018-02-22,855589
2018-02-23,898293
2018-02-24,898293
2018-02-25,943208
2018-02-26,943208
2018-02-27,990369
2018-02-28,990369
2018-03-01,1035850
2018-03-02,1086044
2018-03-03,1138912
2018-03-04,1138912
2018-03-05,1193874
2018-03-06,1193874
2018-03-07,1252907
2018-03-08,1313213
2018-03-09,1376126
2018-03-10,1376126
2018-03-11,1444933
2018-03-12,1511737
2018-03-13,1511737
2018-03-14,1587324
2018-03-15,1587324
2018-03-16,1663931
2018-03-17,1744481
2018-03-18,1744481
2018-03-19,1829629
2018-03-20,1916886
2018-03-21,1916886
2018-03-23,2010424
2018-03-24,2082720
2018-03-26,2031180
2018-03-27,2031180
2018-03-28,1972125
2018-03-29,1972125
2018-03-30,1947353
2018-03-31,1947353
2018-04-01,1936160
2018-04-02,1936160
2018-04-03,1854360
2018-04-04,1854360
2018-04-05,1761861
2018-04-06,1761861
2018-04-08,1675415
2018-04-09,1591662
2018-04-10,1591662
2018-04-11,1640902
2018-04-12,1640902
2018-04-13,1623381
2018-04-14,1623381
2018-04-16,1542237
2018-04-17,1480764
2018-04-18,1480764
