date_obj,Raw%20dark%20crab price
2016-12-14,1606
2016-12-15,1535
2016-12-16,1535
2016-12-17,1535
2016-12-18,1535
2016-12-19,1535
2016-12-20,1535
2016-12-21,1535
2016-12-22,1468
2016-12-23,1468
2016-12-24,1468
2016-12-25,1468
2016-12-26,1468
2016-12-27,1468
2016-12-28,1415
2016-12-29,1415
2016-12-30,1415
2016-12-31,1415
2017-01-01,1415
2017-01-02,1380
2017-01-03,1380
2017-01-04,1380
2017-01-05,1380
2017-01-06,1380
2017-01-07,1352
2017-01-08,1352
2017-01-09,1352
2017-01-10,1352
2017-01-11,1352
2017-01-12,1352
2017-01-13,1352
2017-01-14,1328
2017-01-15,1328
2017-01-16,1328
2017-01-17,1328
2017-01-18,1328
2017-01-19,1328
2017-01-20,1340
2017-01-21,1340
2017-01-22,1340
2017-01-27,1317
2017-01-28,1317
2017-01-29,1317
2017-01-30,1317
2017-01-31,1317
2017-02-01,1317
2017-02-02,1281
2017-02-03,1281
2017-02-04,1281
2017-02-05,1281
2017-02-06,1281
2017-02-07,1281
2017-02-08,1281
2017-02-09,1260
2017-02-10,1260
2017-02-11,1260
2017-02-12,1260
2017-02-13,1260
2017-02-14,1248
2017-02-15,1248
2017-02-16,1248
2017-02-18,1248
2017-02-19,1248
2017-02-20,1273
2017-02-21,1273
2017-02-22,1273
2017-02-23,1273
2017-02-24,1273
2017-02-25,1273
2017-02-26,1273
2017-02-27,1284
2017-02-28,1284
2017-03-01,1284
2017-03-02,1284
2017-03-03,1284
2017-03-04,1284
2017-03-05,1333
2017-03-06,1333
2017-03-07,1333
2017-03-08,1333
2017-03-09,1333
2017-03-10,1333
2017-03-11,1333
2017-03-12,1357
2017-03-13,1357
2017-03-14,1357
2017-03-15,1357
2017-03-16,1357
2017-03-17,1357
2017-03-18,1380
2017-03-19,1380
2017-03-20,1380
2017-03-21,1380
2017-03-22,1380
2017-03-23,1434
2017-03-24,1434
2017-03-25,1434
2017-03-26,1434
2017-03-27,1434
2017-03-28,1434
2017-03-29,1489
2017-03-30,1489
2017-03-31,1489
2017-04-01,1489
2017-04-02,1489
2017-04-03,1489
2017-04-04,1501
2017-04-12,1484
2017-04-13,1484
2017-04-14,1484
2017-04-15,1484
2017-04-16,1484
2017-04-17,1429
2017-04-18,1429
2017-04-19,1429
2017-04-20,1429
2017-04-21,1429
2017-04-22,1429
2017-04-23,1429
2017-04-24,1428
2017-04-25,1428
2017-04-26,1428
2017-04-27,1428
2017-04-28,1428
2017-04-29,1428
2017-04-30,1408
2017-05-01,1408
2017-05-02,1408
2017-05-03,1408
2017-05-04,1408
2017-05-05,1408
2017-05-06,1408
2017-05-07,1431
2017-05-08,1431
2017-05-09,1431
2017-05-10,1431
2017-05-11,1431
2017-05-12,1431
2017-05-13,1389
2017-05-14,1389
2017-05-15,1389
2017-05-16,1389
2017-05-17,1389
2017-05-18,1389
2017-05-19,1389
2017-05-20,1364
2017-05-21,1364
2017-05-22,1364
2017-05-23,1364
2017-05-24,1364
2017-05-25,1364
2017-05-26,1364
2017-05-27,1316
2017-05-28,1316
2017-05-29,1316
2017-05-30,1316
2017-05-31,1316
2017-06-01,1316
2017-06-02,1316
2017-06-03,1264
2017-06-06,1264
2017-06-07,1264
2017-06-08,1264
2017-06-09,1264
2017-06-10,1203
2017-06-11,1203
2017-06-12,1203
2017-06-13,1203
2017-06-14,1203
2017-06-15,1203
2017-06-16,1203
2017-06-17,1147
2017-06-18,1147
2017-06-19,1147
2017-06-20,1147
2017-06-21,1147
2017-06-22,1147
2017-06-23,1147
2017-06-24,1137
2017-06-25,1137
2017-06-26,1137
2017-06-27,1137
2017-06-28,1137
2017-06-29,1137
2017-06-30,1171
2017-07-01,1171
2017-07-02,1171
2017-07-03,1171
2017-07-04,1171
2017-07-05,1171
2017-07-06,1171
2017-07-07,1171
2017-07-08,1138
2017-07-13,1138
2017-07-14,1114
2017-07-15,1114
2017-07-16,1114
2017-07-17,1114
2017-07-18,1114
2017-07-19,1114
2017-07-20,1114
2017-07-21,1114
2017-07-22,1063
2017-07-23,1063
2017-07-24,1063
2017-07-25,1063
2017-07-26,1063
2017-07-27,1063
2017-07-28,1063
2017-07-29,1063
2017-07-30,1060
2017-07-31,1060
2017-08-01,1060
2017-08-02,1060
2017-08-03,1060
2017-08-04,1060
2017-08-05,1060
2017-08-06,1060
2017-08-09,1035
2017-08-10,1035
2017-08-11,1035
2017-08-12,1035
2017-08-13,1035
2017-08-14,1035
2017-08-15,1035
2017-08-16,1069
2017-08-17,1069
2017-08-18,1069
2017-08-19,1069
2017-08-20,1069
2017-08-22,1069
2017-08-23,1069
2017-08-24,1069
2017-08-25,1098
2017-08-26,1098
2017-08-27,1098
2017-08-28,1098
2017-08-29,1098
2017-08-30,1098
2017-08-31,1098
2017-09-01,1098
2017-09-02,1134
2017-09-03,1134
2017-09-04,1134
2017-09-05,1134
2017-09-06,1134
2017-09-07,1134
2017-09-08,1134
2017-09-09,1182
2017-09-10,1182
2017-09-11,1182
2017-09-12,1182
2017-09-13,1182
2017-09-14,1182
2017-09-15,1182
2017-09-16,1182
2017-09-17,1161
2017-09-19,1161
2017-09-20,1161
2017-09-21,1161
2017-09-22,1161
2017-09-23,1161
2017-09-24,1161
2017-09-25,1172
2017-09-26,1172
2017-09-27,1172
2017-09-28,1172
2017-09-29,1172
2017-09-30,1172
2017-10-01,1172
2017-10-02,1172
2017-10-03,1177
2017-10-04,1177
2017-10-05,1177
2017-10-06,1177
2017-10-07,1177
2017-10-08,1177
2017-10-09,1177
2017-10-10,1122
2017-10-11,1122
2017-10-12,1122
2017-10-13,1122
2017-10-14,1122
2017-10-15,1122
2017-10-16,1122
2017-10-17,1122
2017-10-18,1122
2017-10-19,1076
2017-10-20,1076
2017-10-21,1076
2017-10-22,1076
2017-10-23,1076
2017-10-24,1076
2017-10-25,1076
2017-10-26,1032
2017-10-27,1032
2017-10-28,1032
2017-10-29,1032
2017-10-30,1032
2017-10-31,1032
2017-11-01,1032
2017-11-02,1032
2017-11-03,1032
