date_obj,Unfired%20plant%20pot price
2019-01-12,352
2019-01-13,352
2019-01-14,352
2019-01-15,352
2019-01-16,352
2019-01-17,335
2019-01-18,335
2019-01-19,335
2019-01-20,335
2019-01-21,335
2019-01-22,335
2019-01-23,335
2019-01-24,335
2019-01-25,335
2019-01-26,335
2019-01-27,319
2019-01-28,319
2019-01-29,319
2019-01-30,319
2019-01-31,319
2019-02-01,319
2019-02-02,319
2019-02-03,319
2019-02-04,319
2019-02-05,319
2019-02-06,319
2019-02-07,319
2019-02-08,319
2019-02-09,304
2019-02-10,304
2019-02-11,304
2019-02-12,304
2019-02-13,304
2019-02-14,304
2019-02-15,304
2019-02-16,304
2019-02-17,304
2019-02-18,304
2019-02-19,304
2019-02-20,304
2019-02-21,304
2019-02-22,304
2019-02-23,304
2019-02-24,304
2019-02-25,304
2019-02-26,289
2019-02-27,289
2019-02-28,289
2019-03-01,289
2019-03-02,289
2019-03-03,289
2019-03-04,289
2019-03-05,289
2019-03-06,289
2019-03-07,289
2019-03-08,289
2019-03-09,289
2019-03-10,289
2019-03-11,289
2019-03-12,289
2019-03-13,289
2019-03-14,289
2019-03-15,289
2019-03-16,289
2019-03-17,289
2019-03-18,289
2019-03-19,289
2019-03-20,289
2019-03-21,274
2019-03-22,274
2019-03-23,274
2019-03-24,274
2019-03-25,274
2019-03-26,274
2019-03-27,274
2019-03-28,274
2019-03-29,274
2019-03-30,274
2019-03-31,274
2019-04-01,274
2019-04-02,274
2019-04-03,274
2019-04-04,274
2019-04-05,274
2019-04-06,274
2019-04-07,274
2019-04-08,274
2019-04-09,274
2019-04-10,274
2019-04-11,274
2019-04-12,274
2019-04-13,274
2019-04-14,274
2019-04-15,274
2019-04-16,274
2019-04-17,274
2019-04-18,263
2019-04-19,263
2019-04-20,263
2019-04-21,263
2019-04-22,263
2019-04-23,263
2019-04-24,263
2019-04-25,263
2019-04-26,263
2019-04-27,263
2019-04-28,263
2019-04-29,263
2019-04-30,263
2019-05-01,263
2019-05-02,263
2019-05-03,263
2019-05-04,263
2019-05-05,263
2019-05-06,263
2019-05-07,263
2019-05-08,263
2019-05-09,263
2019-05-10,263
2019-05-11,263
2019-05-12,263
2019-05-13,263
2019-05-14,263
2019-05-15,263
2019-05-16,249
2019-05-17,249
2019-05-18,249
2019-05-19,249
2019-05-20,249
2019-05-21,249
2019-05-22,249
2019-05-23,249
2019-05-24,249
2019-05-25,249
2019-05-26,249
2019-05-27,249
2019-05-28,249
2019-05-29,249
2019-05-30,249
2019-05-31,249
2019-06-01,249
2019-06-02,249
2019-06-03,249
2019-06-04,249
2019-06-05,249
2019-06-06,249
2019-06-07,249
2019-06-08,249
2019-06-09,249
2019-06-10,249
2019-06-11,236
2019-06-12,236
2019-06-13,236
2019-06-14,236
2019-06-15,236
2019-06-16,236
2019-06-17,236
2019-06-18,236
2019-06-19,236
2019-06-20,236
2019-06-21,236
2019-06-22,236
2019-06-23,236
2019-06-24,236
2019-06-25,236
2019-06-26,236
2019-06-27,236
2019-06-28,236
2019-06-29,236
2019-06-30,236
2019-07-01,236
2019-07-02,236
2019-07-03,226
2019-07-04,226
2019-07-05,226
2019-07-06,226
2019-07-07,226
2019-07-08,226
2019-07-09,226
2019-07-10,226
2019-07-11,226
2019-07-12,226
2019-07-13,226
2019-07-14,226
2019-07-15,226
2019-07-16,226
2019-07-17,226
2019-07-18,226
2019-07-19,226
2019-07-20,226
2019-07-21,226
2019-07-22,226
2019-07-23,226
2019-07-24,226
2019-07-25,226
2019-07-26,226
2019-07-27,226
2019-07-28,226
2019-07-29,226
2019-07-30,226
2019-07-31,226
2019-08-01,226
2019-08-02,226
2019-08-03,226
2019-08-04,226
2019-08-05,219
2019-08-06,219
2019-08-07,219
2019-08-08,219
2019-08-09,219
2019-08-10,219
2019-08-11,219
2019-08-12,219
2019-08-13,219
2019-08-14,219
2019-08-15,219
2019-08-16,219
2019-08-17,219
2019-08-18,219
2019-08-19,219
2019-08-20,219
2019-08-21,219
2019-08-22,219
